Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,22.0,POR,NBA,SG,72.0,,1270.0,7.2,17.6,0.411,0.0,0.8,0.045,7.2,16.8,0.429,2.5,3.5,0.711,1.0,3.2,4.2,5.5,1.8,0.2,3.6,3.7,17.0,,91.0,107.0
1981,23.0,POR,NBA,SG,79.0,,2701.0,10.1,18.8,0.536,0.0,0.5,0.067,10.1,18.3,0.549,3.1,4.3,0.734,1.3,2.4,3.6,5.2,2.4,0.2,2.3,3.0,23.4,,115.0,108.0
1982,24.0,POR,NBA,SG,82.0,82.0,2756.0,11.5,21.8,0.526,0.1,0.6,0.229,11.3,21.2,0.535,3.8,5.0,0.767,1.3,2.5,3.8,4.8,2.2,0.2,2.5,2.8,26.9,,114.0,110.0
1983,25.0,POR,NBA,SG,81.0,81.0,2740.0,11.8,23.0,0.515,0.1,0.4,0.16,11.8,22.5,0.522,6.7,8.3,0.812,1.2,1.8,3.0,4.0,2.4,0.3,2.7,2.8,30.5,,116.0,106.0
1984,26.0,POR,NBA,SG,81.0,81.0,2686.0,12.0,23.4,0.514,0.3,1.0,0.288,11.7,22.3,0.525,6.1,7.2,0.841,1.2,1.9,3.1,4.4,2.2,0.2,2.5,2.9,30.4,,120.0,110.0
1985,27.0,POR,NBA,SG,68.0,57.0,2253.0,10.5,20.3,0.514,0.1,0.8,0.154,10.3,19.5,0.529,4.0,5.1,0.79,1.4,3.1,4.6,5.4,2.1,0.1,2.2,2.4,25.1,,116.0,110.0
1986,28.0,POR,NBA,SG,75.0,31.0,1931.0,8.9,18.8,0.47,0.5,1.5,0.323,8.4,17.4,0.482,5.2,5.8,0.889,1.0,2.5,3.5,6.6,2.2,0.1,2.7,3.7,23.3,,114.0,110.0
1987,29.0,POR,NBA,SG,72.0,1.0,1798.0,8.6,18.6,0.46,0.7,2.5,0.265,7.9,16.1,0.49,4.4,5.5,0.806,1.0,2.5,3.5,6.0,1.9,0.3,2.7,3.4,22.2,,110.0,111.0
1988,30.0,TOT,NBA,SG,45.0,3.0,801.0,8.2,17.9,0.46,0.3,1.3,0.238,7.9,16.6,0.477,4.1,4.7,0.861,0.9,1.8,2.7,4.6,1.8,0.3,2.3,4.4,20.8,,107.0,112.0
1988,30.0,POR,NBA,SG,17.0,1.0,263.0,7.6,18.9,0.402,0.5,1.4,0.375,7.0,17.4,0.404,2.5,3.2,0.778,1.4,1.8,3.2,4.8,1.2,0.2,1.9,5.1,18.1,,100.0,112.0
1988,30.0,BOS,NBA,SG,28.0,2.0,538.0,8.6,17.4,0.492,0.2,1.2,0.154,8.4,16.2,0.517,4.9,5.6,0.885,0.6,1.8,2.5,4.5,2.1,0.4,2.6,4.0,22.2,,111.0,112.0
1989,31.0,BOS,NBA,PG,57.0,7.0,1138.0,8.7,19.1,0.454,0.2,1.0,0.167,8.5,18.1,0.47,3.6,4.4,0.816,0.8,2.4,3.2,4.6,1.6,0.3,2.5,4.1,21.1,,105.0,113.0
1990,32.0,BOS,NBA,PG,72.0,25.0,1283.0,7.3,16.1,0.453,0.2,0.8,0.25,7.1,15.3,0.463,2.8,3.4,0.811,0.9,2.0,2.9,5.2,1.3,0.2,2.1,4.4,17.5,,105.0,112.0
