Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,24.0,PHO,NBA,SF,2,0,5.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1985-86,25.0,PHI,NBA,SF,2,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-87,26.0,Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines),Did Not Play (other pro league—Philippines)
1987-88,27.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
1988-89,28.0,"Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)","Did Not Play (other pro league—Spain, Italy)"
1989-90,29.0,LAC,NBA,SF,45,2,10.2,2.0,4.3,.474,0.2,0.6,.308,1.9,3.7,.500,.495,0.6,0.8,.711,0.8,1.1,1.9,0.5,0.6,0.1,0.3,1.0,4.9
1990-91,30.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1991-92,31.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1992-93,32.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1993-94,33.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
