Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,8,0,DEN,Denver Nuggets,Darrell Arthur,29,19,141,8.4,0.56,0.49,0.06,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.01,-4.8,-0.5,-5.3,-0.1
2018,8,0,DEN,Denver Nuggets,Devin Harris,34,27,533,12.4,0.57,0.6,0.34,0.6,8.2,4.4,17.7,1.3,0.6,12.1,18.2,0.9,0.2,1.1,0.1,-1.1,-1.8,-2.9,-0.1
2018,8,0,DEN,Denver Nuggets,Emmanuel Mudiay,21,42,752,12.3,0.5,0.32,0.24,2.4,11.6,7.0,24.1,1.4,0.4,16.8,24.8,0.0,0.3,0.3,0.02,-1.4,-2.1,-3.5,-0.3
2018,8,0,DEN,Denver Nuggets,Gary Harris,23,67,2304,16.5,0.6,0.43,0.18,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,3.9,1.5,5.5,0.11,1.0,-0.2,0.8,1.7
2018,8,0,DEN,Denver Nuggets,Jamal Murray,20,81,2565,16.1,0.58,0.41,0.24,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,4.3,1.2,5.5,0.1,1.2,-1.5,-0.3,1.1
2018,8,0,DEN,Denver Nuggets,Juan Hernangomez,22,25,277,9.7,0.51,0.67,0.16,7.4,14.6,11.0,5.9,1.1,0.9,10.1,14.0,0.2,0.1,0.4,0.06,-1.6,-1.7,-3.3,-0.1
2018,8,0,DEN,Denver Nuggets,Kenneth Faried,28,32,461,17.4,0.55,0.01,0.34,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,0.9,0.4,1.3,0.13,-0.3,-1.7,-2.1,0.0
2018,8,0,DEN,Denver Nuggets,Malik Beasley,21,62,583,9.0,0.51,0.46,0.18,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.03,-2.4,-1.4,-3.8,-0.3
2018,8,0,DEN,Denver Nuggets,Mason Plumlee,27,74,1439,16.9,0.59,0.0,0.49,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,1.8,1.8,3.6,0.12,-1.0,1.4,0.5,0.9
2018,8,0,DEN,Denver Nuggets,Monte Morris,22,3,25,27.1,0.73,0.17,0.33,0.0,9.0,4.5,41.2,5.9,0.0,12.7,13.7,0.1,0.0,0.2,0.31,4.3,5.0,9.4,0.1
2018,8,0,DEN,Denver Nuggets,Nikola Jokic,22,75,2443,24.4,0.6,0.28,0.31,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.21,5.3,1.6,6.9,5.5
2018,8,0,DEN,Denver Nuggets,Paul Millsap,32,38,1143,17.0,0.55,0.26,0.37,6.4,17.6,12.1,13.9,1.7,3.2,12.6,22.0,1.4,1.1,2.5,0.11,0.4,0.0,0.4,0.7
2018,8,0,DEN,Denver Nuggets,Richard Jefferson,37,20,163,6.4,0.5,0.26,0.26,1.4,10.3,5.9,12.0,0.6,0.5,14.3,9.4,0.1,0.0,0.1,0.03,-3.5,-0.8,-4.3,-0.1
2018,8,0,DEN,Denver Nuggets,Torrey Craig,27,39,629,9.8,0.54,0.42,0.26,7.2,15.5,11.4,5.4,0.9,2.0,11.6,11.9,0.5,0.4,0.9,0.07,-2.2,-0.7,-2.9,-0.1
2018,8,0,DEN,Denver Nuggets,Trey Lyles,22,73,1391,17.9,0.59,0.4,0.26,4.5,23.5,14.0,10.1,1.1,2.0,9.1,21.1,2.7,1.2,3.9,0.14,2.0,-0.7,1.3,1.1
2018,8,0,DEN,Denver Nuggets,Tyler Lydon,21,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.01,-3.9,-1.6,-5.4,0.0
2018,8,0,DEN,Denver Nuggets,Will Barton,27,81,2683,16.2,0.56,0.41,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.11,1.6,-0.4,1.1,2.1
2018,8,0,DEN,Denver Nuggets,Wilson Chandler,30,74,2346,10.9,0.54,0.39,0.18,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.07,-1.0,-1.1,-2.1,-0.1
