Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2002,20.0,TOT,NBA,SG,77.0,1916.0,11.8,0.478,0.223,0.091,4.3,10.8,7.5,15.0,1.6,0.8,10.5,16.0,,1.1,1.9,3.0,0.075,,-1.2,0.5,-0.7,0.6
2002,20.0,BOS,NBA,SG,48.0,1003.0,12.0,0.494,0.297,0.088,4.3,11.1,7.6,12.5,1.7,0.7,8.3,15.2,,0.8,1.2,2.0,0.094,,-1.2,0.7,-0.4,0.4
2002,20.0,PHO,NBA,SG,29.0,913.0,11.5,0.462,0.146,0.094,4.3,10.4,7.3,17.7,1.5,0.9,12.5,16.8,,0.3,0.7,1.0,0.054,,-1.3,0.2,-1.0,0.2
2003,21.0,PHO,NBA,SG,82.0,2255.0,11.6,0.472,0.258,0.156,2.8,10.5,6.6,15.1,1.4,0.6,11.3,19.1,,0.9,1.9,2.8,0.06,,-1.0,-0.4,-1.4,0.4
2004,22.0,PHO,NBA,SG,82.0,3331.0,13.9,0.491,0.211,0.18,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6,,2.2,1.1,3.3,0.047,,0.1,-1.4,-1.3,0.6
2005,23.0,PHO,NBA,SF,82.0,3240.0,15.1,0.556,0.314,0.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,,5.8,1.7,7.6,0.112,,1.5,-0.6,0.9,2.4
2006,24.0,ATL,NBA,SG,82.0,3340.0,17.9,0.537,0.258,0.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,,5.5,0.4,6.0,0.086,,3.1,-2.1,1.0,2.5
2007,25.0,ATL,NBA,SG,57.0,2359.0,19.5,0.558,0.274,0.276,2.7,9.6,6.1,21.8,1.4,0.4,12.1,28.3,,4.1,1.0,5.1,0.105,,4.2,-1.7,2.5,2.7
2008,26.0,ATL,NBA,SG,82.0,3343.0,17.3,0.535,0.297,0.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,,5.3,1.7,7.0,0.1,,2.7,-1.5,1.2,2.7
2009,27.0,ATL,NBA,SG,79.0,3124.0,18.2,0.534,0.292,0.255,2.4,10.5,6.5,26.4,1.4,0.5,11.0,26.6,,5.1,2.5,7.6,0.116,,2.7,-0.9,1.8,3.1
2010,28.0,ATL,NBA,SG,76.0,2886.0,19.3,0.538,0.253,0.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,,6.0,2.4,8.4,0.14,,3.4,-0.7,2.7,3.4
2011,29.0,ATL,NBA,SG,72.0,2554.0,16.4,0.517,0.258,0.209,2.8,10.9,6.9,24.0,1.0,0.2,10.3,26.3,,2.5,1.8,4.2,0.08,,1.2,-1.5,-0.3,1.1
2012,30.0,ATL,NBA,SG,60.0,2127.0,18.4,0.557,0.346,0.2,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,,4.4,2.1,6.4,0.145,,3.1,-1.0,2.1,2.2
2013,31.0,BRK,NBA,SG,72.0,2642.0,14.1,0.521,0.375,0.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,,3.9,1.2,5.1,0.092,,1.4,-1.4,0.0,1.3
2014,32.0,BRK,NBA,SG,79.0,2575.0,15.5,0.564,0.397,0.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,,3.9,1.0,4.9,0.091,,2.0,-1.8,0.2,1.4
2015,33.0,BRK,NBA,SG,80.0,2791.0,14.1,0.523,0.329,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,,2.6,1.5,4.1,0.07,,0.7,-0.8,-0.1,1.3
2016,34.0,TOT,NBA,SF,81.0,2703.0,12.0,0.538,0.364,0.165,2.0,10.2,6.1,18.0,1.1,0.1,14.7,17.9,,1.9,0.8,2.7,0.048,,-0.6,-1.3,-1.9,0.1
2016,34.0,BRK,NBA,SF,57.0,1934.0,10.7,0.512,0.377,0.178,1.9,11.2,6.5,18.0,1.0,0.1,15.0,17.8,,0.6,0.2,0.7,0.018,,-1.2,-1.4,-2.6,-0.3
2016,34.0,MIA,NBA,SF,24.0,769.0,15.2,0.603,0.335,0.135,2.3,7.6,5.0,17.9,1.4,0.2,13.9,18.4,,1.3,0.6,2.0,0.123,,0.8,-1.0,-0.1,0.4
2017,35.0,UTA,NBA,SF,78.0,1843.0,12.8,0.542,0.412,0.123,2.1,12.8,7.6,12.6,1.0,0.8,9.5,18.5,,1.7,2.1,3.8,0.099,,0.4,0.1,0.4,1.1
2018,36.0,TOT,NBA,SF,55.0,1205.0,8.1,0.49,0.403,0.125,1.3,14.7,8.1,10.2,0.7,0.5,11.4,15.9,,-0.3,1.3,1.0,0.04,,-2.7,-0.2,-2.9,-0.3
2018,36.0,UTA,NBA,SF,32.0,700.0,9.0,0.492,0.372,0.106,2.0,15.2,8.7,9.8,0.9,0.7,11.6,17.2,,-0.2,0.8,0.6,0.041,,-2.3,-0.3,-2.6,-0.1
2018,36.0,HOU,NBA,SF,23.0,505.0,6.8,0.485,0.455,0.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,,0.0,0.4,0.4,0.038,,-3.3,0.0,-3.3,-0.2
