PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marcus Morris,26.0,80,80.0,2856,410,945,0.434,108,298,0.36200000000000004,302,647,0.467,0.491,203,271,0.7490000000000001,91,313,404,201,67,23,140,170,1131
Kentavious Caldwell-Pope,22.0,76,76.0,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.8109999999999999,70,212,282,138,110,17,105,167,1105
Andre Drummond,22.0,81,81.0,2666,552,1060,0.521,2,6,0.33299999999999996,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314
Reggie Jackson,25.0,79,79.0,2424,540,1244,0.434,118,334,0.353,422,910,0.46399999999999997,0.48200000000000004,291,337,0.8640000000000001,58,195,253,492,59,11,223,187,1489
Stanley Johnson,19.0,73,6.0,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593
Ersan İlyasova,28.0,52,52.0,1434,216,508,0.425,78,215,0.363,138,293,0.47100000000000003,0.502,79,109,0.725,99,183,282,55,38,27,59,120,589
Anthony Tolliver,30.0,72,5.0,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.5329999999999999,29,47,0.617,39,190,229,52,26,16,28,86,383
Aron Baynes,29.0,81,1.0,1233,194,384,0.505,0,2,0.0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514
Steve Blake,35.0,58,2.0,986,93,240,0.38799999999999996,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254
Tobias Harris,23.0,27,25.0,903,166,348,0.47700000000000004,33,88,0.375,133,260,0.512,0.524,82,90,0.9109999999999999,25,143,168,70,18,12,30,62,447
Reggie Bullock,24.0,37,0.0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.9329999999999999,14,54,68,27,10,2,8,29,122
Brandon Jennings,26.0,23,1.0,416,53,143,0.371,24,77,0.312,29,66,0.439,0.455,27,38,0.711,5,41,46,70,11,2,22,24,157
Darrun Hilliard,22.0,38,2.0,383,52,131,0.397,19,50,0.38,33,81,0.40700000000000003,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152
Spencer Dinwiddie,22.0,12,0.0,159,19,54,0.35200000000000004,1,10,0.1,18,44,0.409,0.361,19,33,0.5760000000000001,4,13,17,22,3,0,7,20,58
Joel Anthony,33.0,19,0.0,96,6,10,0.6,0,0,,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18
Jodie Meeks,28.0,3,0.0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1.0,1,4,5,3,0,0,1,2,22
Justin Harper,26.0,5,0.0,35,4,10,0.4,4,9,0.444,0,1,0.0,0.6,1,2,0.5,0,1,1,0,1,0,2,3,13
Team Totals,,82,,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,0.491,1399,2095,0.6679999999999999,1021,2777,3798,1594,573,304,1110,1557,8361
