Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001,21.0,VAN,NBA,PF,80.0,1312.0,13.1,0.487,0.012,0.416,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,,0.2,1.6,1.9,0.069,,-2.9,0.9,-2.0,0.0
2002,22.0,MEM,NBA,PF,68.0,1805.0,17.2,0.539,0.005,0.499,10.0,16.6,13.3,5.0,1.5,4.3,14.1,21.8,,1.7,2.0,3.7,0.099,,-1.0,0.0,-1.0,0.4
2003,23.0,MEM,NBA,PF,67.0,1478.0,18.0,0.542,0.004,0.501,8.8,20.3,14.6,5.0,1.9,4.8,14.2,21.2,,1.6,1.7,3.3,0.108,,-0.7,0.5,-0.1,0.7
2004,24.0,MEM,NBA,PF,77.0,1528.0,19.2,0.53,0.007,0.459,10.3,17.7,14.0,4.4,1.9,5.6,11.4,22.8,,2.4,2.4,4.8,0.15,,-0.2,0.7,0.5,1.0
2005,25.0,MEM,NBA,PF,60.0,1279.0,16.7,0.517,0.008,0.449,8.7,16.9,12.8,6.2,1.7,5.7,13.3,24.9,,0.6,2.3,2.9,0.107,,-2.4,1.1,-1.3,0.2
2006,26.0,HOU,NBA,C,66.0,1344.0,14.6,0.533,0.004,0.456,9.1,16.1,12.7,3.6,1.5,3.0,14.2,22.7,,0.4,2.1,2.5,0.091,,-2.8,0.1,-2.7,-0.2
2007,27.0,MEM,NBA,C,54.0,1029.0,14.2,0.517,0.014,0.387,9.9,19.2,14.5,2.8,1.5,4.6,14.6,20.8,,0.2,0.8,1.0,0.047,,-3.0,-0.9,-4.0,-0.5
2008,28.0,TOT,NBA,PF,56.0,844.0,14.8,0.548,0.008,0.411,8.5,18.3,13.4,5.1,0.9,4.8,14.0,19.3,,0.6,0.8,1.4,0.078,,-2.6,-0.2,-2.8,-0.2
2008,28.0,MEM,NBA,PF,35.0,549.0,15.9,0.56,0.011,0.458,9.3,17.1,13.2,6.6,0.9,4.8,15.5,20.4,,0.4,0.5,0.9,0.079,,-2.0,0.1,-1.9,0.0
2008,28.0,NJN,NBA,PF,21.0,295.0,12.7,0.523,0.0,0.318,7.1,20.5,13.7,2.3,0.9,4.7,10.7,17.4,,0.1,0.3,0.5,0.074,,-3.7,-0.7,-4.4,-0.2
2009,29.0,TOT,NBA,PF,19.0,185.0,6.8,0.46,0.018,0.464,10.4,18.6,14.6,2.4,1.1,3.3,19.2,20.3,,-0.3,0.2,-0.1,-0.033,,-7.9,-1.7,-9.5,-0.4
2009,29.0,NJN,NBA,PF,6.0,64.0,6.6,0.58,0.0,0.733,9.2,15.1,12.1,2.6,0.0,2.6,26.1,19.6,,-0.1,0.0,0.0,-0.026,,-7.7,-1.7,-9.5,-0.1
2009,29.0,PHO,NBA,PF,13.0,121.0,6.8,0.41,0.024,0.366,11.0,20.4,15.9,2.3,1.7,3.6,15.9,20.6,,-0.2,0.1,-0.1,-0.037,,-7.9,-1.7,-9.6,-0.2
