PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Michael Jordan,26,82,82,3197,16.0,30.5,0.526,1.4,3.8,0.376,14.6,26.7,0.5479999999999999,9.2,10.8,0.848,2.2,6.6,8.8,8.1,3.5,0.8,3.8,3.7,42.7,,123,106
Scottie Pippen,24,82,82,3148,8.9,18.1,0.489,0.4,1.8,0.25,8.4,16.4,0.514,3.1,4.7,0.675,2.4,6.3,8.6,7.0,3.3,1.6,4.4,4.7,21.3,,103,105
Horace Grant,24,80,80,2753,8.0,15.4,0.523,0.0,0.0,,8.0,15.4,0.523,3.2,4.6,0.6990000000000001,4.3,7.1,11.3,4.1,1.7,1.5,2.0,4.1,19.3,,118,108
John Paxson,29,82,82,2365,7.7,14.9,0.516,0.7,1.9,0.359,7.0,12.9,0.539,1.2,1.4,0.8240000000000001,0.6,1.9,2.5,7.0,1.7,0.1,1.8,3.7,17.2,,117,113
Bill Cartwright,32,71,71,2160,6.7,13.7,0.488,0.0,0.0,,6.7,13.7,0.488,5.2,6.4,0.8109999999999999,3.1,7.5,10.7,3.3,0.9,0.8,2.8,5.6,18.6,,112,110
Stacey King,23,82,2,1777,7.5,14.8,0.504,0.0,0.0,0.0,7.5,14.8,0.505,5.4,7.5,0.727,4.7,6.0,10.7,2.4,1.1,1.6,3.3,6.0,20.3,,111,110
B.J. Armstrong,22,81,0,1291,7.3,15.1,0.485,0.1,0.2,0.5,7.2,14.8,0.484,2.7,3.0,0.885,0.7,3.2,3.9,7.6,1.8,0.2,3.2,4.0,17.4,,107,112
Craig Hodges,29,63,0,1055,6.8,15.6,0.43799999999999994,4.1,8.5,0.48100000000000004,2.7,7.1,0.387,1.4,1.6,0.909,0.5,2.0,2.5,5.2,1.4,0.1,1.4,4.1,19.1,,123,114
Will Perdue,24,77,11,884,6.2,15.0,0.414,0.0,0.3,0.0,6.2,14.8,0.42200000000000004,4.0,5.8,0.6920000000000001,4.9,7.1,12.0,2.6,1.1,1.5,3.6,8.4,16.5,,97,109
Ed Nealy,29,46,0,503,3.7,6.9,0.529,0.0,0.2,0.0,3.7,6.7,0.544,3.0,4.0,0.732,4.5,9.1,13.6,2.8,1.6,0.4,1.7,6.6,10.3,,124,108
Charles Davis,31,53,0,429,6.7,18.3,0.36700000000000005,0.8,2.9,0.28,5.9,15.4,0.38299999999999995,0.8,0.9,0.875,2.9,6.5,9.4,2.1,1.2,0.9,2.3,6.0,15.0,,88,110
Jeff Sanders,24,31,0,182,3.5,10.9,0.325,0.0,0.0,,3.5,10.9,0.325,0.5,1.1,0.5,4.6,6.0,10.6,2.5,1.1,1.1,4.1,7.4,7.6,,74,110
Jack Haley,26,11,0,58,7.7,17.1,0.45,0.0,0.0,,7.7,17.1,0.45,6.0,6.0,1.0,6.0,9.4,15.4,3.4,0.0,0.9,6.0,6.0,21.4,,100,111
Clifford Lett,24,4,0,28,3.5,14.2,0.25,0.0,0.0,,3.5,14.2,0.25,0.0,0.0,,0.0,0.0,0.0,1.8,0.0,0.0,3.5,14.2,7.1,,49,117
