Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,18,954,MIN,Minnesota Timberwolves,Randy Foye,1983-09-24,23.0,NBA,PG,82.0,12.0,1879.0,5.7,13.2,0.43,1.3,3.5,0.37,4.4,9.7,0.46,3.1,3.7,0.85,0.9,3.2,4.2,4.4,1.0,0.4,2.9,3.5,15.9
2008,18,954,MIN,Minnesota Timberwolves,Randy Foye,1983-09-24,24.0,NBA,PG,39.0,31.0,1259.0,5.7,13.2,0.43,1.7,4.2,0.41,3.9,9.0,0.44,1.5,1.9,0.82,0.4,3.3,3.7,4.7,1.0,0.1,2.3,2.9,14.6
2009,18,954,MIN,Minnesota Timberwolves,Randy Foye,1983-09-24,25.0,NBA,SG,70.0,61.0,2494.0,5.8,14.2,0.41,1.6,4.4,0.36,4.2,9.7,0.43,3.3,3.9,0.85,0.5,2.6,3.1,4.4,1.0,0.4,2.2,2.9,16.4
2010,30,954,WAS,Washington Wizards,Randy Foye,1983-09-24,26.0,NBA,PG,70.0,38.0,1667.0,5.5,13.4,0.41,1.4,3.9,0.35,4.2,9.4,0.44,2.8,3.1,0.89,0.3,2.5,2.8,4.9,0.7,0.2,2.0,2.7,15.2
2011,13,954,LAC,Los Angeles Clippers,Randy Foye,1983-09-24,27.0,NBA,SG,63.0,24.0,1551.0,4.8,12.3,0.39,1.6,5.0,0.33,3.1,7.3,0.43,3.1,3.5,0.89,0.3,2.1,2.4,3.9,1.1,0.5,2.2,2.8,14.3
2012,13,954,LAC,Los Angeles Clippers,Randy Foye,1983-09-24,28.0,NBA,SG,65.0,48.0,1682.0,5.5,13.8,0.4,2.7,7.0,0.39,2.8,6.7,0.41,1.6,1.8,0.86,0.5,2.4,3.0,3.1,1.0,0.5,1.6,2.8,15.2
2013,29,954,UTA,Utah Jazz,Randy Foye,1983-09-24,29.0,NBA,SG,82.0,72.0,2249.0,4.7,11.8,0.4,2.8,6.9,0.41,1.8,4.9,0.38,1.9,2.3,0.82,0.3,1.8,2.0,2.7,1.1,0.4,1.5,3.0,14.1
2014,8,954,DEN,Denver Nuggets,Randy Foye,1983-09-24,30.0,NBA,SG,81.0,78.0,2485.0,5.2,12.7,0.41,2.7,7.2,0.38,2.5,5.5,0.46,2.3,2.7,0.85,0.5,2.8,3.4,4.2,1.0,0.6,2.1,3.0,15.5
2015,8,954,DEN,Denver Nuggets,Randy Foye,1983-09-24,31.0,NBA,SG,50.0,21.0,1087.0,4.9,13.3,0.37,3.1,8.7,0.36,1.8,4.6,0.39,1.5,1.8,0.82,0.3,2.5,2.8,3.9,1.1,0.4,2.0,3.2,14.4
2016,31,954,TOT,Total After Trade,Randy Foye,1983-09-24,32.0,NBA,SG,81.0,8.0,1642.0,3.7,10.6,0.35,1.6,5.5,0.3,2.1,5.1,0.4,1.3,1.6,0.82,0.5,2.9,3.4,3.5,0.9,0.6,1.9,2.9,10.4
2016,8,954,DEN,Denver Nuggets,Randy Foye,1983-09-24,32.0,NBA,SG,54.0,7.0,1070.0,3.9,11.2,0.35,1.7,5.7,0.3,2.3,5.5,0.41,1.3,1.6,0.83,0.5,3.0,3.5,3.8,0.9,0.5,2.0,2.8,10.9
2016,21,954,OKC,Oklahoma City Thunder,Randy Foye,1983-09-24,32.0,NBA,SG,27.0,1.0,572.0,3.3,9.4,0.35,1.6,5.1,0.31,1.7,4.3,0.4,1.4,1.7,0.82,0.5,2.7,3.2,3.1,0.8,0.8,1.8,3.0,9.5
2017,3,954,BRK,Brooklyn Nets,Randy Foye,1983-09-24,33.0,NBA,SG,69.0,40.0,1284.0,3.3,9.1,0.36,1.9,5.7,0.33,1.4,3.4,0.42,1.5,1.8,0.86,0.3,4.1,4.3,3.8,1.0,0.3,2.2,2.8,10.0
