PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
LeBron James,23,13,13,552,11.4,27.8,0.41100000000000003,1.8,7.1,0.257,9.6,20.7,0.46299999999999997,12.3,16.9,0.731,1.6,8.7,10.3,10.0,2.3,1.7,5.5,3.3,37.0,,107,99
Delonte West,24,13,13,453,5.4,13.6,0.4,2.2,5.2,0.429,3.2,8.4,0.382,4.3,5.1,0.8540000000000001,1.0,4.3,5.3,6.7,1.8,0.7,3.9,4.9,17.4,,104,104
Zydrunas Ilgauskas,32,13,13,393,9.5,19.9,0.479,0.0,0.0,,9.5,19.9,0.479,5.1,6.3,0.818,4.7,9.2,13.9,3.0,0.7,2.0,3.0,5.0,24.2,,108,101
Wally Szczerbiak,30,13,13,374,7.0,18.7,0.376,3.0,9.3,0.32299999999999995,4.0,9.4,0.429,3.9,4.2,0.929,0.6,2.8,3.4,2.8,0.3,0.1,1.5,4.8,20.9,,107,108
Ben Wallace,33,13,13,304,3.1,6.1,0.515,0.0,0.0,,3.1,6.1,0.515,1.3,3.7,0.35,5.9,9.6,15.4,2.8,1.5,2.6,1.3,4.8,7.5,,115,99
Daniel Gibson,21,11,0,284,6.9,15.3,0.449,3.7,8.3,0.452,3.1,7.1,0.444,2.0,2.8,0.7140000000000001,0.8,3.0,3.7,5.3,1.4,0.4,3.0,3.5,19.5,,110,106
Joe Smith,32,13,0,263,7.6,15.7,0.486,0.0,0.2,0.0,7.6,15.5,0.493,3.0,4.7,0.636,4.2,8.5,12.7,1.3,1.1,1.5,1.3,8.7,18.3,,110,101
Anderson Varejão,25,13,0,240,5.1,12.6,0.40700000000000003,0.0,0.0,,5.1,12.6,0.40700000000000003,2.1,4.9,0.429,4.7,10.9,15.6,2.1,1.9,0.2,2.1,7.0,12.3,,93,100
Sasha Pavlović,24,8,0,111,5.0,13.1,0.385,2.0,4.5,0.444,3.0,8.6,0.353,2.0,3.0,0.667,3.0,2.0,5.0,0.5,1.0,0.0,1.0,8.6,14.1,,105,107
Devin Brown,29,8,0,92,5.5,20.6,0.265,3.0,10.3,0.294,2.4,10.3,0.235,6.1,9.1,0.667,4.9,6.7,11.5,5.5,1.2,0.0,5.5,6.1,20.0,,86,104
Damon Jones,31,5,0,26,4.3,21.5,0.2,4.3,15.0,0.28600000000000003,0.0,6.4,0.0,0.0,0.0,,0.0,0.0,0.0,2.1,0.0,0.0,2.1,2.1,12.9,,65,111
Dwayne Jones,24,5,0,20,2.8,5.6,0.5,0.0,0.0,,2.8,5.6,0.5,2.8,5.6,0.5,5.6,11.2,16.8,0.0,0.0,2.8,2.8,11.2,8.4,,96,100
Billy Thomas,32,3,0,8,7.0,14.0,0.5,7.0,14.0,0.5,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,20.9,,163,92
