Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1992,20,95,NYK,New York Knicks,Greg Anthony,"November 15, 1967",24.0,NBA,PG,82.0,1.0,1510.0,5.5,14.9,0.37,0.3,1.9,0.14,5.2,13.0,0.4,4.0,5.4,0.74,1.1,3.5,4.7,10.7,2.0,0.3,3.4,5.8,15.3,101.0,106.0
1993,20,95,NYK,New York Knicks,Greg Anthony,"November 15, 1967",25.0,NBA,PG,70.0,35.0,1699.0,5.2,12.5,0.42,0.1,0.9,0.13,5.1,11.6,0.44,3.2,4.8,0.67,1.3,3.8,5.1,11.9,3.4,0.4,3.1,4.2,13.7,105.0,99.0
1994,20,95,NYK,New York Knicks,Greg Anthony,"November 15, 1967",26.0,NBA,PG,80.0,36.0,1994.0,5.8,14.8,0.39,1.2,4.1,0.3,4.6,10.7,0.43,3.4,4.4,0.77,1.1,3.8,4.9,9.5,3.0,0.3,3.3,4.2,16.3,105.0,99.0
1995,20,95,NYK,New York Knicks,Greg Anthony,"November 15, 1967",27.0,NBA,PG,61.0,2.0,943.0,7.1,16.4,0.44,3.1,8.7,0.36,4.0,7.7,0.52,3.4,4.2,0.79,0.4,3.2,3.6,8.9,2.8,0.4,3.2,5.5,20.8,113.0,104.0
1996,15,95,VAN,Vancouver Grizzlies,Greg Anthony,"November 15, 1967",28.0,NBA,PG,69.0,68.0,2096.0,8.2,19.7,0.42,2.3,6.8,0.33,5.9,12.8,0.46,5.8,7.5,0.77,0.7,3.6,4.4,12.0,2.9,0.3,4.0,3.4,24.3,109.0,109.0
1997,15,95,VAN,Vancouver Grizzlies,Greg Anthony,"November 15, 1967",29.0,NBA,PG,65.0,44.0,1863.0,5.8,14.8,0.39,2.6,6.9,0.37,3.2,7.8,0.41,3.8,5.2,0.73,0.7,4.6,5.4,11.9,3.8,0.1,3.8,3.6,17.9,108.0,110.0
1998,21,95,SEA,Seattle Supersonics,Greg Anthony,"November 15, 1967",30.0,NBA,PG,80.0,0.0,1021.0,7.9,18.3,0.43,3.5,8.3,0.42,4.4,9.9,0.44,2.8,4.2,0.66,0.9,4.9,5.8,10.7,3.4,0.2,4.8,5.1,21.9,106.0,103.0
1999,25,95,POR,Portland Trail Blazers,Greg Anthony,"November 15, 1967",31.0,NBA,PG,50.0,0.0,806.0,6.9,16.8,0.41,3.3,8.3,0.39,3.7,8.4,0.44,4.1,5.9,0.7,0.9,3.3,4.2,6.7,4.4,0.2,3.7,5.0,21.3,107.0,96.0
2000,25,95,POR,Portland Trail Blazers,Greg Anthony,"November 15, 1967",32.0,NBA,PG,82.0,3.0,1548.0,5.8,14.4,0.41,3.0,8.0,0.38,2.8,6.3,0.44,3.0,3.9,0.77,0.6,4.0,4.6,7.2,2.0,0.3,2.9,4.9,17.7,110.0,103.0
2001,25,95,POR,Portland Trail Blazers,Greg Anthony,"November 15, 1967",33.0,NBA,PG,58.0,0.0,856.0,6.1,15.9,0.38,4.1,10.0,0.41,2.0,5.9,0.34,1.4,2.2,0.66,1.3,2.5,3.8,5.2,2.5,0.2,2.7,4.0,17.7,105.0,104.0
2002,31,95,TOT,Total After Trade,Greg Anthony,"November 15, 1967",34.0,NBA,PG,60.0,38.0,1514.0,6.4,16.7,0.38,1.7,5.7,0.29,4.7,10.9,0.43,2.1,3.2,0.66,0.8,3.9,4.6,9.9,2.7,0.2,3.3,4.0,16.6,97.0,108.0
2002,5,95,CHI,Chicago Bulls,Greg Anthony,"November 15, 1967",34.0,NBA,PG,36.0,35.0,961.0,6.2,15.8,0.39,1.6,5.0,0.32,4.6,10.9,0.43,2.6,3.9,0.67,0.9,4.0,4.9,11.2,2.7,0.2,3.2,4.0,16.7,101.0,108.0
2002,17,95,MIL,Milwaukee Bucks,Greg Anthony,"November 15, 1967",34.0,NBA,PG,24.0,3.0,553.0,6.7,18.1,0.37,1.8,7.0,0.26,4.9,11.1,0.44,1.3,2.0,0.62,0.6,3.7,4.2,7.6,2.7,0.1,3.5,4.0,16.5,91.0,108.0
