PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Karl Malone,23,82,2857,18.0,0.536,0.005,0.38,10.0,21.2,15.6,8.8,1.7,1.2,12.5,26.3,,1.8,5.1,6.9,0.11599999999999999,,0.3,0.0,0.3,1.7
Mark Eaton,30,79,2505,11.1,0.44799999999999995,0.0,0.364,8.7,20.4,14.5,5.3,0.8,7.4,17.3,13.0,,-1.5,5.0,3.6,0.068,,-3.8,3.1,-0.7,0.8
Thurl Bailey,25,81,2155,13.9,0.49,0.002,0.228,6.9,14.0,10.4,7.1,0.8,2.3,9.7,23.2,,0.2,2.9,3.1,0.07,,-1.0,-0.4,-1.3,0.4
Rickey Green,32,81,2090,15.9,0.531,0.03,0.32299999999999995,1.9,6.3,4.1,35.1,2.4,0.1,15.3,16.5,,3.0,2.6,5.6,0.128,,0.8,0.7,1.5,1.9
Kelly Tripucka,27,79,1865,13.0,0.5539999999999999,0.084,0.364,3.0,10.6,6.7,17.9,2.1,0.3,18.8,18.9,,0.8,2.6,3.3,0.085,,-1.6,0.9,-0.7,0.6
John Stockton,24,82,1858,19.0,0.575,0.084,0.495,1.8,6.7,4.2,47.6,4.4,0.4,22.5,15.5,,3.4,3.3,6.7,0.174,,1.6,3.7,5.3,3.4
Darrell Griffith,28,76,1843,15.0,0.505,0.193,0.204,4.5,8.3,6.4,11.1,2.4,0.9,10.7,27.2,,-0.1,2.6,2.5,0.066,,-0.1,0.3,0.2,1.0
Bob Hansen,26,72,1453,12.4,0.512,0.075,0.298,6.0,8.6,7.3,10.1,1.4,0.2,10.2,20.6,,0.9,1.6,2.6,0.085,,-1.8,-0.3,-2.1,0.0
Kent Benson,32,73,895,11.7,0.48200000000000004,0.022000000000000002,0.184,9.2,17.7,13.4,6.0,2.0,1.8,11.6,17.1,,0.1,1.6,1.7,0.08900000000000001,,-3.0,1.2,-1.8,0.0
Marc Iavaroni,30,78,845,7.8,0.522,0.019,0.54,7.8,13.5,10.6,5.6,0.9,0.7,17.4,15.1,,0.0,1.1,1.1,0.062,,-4.9,-0.1,-4.9,-0.6
Carey Scurry,24,69,753,18.3,0.562,0.053,0.5429999999999999,13.3,14.1,13.7,10.5,3.4,4.1,15.5,19.1,,1.0,1.6,2.6,0.168,,0.5,3.4,3.9,1.1
Dell Curry,22,67,636,11.3,0.474,0.184,0.11699999999999999,4.9,7.9,6.4,13.7,2.0,0.4,11.4,24.1,,-0.3,0.8,0.5,0.035,,-3.1,-0.3,-3.4,-0.2
