Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2003,21.0,CLE,NBA,PF,81.0,54.0,2049.0,8.3,15.4,0.536,0.0,0.0,0.0,8.3,15.4,0.536,3.7,4.8,0.771,5.0,10.1,15.2,2.6,1.5,1.2,2.6,5.6,20.2,,114.0,105.0
2004,22.0,CLE,NBA,PF,75.0,75.0,2592.0,9.6,18.3,0.523,0.0,0.1,0.167,9.6,18.2,0.526,4.5,5.8,0.768,4.7,12.8,17.5,3.0,1.5,1.1,2.7,4.1,23.7,,113.0,101.0
2005,23.0,UTA,NBA,PF,51.0,51.0,1772.0,11.1,21.2,0.521,0.0,0.0,0.0,11.1,21.2,0.522,5.7,8.2,0.698,4.3,9.7,14.0,4.4,1.3,0.7,4.2,5.5,27.9,,108.0,108.0
2006,24.0,UTA,NBA,PF,33.0,19.0,1025.0,11.7,21.3,0.549,0.0,0.0,,11.7,21.3,0.549,5.3,7.3,0.723,3.9,11.3,15.2,4.7,1.6,0.4,3.7,5.6,28.6,,113.0,105.0
2007,25.0,UTA,NBA,PF,74.0,74.0,2557.0,13.3,23.6,0.561,0.0,0.0,,13.3,23.6,0.561,5.2,7.6,0.685,4.8,13.0,17.8,4.5,1.4,0.4,4.0,4.4,31.7,,114.0,104.0
2008,26.0,UTA,NBA,PF,81.0,81.0,2827.0,12.9,23.6,0.547,0.0,0.0,0.0,12.9,23.6,0.547,5.3,7.2,0.738,3.6,11.8,15.4,4.2,1.8,0.7,3.8,5.3,31.1,,112.0,103.0
2009,27.0,UTA,NBA,PF,37.0,37.0,1197.0,10.8,22.0,0.49,0.0,0.0,,10.8,22.0,0.49,4.2,6.0,0.698,4.8,11.8,16.6,3.4,1.7,0.3,3.4,5.7,25.8,,105.0,105.0
2010,28.0,UTA,NBA,PF,78.0,78.0,2673.0,11.8,21.0,0.562,0.0,0.0,,11.8,21.0,0.562,5.5,7.4,0.742,3.5,13.3,16.7,4.7,1.6,0.7,4.1,5.2,29.1,,112.0,102.0
2011,29.0,CHI,NBA,C,59.0,59.0,1882.0,12.2,23.9,0.51,0.0,0.0,,12.2,23.9,0.51,4.8,6.9,0.701,3.7,12.3,15.9,4.1,1.3,0.5,4.2,5.3,29.2,,105.0,99.0
2012,30.0,CHI,NBA,PF,66.0,66.0,1948.0,12.4,23.3,0.532,0.0,0.0,0.0,12.4,23.2,0.533,2.6,3.8,0.693,3.2,12.4,15.6,3.5,1.7,0.7,3.2,4.6,27.4,,108.0,95.0
2013,31.0,CHI,NBA,PF,79.0,79.0,2546.0,11.5,24.1,0.477,0.0,0.0,0.0,11.5,24.0,0.478,4.1,5.6,0.731,3.7,12.6,16.3,3.8,1.4,0.6,3.7,5.0,27.0,,101.0,100.0
2014,32.0,CHI,NBA,PF,76.0,76.0,2141.0,11.1,24.4,0.456,0.0,0.0,0.0,11.1,24.3,0.457,3.7,4.8,0.767,3.4,12.3,15.7,2.9,1.3,0.5,3.8,5.4,25.9,,95.0,98.0
2015,33.0,LAL,NBA,PF,71.0,26.0,1692.0,11.2,22.4,0.499,0.0,0.0,,11.2,22.4,0.499,2.8,4.5,0.627,3.4,11.2,14.5,2.9,1.2,0.4,2.8,5.6,25.2,,102.0,109.0
