PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Patrick Ewing,31.0,79,79.0,2972,745,1503,0.496,4,14,0.28600000000000003,741,1489,0.498,0.49700000000000005,445,582,0.765,219,666,885,179,90,217,260,275,1939
Charles Oakley,30.0,82,82.0,2932,363,760,0.478,0,3,0.0,363,757,0.48,0.478,243,313,0.7759999999999999,349,616,965,218,110,18,193,293,969
John Starks,28.0,59,54.0,2057,410,977,0.42,113,337,0.335,297,640,0.46399999999999997,0.47700000000000004,187,248,0.754,37,148,185,348,95,6,184,191,1120
Greg Anthony,26.0,80,36.0,1994,225,571,0.39399999999999996,48,160,0.3,177,411,0.431,0.436,130,168,0.774,43,146,189,365,114,13,127,163,628
Anthony Mason,27.0,73,12.0,1903,206,433,0.47600000000000003,0,1,0.0,206,432,0.47700000000000004,0.47600000000000003,116,161,0.72,158,269,427,151,31,9,107,190,528
Anthony Bonner,25.0,73,38.0,1402,162,288,0.563,0,0,,162,288,0.563,0.563,50,105,0.47600000000000003,150,194,344,88,76,13,89,175,374
Hubert Davis,23.0,56,27.0,1333,238,505,0.47100000000000003,53,132,0.402,185,373,0.496,0.524,85,103,0.825,23,44,67,165,40,4,76,118,614
Derek Harper,32.0,54,27.0,1311,173,402,0.43,36,98,0.36700000000000005,137,304,0.451,0.475,84,113,0.743,10,76,86,236,80,4,81,117,466
Charles Smith,28.0,43,21.0,1105,176,397,0.44299999999999995,8,16,0.5,168,381,0.441,0.45299999999999996,87,121,0.7190000000000001,66,99,165,50,26,45,64,144,447
Rolando Blackman,34.0,55,1.0,969,161,369,0.436,30,84,0.35700000000000004,131,285,0.46,0.47700000000000004,48,53,0.9059999999999999,23,70,93,76,25,6,44,100,400
Herb Williams,35.0,70,3.0,774,103,233,0.442,0,1,0.0,103,232,0.444,0.442,27,42,0.643,56,126,182,28,18,43,39,108,233
Doc Rivers,32.0,19,19.0,499,55,127,0.433,19,52,0.365,36,75,0.48,0.508,14,22,0.636,4,35,39,100,25,5,29,44,143
Tony Campbell,31.0,22,11.0,379,63,128,0.49200000000000005,1,3,0.33299999999999996,62,125,0.496,0.496,30,37,0.8109999999999999,28,32,60,31,20,1,29,59,157
Corey Gaines,28.0,18,0.0,78,9,20,0.45,2,5,0.4,7,15,0.467,0.5,13,15,0.867,3,10,13,30,2,0,5,12,33
Eric Anderson,23.0,11,0.0,39,7,17,0.41200000000000003,2,2,1.0,5,15,0.33299999999999996,0.47100000000000003,5,14,0.35700000000000004,6,11,17,2,0,1,2,9,21
Gerald Paddio,28.0,3,0.0,8,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,0,0,0,0,0,0,0,3,4
Team Totals,,82,,19755,3098,6735,0.46,316,908,0.348,2782,5827,0.47700000000000004,0.483,1564,2097,0.746,1175,2542,3717,2067,752,385,1360,2001,8076
