PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Latrell Sprewell,23.0,82,82.0,3533,613,1417,0.433,141,391,0.361,472,1026,0.46,0.48200000000000004,353,456,0.774,80,321,401,385,180,76,226,158,1720
Billy Owens,24.0,79,72.0,2738,492,971,0.507,3,15,0.2,489,956,0.512,0.508,199,326,0.61,230,410,640,326,83,60,214,269,1186
Chris Webber,20.0,76,76.0,2438,572,1037,0.552,0,14,0.0,572,1023,0.5589999999999999,0.552,189,355,0.532,305,389,694,272,93,164,206,247,1333
Avery Johnson,28.0,82,70.0,2332,356,724,0.49200000000000005,0,12,0.0,356,712,0.5,0.49200000000000005,178,253,0.7040000000000001,41,135,176,433,113,8,172,160,890
Chris Mullin,30.0,62,39.0,2324,410,869,0.47200000000000003,55,151,0.364,355,718,0.494,0.503,165,219,0.753,64,281,345,315,107,53,178,114,1040
Victor Alexander,24.0,69,39.0,1318,266,502,0.53,2,13,0.154,264,489,0.54,0.532,68,129,0.527,114,194,308,66,28,32,86,168,602
Chris Gatling,26.0,82,23.0,1296,271,461,0.588,0,1,0.0,271,460,0.589,0.588,129,208,0.62,143,254,397,41,40,63,84,223,671
Keith Jennings,25.0,76,2.0,1097,138,342,0.40399999999999997,56,151,0.371,82,191,0.429,0.485,100,120,0.833,16,73,89,218,65,0,74,62,432
Jeff Grayer,28.0,67,4.0,1096,191,363,0.526,2,12,0.16699999999999998,189,351,0.5379999999999999,0.529,71,118,0.602,76,115,191,62,33,13,63,103,455
Byron Houston,24.0,71,2.0,866,81,177,0.45799999999999996,1,7,0.14300000000000002,80,170,0.47100000000000003,0.46,33,54,0.611,67,127,194,32,33,31,49,181,196
Josh Grant,26.0,53,0.0,382,59,146,0.40399999999999997,17,61,0.27899999999999997,42,85,0.494,0.462,22,29,0.759,27,62,89,24,18,8,30,62,157
Jud Buechler,25.0,36,0.0,218,42,84,0.5,12,29,0.414,30,55,0.545,0.5710000000000001,10,20,0.5,13,19,32,16,8,1,12,24,106
Andre Spencer,29.0,5,1.0,63,9,18,0.5,0,0,,9,18,0.5,0.5,3,4,0.75,4,8,12,3,1,2,2,6,21
Todd Lichti,27.0,5,0.0,58,10,28,0.35700000000000004,2,2,1.0,8,26,0.308,0.39299999999999996,9,11,0.818,3,7,10,3,0,0,0,9,31
Dell Demps,23.0,2,0.0,11,2,6,0.33299999999999996,0,0,,2,6,0.33299999999999996,0.33299999999999996,0,2,0.0,0,0,0,1,2,0,1,1,4
Tod Murphy,30.0,2,0.0,10,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,2,0
Team Totals,,82,,19780,3512,7145,0.49200000000000005,291,859,0.33899999999999997,3221,6286,0.512,0.512,1529,2304,0.664,1183,2396,3579,2198,804,511,1433,1789,8844
