Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23.0,PHI,NBA,PG,82.0,6.0,16.7,1.9,4.5,0.42,0.7,1.9,0.359,1.2,2.7,0.463,0.495,0.7,0.8,0.884,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1.4,5.2
1989-90,24.0,PHI,NBA,PG,72.0,1.0,13.5,1.7,3.8,0.431,0.4,1.1,0.392,1.2,2.7,0.447,0.487,0.7,0.8,0.877,0.2,0.7,0.9,2.9,0.7,0.0,0.5,1.5,4.4
1990-91,25.0,MIN,NBA,PG,80.0,0.0,12.3,2.0,4.6,0.43,0.6,1.7,0.333,1.4,2.9,0.485,0.491,0.8,0.9,0.847,0.4,0.6,0.9,2.6,0.7,0.1,0.6,1.5,5.3
1991-92,26.0,MIN,NBA,PG,82.0,0.0,13.2,2.0,4.6,0.447,0.4,1.1,0.356,1.6,3.5,0.475,0.489,0.6,0.8,0.81,0.3,0.9,1.2,2.5,0.8,0.1,0.6,1.0,5.1
1992-93,27.0,HOU,NBA,PG,82.0,0.0,18.5,2.2,4.7,0.475,0.5,1.2,0.414,1.7,3.5,0.497,0.529,1.4,1.6,0.83,0.3,0.9,1.2,3.0,1.0,0.0,0.9,1.7,6.3
1993-94,28.0,HOU,NBA,PG,73.0,0.0,16.8,1.9,4.0,0.491,0.3,0.8,0.377,1.6,3.1,0.522,0.531,1.0,1.2,0.871,0.1,1.3,1.4,2.0,0.7,0.0,0.8,1.3,5.2
1994-95,29.0,TOT,NBA,PG,59.0,0.0,13.7,2.1,4.7,0.458,0.4,1.2,0.362,1.7,3.5,0.49,0.504,1.1,1.3,0.81,0.2,0.9,1.1,2.0,0.6,0.1,0.8,0.9,5.8
1994-95,29.0,HOU,NBA,PG,28.0,0.0,6.6,1.3,2.3,0.538,0.3,0.6,0.471,1.0,1.7,0.563,0.6,0.6,0.8,0.857,0.0,0.4,0.5,0.8,0.3,0.0,0.5,0.5,3.4
1994-95,29.0,DAL,NBA,PG,31.0,0.0,20.1,2.9,6.8,0.433,0.5,1.7,0.327,2.4,5.1,0.468,0.474,1.5,1.9,0.793,0.4,1.3,1.7,3.0,0.8,0.1,1.1,1.4,7.9
1995-96,30.0,DAL,NBA,PG,69.0,0.0,10.4,1.9,4.2,0.457,0.4,0.9,0.403,1.6,3.3,0.472,0.5,0.9,1.0,0.855,0.2,0.4,0.6,1.4,0.6,0.0,0.6,0.8,5.1
1996-97,31.0,NYK,NBA,PG,38.0,0.0,6.6,0.5,1.0,0.487,0.1,0.3,0.417,0.4,0.7,0.519,0.551,0.4,0.4,0.933,0.2,0.3,0.5,0.8,0.6,0.0,0.4,0.9,1.5
1997-98,32.0,CLE,NBA,PG,43.0,0.0,7.3,0.7,1.5,0.424,0.1,0.3,0.455,0.5,1.3,0.418,0.462,0.4,0.5,0.9,0.1,0.6,0.7,1.1,0.4,0.1,0.3,0.6,1.8
