Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2012,22.0,SAC,NBA,PG,65.0,37.0,1656.0,256.0,571.0,0.448,83.0,219.0,0.379,173.0,352.0,0.491,0.521,154.0,185.0,0.832,48.0,120.0,168.0,266.0,53.0,8.0,105.0,121.0,749.0,,0.0
2013,23.0,SAC,NBA,PG,79.0,62.0,2122.0,366.0,832.0,0.44,115.0,321.0,0.358,251.0,511.0,0.491,0.509,253.0,287.0,0.882,29.0,132.0,161.0,316.0,67.0,3.0,140.0,167.0,1100.0,,0.0
2014,24.0,SAC,NBA,PG,72.0,54.0,2497.0,496.0,1096.0,0.453,127.0,364.0,0.349,369.0,732.0,0.504,0.51,346.0,407.0,0.85,47.0,163.0,210.0,454.0,93.0,8.0,213.0,185.0,1465.0,,1.0
2015,25.0,TOT,NBA,PG,67.0,1.0,1726.0,335.0,797.0,0.42,129.0,346.0,0.373,206.0,451.0,0.457,0.501,302.0,348.0,0.868,33.0,120.0,153.0,284.0,57.0,5.0,143.0,150.0,1101.0,,0.0
2015,25.0,PHO,NBA,PG,46.0,1.0,1181.0,218.0,512.0,0.426,81.0,207.0,0.391,137.0,305.0,0.449,0.505,184.0,211.0,0.872,26.0,83.0,109.0,171.0,45.0,5.0,89.0,105.0,701.0,,0.0
2015,25.0,BOS,NBA,PG,21.0,0.0,545.0,117.0,285.0,0.411,48.0,139.0,0.345,69.0,146.0,0.473,0.495,118.0,137.0,0.861,7.0,37.0,44.0,113.0,12.0,0.0,54.0,45.0,400.0,,0.0
2016,26.0,BOS,NBA,PG,82.0,79.0,2644.0,591.0,1382.0,0.428,167.0,465.0,0.359,424.0,917.0,0.462,0.488,474.0,544.0,0.871,46.0,197.0,243.0,509.0,91.0,9.0,220.0,167.0,1823.0,,0.0
2017,27.0,BOS,NBA,PG,76.0,76.0,2569.0,682.0,1473.0,0.463,245.0,646.0,0.379,437.0,827.0,0.528,0.546,590.0,649.0,0.909,43.0,162.0,205.0,448.0,70.0,13.0,210.0,167.0,2199.0,,0.0
2018,28.0,TOT,NBA,PG,32.0,15.0,862.0,157.0,421.0,0.373,55.0,188.0,0.293,102.0,233.0,0.438,0.438,117.0,131.0,0.893,17.0,50.0,67.0,153.0,15.0,3.0,95.0,58.0,486.0,,0.0
2018,28.0,CLE,NBA,PG,15.0,14.0,406.0,70.0,194.0,0.361,22.0,87.0,0.253,48.0,107.0,0.449,0.418,59.0,68.0,0.868,7.0,24.0,31.0,68.0,9.0,2.0,41.0,25.0,221.0,,0.0
2018,28.0,LAL,NBA,PG,17.0,1.0,456.0,87.0,227.0,0.383,33.0,101.0,0.327,54.0,126.0,0.429,0.456,58.0,63.0,0.921,10.0,26.0,36.0,85.0,6.0,1.0,54.0,33.0,265.0,,0.0
2019,29.0,DEN,NBA,SG,12.0,0.0,181.0,34.0,99.0,0.343,12.0,43.0,0.279,22.0,56.0,0.393,0.404,17.0,27.0,0.63,5.0,8.0,13.0,23.0,5.0,1.0,18.0,17.0,97.0,,0.0
2020,30.0,WAS,NBA,PG,40.0,37.0,925.0,174.0,426.0,0.408,78.0,189.0,0.413,96.0,237.0,0.405,0.5,62.0,76.0,0.816,11.0,57.0,68.0,146.0,13.0,6.0,77.0,77.0,488.0,,0.0
