NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
7,Carmelo Anthony,PF,6-8,238,1984-05-29,US,15,Syracuse
15,Clint Capela,C,6-10,240,1994-05-18,CH,4,
1,Michael Carter-Williams,PG,6-5,190,1991-10-10,US,5,Syracuse
2,Chris Chiozza,PG,5-11,175,1995-11-21,US,R,Florida
0,Marquese Chriss,PF,6-9,240,1997-07-02,US,2,Washington
6,Gary Clark,PF,6-6,225,1994-11-16,US,R,Cincinnati
12,Vince Edwards,SF,6-8,225,1996-04-05,US,R,Purdue
8,James Ennis,SF,6-6,215,1990-07-01,US,4,Cal State Long Beach
35,Kenneth Faried,C,6-8,220,1989-11-19,US,7,Morehead State University
10,Eric Gordon,SG,6-3,215,1988-12-25,US,10,Indiana
14,Gerald Green,SG,6-6,205,1986-01-26,US,11,
13,James Harden,PG,6-5,220,1989-08-26,US,9,Arizona State
55,Isaiah Hartenstein,PF,7-0,249,1998-05-05,US,R,
42,Nenê Hilário,C,6-11,250,1982-09-13,BR,16,
4,Danuel House,SF,6-6,220,1993-06-07,US,2,Texas A&M
9,Terrence Jones,PF,6-9,252,1992-01-09,US,5,Kentucky
2,Brandon Knight,PG,6-2,182,1991-12-02,US,6,Kentucky
21,James Nunnally,SF,6-7,208,1990-07-14,US,1,UC Santa Barbara
3,Chris Paul,PG,6-1,175,1985-05-06,US,13,Wake Forest
9,Zhou Qi,PF,7-1,210,1996-01-16,CN,1,
25,Austin Rivers,SG,6-3,200,1992-08-01,US,6,Duke
1,Iman Shumpert,SG,6-5,215,1990-06-26,US,7,Georgia Tech
17,P.J. Tucker,PF,6-5,245,1985-05-05,US,7,Texas
