SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2019,7,DAL,37,Kostas Antetokounmpo,PF,6-10,200,1997-11-20,GR,R,Dayton
2019,7,DAL,5,J.J. Barea,PG,5-10,180,1984-06-26,PR,12,Northeastern University
2019,7,DAL,40,Harrison Barnes,PF,6-8,225,1992-05-30,US,6,UNC
2019,7,DAL,45,Ryan Broekhoff,SG,6-6,215,1990-08-23,AU,R,Valparaiso
2019,7,DAL,13,Jalen Brunson,PG,6-1,190,1996-08-31,US,R,Villanova
2019,7,DAL,23,Trey Burke,PG,6-0,185,1992-11-12,US,5,Michigan
2019,7,DAL,77,Luka Doncic,SG,6-7,230,1999-02-28,SI,R,
2019,7,DAL,10,Dorian Finney-Smith,SF,6-7,220,1993-05-04,US,2,Florida
2019,7,DAL,11,Tim Hardaway,SG,6-5,205,1992-03-16,US,5,Michigan
2019,7,DAL,34,Devin Harris,PG,6-3,185,1983-02-27,US,14,Wisconsin
2019,7,DAL,44,Justin Jackson,SF,6-7,220,1995-03-28,US,1,UNC
2019,7,DAL,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,10,Texas A&M
2019,7,DAL,42,Maxi Kleber,PF,6-10,240,1992-01-29,DE,1,
2019,7,DAL,1,Courtney Lee,SG,6-5,215,1985-10-03,US,10,Western Kentucky
2019,7,DAL,3,Daryl Macon,SG,6-2,185,1995-11-29,US,R,Arkansas
2019,7,DAL,23,Wesley Matthews,SF,6-4,220,1986-10-14,US,9,Marquette
2019,7,DAL,50,Salah Mejri,C,7-2,235,1986-06-15,TN,3,
2019,7,DAL,41,Dirk Nowitzki,PF,7-0,245,1978-06-19,DE,20,
2019,7,DAL,7,Dwight Powell,C,6-10,240,1991-07-20,CA,4,Stanford
2019,7,DAL,1,Dennis Smith,PG,6-2,205,1997-11-25,US,1,NC State
2019,7,DAL,26,Ray Spalding,PF,6-10,215,1997-03-11,US,R,Louisville
