SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2019,14,LAL,2,Lonzo Ball,PG,6-6,190,1997-10-27,US,1,UCLA
2019,14,LAL,11,Michael Beasley,PF,6-9,235,1989-01-09,US,10,Kansas State
2019,14,LAL,17,Isaac Bonga,PG,6-8,180,1999-11-08,DE,R,
2019,14,LAL,35,Reggie Bullock,SG,6-6,205,1991-03-16,US,5,UNC
2019,14,LAL,1,Kentavious Caldwell-Pope,SG,6-5,204,1993-02-18,US,5,Georgia
2019,14,LAL,4,Alex Caruso,PG,6-5,186,1994-02-28,US,1,Texas A&M
2019,14,LAL,5,Tyson Chandler,C,7-0,235,1982-10-02,US,17,
2019,14,LAL,3,Josh Hart,SG,6-5,215,1995-03-06,US,1,Villanova
2019,14,LAL,20,Andre Ingram,SG,6-3,190,1985-11-19,US,1,American University
2019,14,LAL,14,Brandon Ingram,SF,6-7,190,1997-09-02,US,2,Duke
2019,14,LAL,23,LeBron James,SF,6-9,250,1984-12-30,US,15,
2019,14,LAL,10,Jemerrio Jones,SF,6-5,174,1995-04-09,US,R,"Hill College, New Mexico State"
2019,14,LAL,0,Kyle Kuzma,PF,6-8,221,1995-07-24,US,1,Utah
2019,14,LAL,10,Scott Machado,PG,6-1,205,1990-06-08,US,1,Iona College
2019,14,LAL,7,JaVale McGee,C,7-0,270,1988-01-19,US,10,Nevada
2019,14,LAL,31,Mike Muscala,PF,6-10,240,1991-07-01,US,5,Bucknell
2019,14,LAL,10,Sviatoslav Mykhailiuk,SF,6-7,205,1997-06-10,UA,R,Kansas
2019,14,LAL,9,Rajon Rondo,PG,6-1,180,1986-02-22,US,12,Kentucky
2019,14,LAL,6,Lance Stephenson,SG,6-6,230,1990-09-05,US,8,Cincinnati
2019,14,LAL,15,Moritz Wagner,C,6-11,245,1997-04-26,DE,R,Michigan
2019,14,LAL,19,Johnathan Williams,C,6-9,228,1995-05-22,US,R,"Missouri, Gonzaga"
2019,14,LAL,40,Ivica Zubac,C,7-0,240,1997-03-18,BA,2,
