SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2019,20,NYK,0,Kadeem Allen,PG,6-1,200,1993-01-15,US,1,Arizona
2019,20,NYK,31,Ron Baker,SG,6-4,220,1993-03-30,US,2,Wichita State
2019,20,NYK,23,Trey Burke,PG,6-0,185,1992-11-12,US,5,Michigan
2019,20,NYK,21,Damyean Dotson,SG,6-5,210,1994-05-06,US,1,"Oregon, Houston"
2019,20,NYK,13,Henry Ellenson,PF,6-10,240,1997-01-13,US,2,Marquette
2019,20,NYK,3,Billy Garrett,SG,6-6,213,1994-10-16,US,R,DePaul
2019,20,NYK,3,Tim Hardaway,SG,6-5,205,1992-03-16,US,5,Michigan
2019,20,NYK,8,Mario Hezonja,SF,6-8,220,1995-02-25,HR,3,
2019,20,NYK,4,Isaiah Hicks,PF,6-9,230,1994-07-24,US,1,UNC
2019,20,NYK,30,John Jenkins,SG,6-4,215,1991-03-06,US,5,Vanderbilt
2019,20,NYK,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,10,Texas A&M
2019,20,NYK,0,Enes Kanter,C,6-10,250,1992-05-20,CH,7,
2019,20,NYK,20,Kevin Knox,PF,6-7,215,1999-08-11,US,R,Kentucky
2019,20,NYK,2,Luke Kornet,PF,7-2,250,1995-07-15,US,1,Vanderbilt
2019,20,NYK,5,Courtney Lee,SG,6-5,215,1985-10-03,US,10,Western Kentucky
2019,20,NYK,23,Wesley Matthews,SG,6-4,220,1986-10-14,US,9,Marquette
2019,20,NYK,1,Emmanuel Mudiay,PG,6-3,200,1996-03-05,CD,3,
2019,20,NYK,11,Frank Ntilikina,PG,6-4,200,1998-07-28,BE,1,
2019,20,NYK,26,Mitchell Robinson,C,7-0,240,1998-04-01,US,R,Western Kentucky
2019,20,NYK,5,Dennis Smith,PG,6-2,205,1997-11-25,US,1,NC State
2019,20,NYK,42,Lance Thomas,PF,6-8,240,1988-04-24,US,7,Duke
2019,20,NYK,14,Allonzo Trier,SG,6-4,200,1996-01-17,US,R,Arizona
2019,20,NYK,32,Noah Vonleh,PF,6-10,257,1995-08-24,US,4,Indiana
