NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
31,Jarrett Allen,C,6-11,243,1998-04-21,US,1,Texas
9,DeMarre Carroll,PF,6-6,215,1986-07-27,US,9,"Vanderbilt, Missouri"
33,Allen Crabbe,SG,6-5,212,1992-04-09,US,5,California
55,Mitch Creek,SF,6-5,216,1992-04-27,AU,R,
17,Ed Davis,C,6-9,218,1989-06-05,US,8,UNC
8,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,4,Colorado
6,Jared Dudley,PF,6-6,237,1985-07-10,US,11,Boston College
35,Kenneth Faried,C,6-8,220,1989-11-19,US,7,Morehead State University
21,Treveon Graham,SG,6-5,219,1993-10-28,US,2,VCU
12,Joe Harris,SG,6-6,220,1991-09-06,US,4,Virginia
24,Rondae Hollis-Jefferson,SF,6-6,217,1995-01-03,US,3,Arizona
0,Rodions Kurucs,SF,6-9,228,1998-02-05,LV,R,
22,Caris LeVert,SF,6-6,205,1994-08-25,US,2,Michigan
0,Tahjere McCall,SG,6-5,195,1994-08-17,US,R,Tennessee State
30,Džanan Musa,SG,6-9,217,1999-05-08,BA,R,
13,Shabazz Napier,PG,6-0,175,1991-07-14,US,4,UConn
10,Theo Pinson,SG,6-5,212,1995-11-05,US,R,UNC
1,D'Angelo Russell,PG,6-4,193,1996-02-23,US,3,Ohio State
15,Alan Williams,PF,6-8,265,1993-01-28,US,3,UC Santa Barbara
