Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,10,860,GSW,Golden State Warriors,Chris Engler,"March 1, 1959",23.0,NBA,C,54.0,1.0,369.0,3.7,9.2,0.4,0.0,0.0,,3.7,9.2,0.4,0.5,1.6,0.31,4.2,6.0,10.1,1.1,0.7,1.7,2.3,9.3,7.9
1984,10,860,GSW,Golden State Warriors,Chris Engler,"March 1, 1959",24.0,NBA,C,46.0,1.0,360.0,3.3,8.3,0.4,0.0,0.0,,3.3,8.3,0.4,1.4,2.3,0.61,2.7,7.0,9.7,1.1,0.9,0.3,2.4,6.8,8.0
1985,31,860,TOT,Total After Trade,Chris Engler,"March 1, 1959",25.0,NBA,C,11.0,0.0,82.0,3.5,8.8,0.4,0.0,0.0,,3.5,8.8,0.4,2.2,4.0,0.56,5.3,7.9,13.2,0.0,0.9,2.2,0.9,2.2,9.2
1985,3,860,NJN,New Jersey Nets,Chris Engler,"March 1, 1959",25.0,NBA,C,7.0,0.0,76.0,3.3,7.6,0.44,0.0,0.0,,3.3,7.6,0.44,2.4,4.3,0.56,4.7,8.1,12.8,0.0,0.9,1.9,0.5,1.9,9.0
1985,5,860,CHI,Chicago Bulls,Chris Engler,"March 1, 1959",25.0,NBA,C,3.0,0.0,3.0,12.0,24.0,0.5,0.0,0.0,,12.0,24.0,0.5,0.0,0.0,,12.0,12.0,24.0,0.0,0.0,0.0,12.0,12.0,24.0
1985,17,860,MIL,Milwaukee Bucks,Chris Engler,"March 1, 1959",25.0,NBA,C,1.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0
1987,31,860,TOT,Total After Trade,Chris Engler,"March 1, 1959",27.0,NBA,C,30.0,0.0,195.0,4.2,9.4,0.45,0.0,0.0,,4.2,9.4,0.45,2.2,3.0,0.75,4.2,6.3,10.5,1.5,0.9,2.0,2.2,6.1,10.7
1987,25,860,POR,Portland Trail Blazers,Chris Engler,"March 1, 1959",27.0,NBA,C,7.0,0.0,17.0,8.5,16.9,0.5,0.0,0.0,,8.5,16.9,0.5,6.4,6.4,1.0,12.7,4.2,16.9,2.1,2.1,2.1,4.2,0.0,23.3
1987,17,860,MIL,Milwaukee Bucks,Chris Engler,"March 1, 1959",27.0,NBA,C,5.0,0.0,48.0,2.3,9.0,0.25,0.0,0.0,,2.3,9.0,0.25,0.7,0.7,1.0,2.3,9.7,12.0,2.3,0.7,0.7,0.0,7.5,5.2
1987,3,860,NJN,New Jersey Nets,Chris Engler,"March 1, 1959",27.0,NBA,C,18.0,0.0,130.0,4.4,8.6,0.52,0.0,0.0,,4.4,8.6,0.52,2.2,3.3,0.67,3.9,5.3,9.1,1.1,0.8,2.5,2.8,6.4,11.1
1988,3,860,NJN,New Jersey Nets,Chris Engler,"March 1, 1959",28.0,NBA,C,54.0,0.0,399.0,3.2,7.9,0.41,0.0,0.0,,3.2,7.9,0.41,2.8,3.2,0.89,2.9,6.0,8.8,1.4,0.8,0.5,2.6,6.6,9.3
