PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kevin Love,24,18,18,34.3,5.8,16.6,0.35200000000000004,1.1,5.1,0.217,4.7,11.4,0.413,0.386,5.6,7.9,0.7040000000000001,3.6,10.4,14.0,2.3,0.7,0.5,2.2,1.9,18.3
Andrei Kirilenko,31,64,64,31.8,4.4,8.8,0.507,0.5,1.9,0.292,3.9,6.9,0.5660000000000001,0.5379999999999999,2.9,3.9,0.752,1.6,4.1,5.7,2.8,1.5,1.0,1.9,1.3,12.4
Nikola Peković,27,62,62,31.6,6.2,12.0,0.52,0.0,0.0,,6.2,12.0,0.52,0.52,3.9,5.2,0.7440000000000001,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,16.3
Luke Ridnour,31,82,82,30.2,4.5,9.9,0.45299999999999996,0.8,2.6,0.311,3.7,7.3,0.503,0.493,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5
Ricky Rubio,22,57,47,29.7,3.2,9.0,0.36,0.5,1.6,0.293,2.8,7.4,0.374,0.386,3.7,4.6,0.799,0.8,3.2,4.0,7.3,2.4,0.1,3.0,2.5,10.7
Dante Cunningham,25,80,9,25.1,3.9,8.4,0.46799999999999997,0.0,0.1,0.0,3.9,8.3,0.47200000000000003,0.46799999999999997,0.8,1.3,0.65,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7
Derrick Williams,21,78,56,24.6,4.3,10.1,0.43,0.8,2.5,0.332,3.5,7.6,0.46299999999999997,0.47100000000000003,2.5,3.5,0.706,1.2,4.3,5.5,0.6,0.6,0.5,1.3,1.6,12.0
Brandon Roy,28,5,5,24.4,2.2,7.0,0.314,0.0,1.8,0.0,2.2,5.2,0.423,0.314,1.4,2.0,0.7,0.6,2.2,2.8,4.6,0.6,0.0,1.4,1.0,5.8
Alexey Shved,24,77,16,23.9,3.1,8.2,0.37200000000000005,1.1,3.7,0.295,2.0,4.5,0.435,0.439,1.4,1.9,0.72,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,8.6
J.J. Barea,28,74,2,23.1,4.3,10.2,0.41700000000000004,1.3,3.8,0.34600000000000003,3.0,6.5,0.45799999999999996,0.48100000000000004,1.4,1.8,0.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3
Chase Budinger,24,23,1,22.1,3.4,8.3,0.414,1.1,3.5,0.321,2.3,4.8,0.48200000000000004,0.48200000000000004,1.4,1.8,0.762,0.7,2.4,3.1,1.1,0.6,0.3,1.0,1.3,9.4
Josh Howard,32,11,4,18.8,2.8,7.0,0.40299999999999997,0.5,1.5,0.313,2.4,5.5,0.426,0.435,0.6,1.1,0.583,0.8,2.5,3.3,0.4,0.9,0.3,0.9,1.6,6.7
Malcolm Lee,22,16,12,18.1,1.8,4.8,0.382,0.5,1.5,0.33299999999999996,1.3,3.3,0.40399999999999997,0.434,0.8,1.3,0.6,0.9,1.5,2.4,1.3,0.8,0.4,0.6,1.9,4.9
Mickaël Gelabale,29,36,13,17.9,2.0,3.9,0.518,0.4,1.4,0.308,1.6,2.4,0.644,0.5760000000000001,0.6,0.7,0.875,0.9,1.9,2.8,0.7,0.4,0.1,0.4,1.3,5.0
Greg Stiemsma,27,76,19,15.9,1.7,3.7,0.457,0.0,0.0,,1.7,3.7,0.457,0.457,0.7,0.9,0.768,0.8,2.6,3.4,0.4,0.6,1.2,0.8,2.4,4.0
Chris Johnson,27,30,0,9.5,1.6,2.5,0.64,0.0,0.0,,1.6,2.5,0.64,0.64,0.7,1.1,0.618,0.7,1.3,2.0,0.3,0.2,0.9,0.4,1.6,3.9
Lou Amundson,30,20,0,8.1,0.7,1.9,0.368,0.0,0.0,,0.7,1.9,0.368,0.368,0.2,1.0,0.2,1.2,1.2,2.4,0.2,0.4,0.3,0.6,1.3,1.6
Lazar Hayward,26,4,0,7.8,0.5,2.5,0.2,0.0,1.0,0.0,0.5,1.5,0.33299999999999996,0.2,1.5,1.5,1.0,0.0,1.0,1.0,0.8,0.5,0.0,0.0,0.8,2.5
Will Conroy,30,4,0,5.0,0.0,2.3,0.0,0.0,0.8,0.0,0.0,1.5,0.0,0.0,0.3,0.5,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3
