PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Andre Iguodala,29,80,80,34.7,5.0,11.0,0.451,1.1,3.6,0.317,3.8,7.4,0.515,0.502,1.9,3.4,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0
Ty Lawson,25,73,71,34.4,6.1,13.3,0.461,1.2,3.2,0.366,5.0,10.1,0.491,0.505,3.2,4.3,0.7559999999999999,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7
Danilo Gallinari,24,71,71,32.5,5.1,12.3,0.418,1.9,5.1,0.373,3.2,7.2,0.45,0.495,4.0,4.9,0.8220000000000001,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2
Kenneth Faried,23,80,80,28.1,4.8,8.6,0.552,0.0,0.0,,4.8,8.6,0.552,0.552,2.0,3.3,0.613,3.3,5.9,9.2,1.0,1.0,1.0,1.4,2.9,11.5
Andre Miller,36,82,11,26.2,3.7,7.7,0.479,0.2,0.8,0.266,3.5,6.9,0.504,0.493,2.0,2.4,0.84,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,9.6
Wilson Chandler,25,43,8,25.1,4.9,10.6,0.462,1.2,2.9,0.413,3.7,7.7,0.48,0.519,2.0,2.6,0.7929999999999999,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0
Corey Brewer,26,82,2,24.4,4.6,10.8,0.425,1.1,3.7,0.29600000000000004,3.5,7.0,0.493,0.47600000000000003,1.8,2.6,0.69,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1
Kosta Koufos,23,81,81,22.4,3.6,6.3,0.581,0.0,0.0,0.0,3.6,6.3,0.5820000000000001,0.581,0.7,1.3,0.5579999999999999,2.6,4.3,6.9,0.4,0.5,1.3,0.7,3.0,8.0
JaVale McGee,25,79,0,18.1,3.8,6.7,0.575,0.0,0.0,1.0,3.8,6.7,0.574,0.5760000000000001,1.4,2.4,0.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1
Evan Fournier,20,38,4,11.3,2.0,4.0,0.493,0.6,1.4,0.40700000000000003,1.4,2.6,0.541,0.5660000000000001,0.8,1.0,0.769,0.2,0.8,0.9,1.2,0.5,0.0,0.8,1.7,5.3
Jordan Hamilton,22,40,1,9.9,2.1,5.0,0.418,0.7,1.8,0.37,1.4,3.2,0.445,0.485,0.3,0.7,0.5,0.8,1.6,2.4,0.6,0.4,0.2,0.5,0.6,5.2
Timofey Mozgov,26,41,1,8.9,1.1,2.1,0.506,0.0,0.0,0.0,1.1,2.1,0.518,0.506,0.5,0.6,0.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6
Anthony Randolph,23,39,0,8.4,1.4,2.9,0.491,0.0,0.2,0.0,1.4,2.7,0.528,0.491,0.8,1.2,0.6890000000000001,0.7,1.7,2.4,0.3,0.5,0.5,0.9,1.1,3.7
Julyan Stone,24,4,0,7.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.8,1.0,0.75,0.5,0.3,0.8,0.5,0.3,0.0,0.5,1.0,1.8
Quincy Miller,20,7,0,3.7,0.6,1.7,0.33299999999999996,0.0,0.1,0.0,0.6,1.6,0.364,0.33299999999999996,0.1,0.3,0.5,0.1,0.1,0.3,0.4,0.1,0.0,0.1,0.4,1.3
