Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1997,23.0,CHH,NBA,PG,61.0,867.0,14.2,0.596,0.438,0.199,4.5,9.2,6.9,18.5,2.3,0.5,19.6,18.8,,1.0,0.6,1.6,0.087,,0.9,-0.6,0.3,0.5
1998,24.0,TOT,NBA,PG,77.0,1681.0,13.1,0.452,0.197,0.189,2.3,8.8,5.5,19.3,2.3,0.5,11.2,25.3,,-0.6,1.3,0.8,0.022,,-1.1,-0.3,-1.5,0.2
1998,24.0,CHH,NBA,PG,3.0,34.0,2.4,0.82,0.25,0.5,0.0,7.0,3.6,13.3,0.0,0.0,45.0,12.1,,0.0,0.0,0.0,-0.025,,-6.1,-0.4,-6.5,0.0
1998,24.0,GSW,NBA,PG,74.0,1647.0,13.3,0.45,0.196,0.188,2.4,8.8,5.5,19.4,2.3,0.5,10.9,25.5,,-0.5,1.3,0.8,0.023,,-1.0,-0.3,-1.4,0.3
1999,25.0,GSW,NBA,PG,36.0,630.0,11.6,0.433,0.261,0.281,1.8,7.5,4.6,26.6,1.4,0.7,13.7,23.2,,0.0,0.4,0.4,0.029,,-0.9,-0.9,-1.8,0.1
2001,27.0,PHO,NBA,SG,82.0,2288.0,13.4,0.49,0.182,0.255,3.7,9.3,6.5,12.1,1.7,0.5,9.0,22.0,,1.7,2.9,4.6,0.096,,-0.7,0.1,-0.6,0.8
2002,28.0,TOT,NBA,SG,63.0,1447.0,13.8,0.473,0.364,0.165,4.4,11.4,7.8,15.2,1.9,0.5,8.6,21.5,,1.0,1.5,2.5,0.084,,0.1,-0.2,0.0,0.7
2002,28.0,PHO,NBA,SG,41.0,877.0,15.9,0.488,0.353,0.161,4.8,11.2,8.0,15.6,1.9,0.3,8.2,24.8,,1.0,0.8,1.8,0.098,,1.4,-0.4,1.0,0.7
2002,28.0,BOS,NBA,SG,22.0,570.0,10.4,0.437,0.39,0.174,3.8,11.6,7.6,14.6,2.0,0.8,9.3,16.3,,0.0,0.7,0.7,0.062,,-1.9,0.2,-1.7,0.0
2003,29.0,BOS,NBA,PG,67.0,1873.0,13.7,0.547,0.543,0.155,2.4,11.9,7.0,14.0,2.0,0.4,10.3,16.6,,2.5,2.1,4.6,0.117,,0.3,0.8,1.1,1.4
2004,30.0,DAL,NBA,SG,33.0,509.0,13.2,0.484,0.359,0.239,3.3,9.4,6.3,7.8,2.7,1.0,7.7,19.0,,0.6,0.3,0.8,0.08,,-0.7,0.4,-0.3,0.2
2005,31.0,ATL,NBA,SG,56.0,1340.0,15.1,0.512,0.342,0.23,2.3,9.3,5.6,13.9,1.8,0.2,7.7,23.6,,1.8,0.3,2.1,0.074,,0.7,-1.6,-1.0,0.3
2006,32.0,TOT,NBA,"PG,SG",24.0,385.0,16.1,0.526,0.292,0.168,4.3,12.2,8.2,15.2,1.9,0.2,9.9,23.7,,0.4,0.5,0.9,0.112,,0.4,-0.5,-0.1,0.2
2006,32.0,ATL,NBA,SG,1.0,7.0,16.1,0.532,0.0,2.0,16.7,17.7,17.2,0.0,0.0,0.0,0.0,12.2,,0.0,0.0,0.0,0.171,,1.1,-3.3,-2.2,0.0
2006,32.0,DET,NBA,PG,23.0,378.0,16.1,0.526,0.294,0.156,4.0,12.1,8.0,15.5,1.9,0.2,10.0,23.9,,0.4,0.5,0.9,0.111,,0.4,-0.5,-0.1,0.2
