Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1987,22.0,MIL,NBA,PG,13.0,0.0,205.0,18.0,62.0,0.29,3.0,14.0,0.214,15.0,48.0,0.313,0.315,10.0,12.0,0.833,6.0,20.0,26.0,45.0,5.0,1.0,21.0,18.0,49.0,,0.0
1988,23.0,IND,NBA,PG,51.0,2.0,760.0,86.0,209.0,0.411,6.0,20.0,0.3,80.0,189.0,0.423,0.426,45.0,54.0,0.833,11.0,55.0,66.0,180.0,22.0,3.0,76.0,97.0,223.0,,0.0
1989,24.0,IND,NBA,PG,80.0,13.0,1571.0,198.0,442.0,0.448,20.0,75.0,0.267,178.0,367.0,0.485,0.471,130.0,144.0,0.903,21.0,128.0,149.0,390.0,64.0,2.0,177.0,151.0,546.0,,0.0
1990,25.0,ORL,NBA,PG,70.0,32.0,1460.0,190.0,464.0,0.409,52.0,132.0,0.394,138.0,332.0,0.416,0.466,104.0,119.0,0.874,23.0,136.0,159.0,334.0,36.0,4.0,90.0,126.0,536.0,,1.0
1991,26.0,ORL,NBA,PG,79.0,66.0,2714.0,462.0,1039.0,0.445,93.0,228.0,0.408,369.0,811.0,0.455,0.489,340.0,377.0,0.902,57.0,213.0,270.0,660.0,89.0,4.0,252.0,192.0,1357.0,,0.0
1992,27.0,ORL,NBA,PG,75.0,63.0,2377.0,359.0,868.0,0.414,91.0,250.0,0.364,268.0,618.0,0.434,0.466,248.0,277.0,0.895,36.0,166.0,202.0,544.0,74.0,5.0,233.0,188.0,1057.0,,0.0
1993,28.0,ORL,NBA,PG,78.0,78.0,3086.0,416.0,891.0,0.467,80.0,235.0,0.34,336.0,656.0,0.512,0.512,289.0,324.0,0.892,52.0,238.0,290.0,735.0,86.0,2.0,267.0,244.0,1201.0,,1.0
1994,29.0,ORL,NBA,PG,82.0,46.0,2303.0,276.0,644.0,0.429,68.0,165.0,0.412,208.0,479.0,0.434,0.481,195.0,222.0,0.878,42.0,147.0,189.0,503.0,47.0,2.0,193.0,171.0,815.0,,0.0
1995,30.0,WSB,NBA,PG,62.0,62.0,2077.0,265.0,583.0,0.455,96.0,228.0,0.421,169.0,355.0,0.476,0.537,179.0,202.0,0.886,26.0,133.0,159.0,452.0,70.0,6.0,172.0,135.0,805.0,,0.0
1996,31.0,PHI,NBA,PG,10.0,9.0,236.0,20.0,57.0,0.351,15.0,34.0,0.441,5.0,23.0,0.217,0.482,8.0,10.0,0.8,1.0,15.0,16.0,38.0,7.0,0.0,16.0,21.0,63.0,,0.0
