Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1985,23.0,HOU,NBA,SG,3.0,0.0,6.0,7.7,7.7,1.0,0.0,0.0,,7.7,7.7,1.0,15.4,15.4,1.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,23.1,30.8,,227.0,45.0
1986,24.0,HOU,NBA,SG,10.0,0.0,38.0,10.2,20.4,0.5,0.0,1.3,0.0,10.2,19.1,0.533,5.1,6.4,0.8,1.3,2.6,3.8,7.7,5.1,1.3,3.8,5.1,25.5,,111.0,103.0
1988,26.0,CLE,NBA,SG,5.0,1.0,128.0,6.9,16.1,0.425,0.0,3.2,0.0,6.9,12.9,0.531,4.0,6.5,0.625,1.2,6.1,7.3,6.9,2.0,0.0,4.8,5.6,17.8,,90.0,110.0
1989,27.0,CLE,NBA,SG,4.0,1.0,97.0,9.3,21.3,0.436,2.7,7.1,0.385,6.6,14.2,0.462,4.9,6.0,0.818,1.1,2.2,3.3,7.1,1.6,0.5,2.7,5.5,26.3,,112.0,110.0
1990,28.0,CLE,NBA,SG,5.0,5.0,196.0,6.8,16.2,0.419,1.3,3.9,0.333,5.5,12.3,0.447,3.1,5.0,0.632,1.8,6.5,8.4,8.4,1.6,0.0,3.1,4.7,18.0,,102.0,112.0
1992,30.0,CLE,NBA,SG,17.0,14.0,552.0,6.0,14.4,0.414,2.0,4.8,0.412,4.0,9.6,0.416,1.5,2.0,0.762,2.1,5.2,7.3,7.3,2.0,0.5,1.7,3.8,15.5,,113.0,110.0
1993,31.0,CLE,NBA,SG,9.0,9.0,289.0,7.1,17.0,0.418,1.9,4.8,0.385,5.2,12.1,0.431,2.2,2.8,0.8,1.9,3.9,5.8,4.7,2.2,0.7,3.2,3.5,18.3,,99.0,109.0
1994,32.0,ATL,NBA,SG,11.0,0.0,317.0,8.6,20.3,0.424,1.4,4.0,0.348,7.2,16.3,0.442,2.9,4.1,0.708,1.9,3.3,5.2,6.9,1.9,0.0,2.2,5.5,21.5,,105.0,105.0
1995,33.0,ATL,NBA,SG,3.0,0.0,49.0,2.2,13.4,0.167,1.1,6.7,0.167,1.1,6.7,0.167,4.5,4.5,1.0,0.0,7.8,7.8,3.3,2.2,0.0,4.5,0.0,10.0,,64.0,113.0
1996,34.0,ATL,NBA,SG,9.0,0.0,171.0,4.0,13.5,0.293,2.3,7.6,0.304,1.7,5.9,0.278,1.7,2.3,0.714,0.3,5.6,5.9,3.0,3.0,0.7,3.0,4.6,11.9,,81.0,111.0
