PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Allen,24,82,82,3070,7.5,16.5,0.455,2.0,4.8,0.423,5.5,11.8,0.46799999999999997,4.1,4.7,0.887,1.0,3.2,4.2,3.6,1.3,0.2,2.1,2.2,21.2
Glenn Robinson,27,81,81,2909,8.5,18.1,0.47200000000000003,1.1,2.9,0.363,7.5,15.1,0.493,2.8,3.5,0.802,1.3,4.7,6.0,2.4,1.0,0.5,2.8,2.6,21.0
Sam Cassell,30,81,81,2899,6.8,14.5,0.466,0.3,1.1,0.289,6.4,13.4,0.48100000000000004,4.8,5.5,0.8759999999999999,0.9,2.9,3.7,9.1,1.3,0.1,3.3,3.2,18.7
Ervin Johnson,32,80,74,2129,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.518,1.6,2.7,0.605,3.9,7.0,11.0,0.7,1.4,2.1,1.4,5.0,6.5
Tim Thomas,22,80,1,2093,6.0,13.0,0.461,1.1,3.1,0.34600000000000003,4.9,9.8,0.49700000000000005,3.2,4.2,0.774,1.7,4.0,5.7,1.9,1.0,0.5,2.2,3.9,16.3
Scott Williams,31,68,46,1488,5.2,10.3,0.5,0.0,0.0,,5.2,10.3,0.5,2.3,3.1,0.7290000000000001,4.3,6.6,10.8,0.7,1.0,1.6,1.6,5.6,12.6
Danny Manning,33,72,0,1217,4.4,10.0,0.44,0.0,0.1,0.25,4.4,9.9,0.442,1.0,1.5,0.654,1.5,4.7,6.2,2.2,1.8,0.9,1.6,5.4,9.9
Vinny Del Negro,33,67,0,1211,4.5,9.7,0.47100000000000003,0.2,0.7,0.33299999999999996,4.3,8.9,0.48200000000000004,1.0,1.2,0.897,0.3,2.9,3.2,4.8,1.1,0.0,1.4,2.4,10.4
Darvin Ham,26,35,21,792,3.2,5.8,0.555,0.0,0.0,0.0,3.2,5.8,0.5589999999999999,1.6,3.5,0.449,3.9,4.0,7.8,1.9,1.3,1.3,1.3,4.6,8.0
J.R. Reid,31,34,7,602,3.2,7.6,0.41700000000000004,0.1,0.4,0.14300000000000002,3.1,7.2,0.433,2.6,3.3,0.768,1.7,5.3,7.0,1.1,1.1,0.3,1.2,4.8,9.0
Robert Traylor,22,44,16,447,4.7,9.8,0.475,0.0,0.3,0.0,4.7,9.5,0.49200000000000005,3.3,5.5,0.603,4.0,5.2,9.3,1.6,2.0,2.0,2.2,6.4,12.6
Rafer Alston,23,27,0,361,2.7,9.5,0.284,0.3,1.4,0.214,2.4,8.1,0.29600000000000004,0.3,0.4,0.75,0.5,1.8,2.3,7.0,1.2,0.0,2.9,2.9,6.0
Dale Ellis,39,18,0,324,5.2,11.2,0.465,2.6,7.2,0.354,2.7,4.0,0.667,0.7,1.0,0.667,0.8,3.0,3.8,0.7,0.7,0.0,0.8,2.6,13.7
Haywoode Workman,34,23,1,248,3.3,9.0,0.371,1.6,4.2,0.379,1.7,4.8,0.364,1.3,1.9,0.6920000000000001,0.1,2.3,2.5,6.4,1.6,0.0,2.0,3.3,9.6
Mirsad Türkcan,23,10,0,65,6.6,15.5,0.429,0.0,2.2,0.0,6.6,13.3,0.5,2.8,4.4,0.625,6.1,6.6,12.7,2.2,0.6,0.6,3.9,5.5,16.1
