PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Payton,31,82,82,3425,7.9,17.5,0.44799999999999995,1.9,5.5,0.34,6.0,12.0,0.49700000000000005,3.3,4.4,0.735,1.1,4.5,5.6,7.7,1.6,0.2,2.4,1.9,20.8
Vin Baker,28,79,75,2849,6.5,14.3,0.455,0.0,0.1,0.25,6.5,14.2,0.457,3.6,5.2,0.682,2.9,4.8,7.6,1.9,0.6,0.8,2.7,3.6,16.6
Brent Barry,28,80,74,2726,4.3,9.3,0.46299999999999997,2.2,5.3,0.41100000000000003,2.2,4.1,0.529,1.7,2.1,0.809,0.7,4.3,4.9,3.8,1.4,0.4,1.9,3.0,12.5
Horace Grant,34,76,76,2688,3.6,8.0,0.444,0.0,0.1,0.0,3.6,8.0,0.447,1.1,1.5,0.721,2.2,5.7,7.9,2.5,0.7,0.8,0.8,2.6,8.2
Ruben Patterson,24,81,74,2097,6.1,11.3,0.536,0.2,0.5,0.444,5.9,10.9,0.539,3.8,5.5,0.6920000000000001,3.7,3.7,7.5,2.2,1.6,0.7,2.5,3.3,16.2
Rashard Lewis,20,82,8,1575,6.3,12.9,0.486,0.9,2.7,0.33299999999999996,5.4,10.2,0.527,1.9,2.8,0.6829999999999999,2.9,4.8,7.7,1.6,1.4,0.8,1.8,3.7,15.4
Vernon Maxwell,34,47,0,989,6.2,17.8,0.345,2.4,8.1,0.3,3.7,9.7,0.382,3.9,5.4,0.73,0.5,2.3,2.9,2.7,1.4,0.3,1.9,3.0,18.7
Jelani McCoy,22,58,2,746,4.9,8.5,0.5760000000000001,0.0,0.0,,4.9,8.5,0.5760000000000001,2.2,4.4,0.495,2.6,6.0,8.6,1.2,0.7,2.2,2.2,6.1,12.0
Greg Foster,31,60,5,718,4.6,11.2,0.406,0.2,0.8,0.2,4.4,10.5,0.42100000000000004,0.9,1.4,0.643,0.8,4.6,5.4,2.1,0.5,0.9,1.4,5.3,10.2
Emanual Davis,31,54,2,701,4.1,11.3,0.364,1.6,5.3,0.301,2.5,6.0,0.419,1.3,2.0,0.684,0.8,4.4,5.1,3.6,2.0,0.3,2.3,3.7,11.1
Shammond Williams,24,43,5,517,5.8,15.7,0.373,1.7,5.6,0.29600000000000004,4.2,10.0,0.41700000000000004,2.3,3.6,0.647,0.8,2.8,3.6,5.4,1.3,0.0,2.8,2.7,15.7
Chuck Person,35,37,0,340,3.9,13.0,0.301,2.5,10.1,0.253,1.4,3.0,0.46399999999999997,0.4,0.8,0.5,0.6,5.0,5.6,2.3,0.5,0.2,1.3,5.9,10.8
Vladimir Stepania,23,30,1,202,5.2,14.1,0.36700000000000005,0.0,1.1,0.0,5.2,13.0,0.397,3.0,6.4,0.47200000000000003,3.7,4.6,8.4,0.5,1.8,2.0,3.9,7.8,13.4
Lazaro Borrell,27,17,6,167,6.0,13.6,0.444,0.0,0.6,0.0,6.0,12.9,0.467,1.3,2.4,0.545,3.0,5.6,8.6,2.2,1.3,0.6,1.3,1.9,13.4
Fred Vinson,29,8,0,40,4.5,15.3,0.294,1.8,6.3,0.28600000000000003,2.7,9.0,0.3,0.9,1.8,0.5,0.0,0.9,0.9,0.0,2.7,0.0,3.6,1.8,11.7
