Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014,4,CHA,Charlotte Bobcats,Kemba Walker,23,73,2614,16.8,0.5,0.29,0.3,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,0.09,1.4,0.3,1.7,2.4,3002
2014,4,CHA,Charlotte Bobcats,Al Jefferson,29,73,2553,22.7,0.53,0.01,0.2,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.15,2.2,0.5,2.7,3.0,1440
2014,4,CHA,Charlotte Bobcats,Gerald Henderson,26,77,2461,13.1,0.51,0.12,0.33,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,0.8,2.8,3.6,0.07,-1.6,0.1,-1.5,0.3,1252
2014,4,CHA,Charlotte Bobcats,Josh McRoberts,26,78,2360,13.8,0.55,0.51,0.15,4.0,13.8,8.9,21.9,1.3,1.5,12.1,13.4,3.5,3.0,6.5,0.13,0.5,1.5,2.0,2.3,1959
2014,4,CHA,Charlotte Bobcats,Michael Kidd-Gilchrist,20,62,1502,12.0,0.52,0.02,0.52,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,0.1,-2.9,0.8,-2.1,0.0,1607
2014,4,CHA,Charlotte Bobcats,Cody Zeller,21,82,1416,13.1,0.5,0.0,0.5,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,0.4,2.2,2.6,0.09,-2.9,0.9,-2.0,0.0,3266
2014,4,CHA,Charlotte Bobcats,Ramon Sessions,27,55,1305,14.6,0.51,0.15,0.5,1.9,8.3,5.1,26.2,1.3,0.4,14.1,23.4,0.8,1.3,2.0,0.08,-0.5,-0.7,-1.3,0.2,2598
2014,4,CHA,Charlotte Bobcats,Anthony Tolliver,28,64,1298,11.0,0.6,0.8,0.13,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,1.9,1.3,3.2,0.12,0.1,-0.1,0.0,0.6,2891
2014,4,CHA,Charlotte Bobcats,Bismack Biyombo,21,77,1072,13.3,0.61,0.0,0.62,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.14,-2.9,1.7,-1.2,0.2,249
2014,4,CHA,Charlotte Bobcats,Chris Douglas-Roberts,27,49,1016,12.2,0.59,0.52,0.32,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,1.1,1.2,2.4,0.11,-1.1,0.5,-0.5,0.4,773
2014,4,CHA,Charlotte Bobcats,Jeffery Taylor,24,26,629,5.9,0.44,0.31,0.22,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,-0.8,0.6,-0.2,-0.02,-5.0,-0.4,-5.4,-0.5,2814
2014,4,CHA,Charlotte Bobcats,Gary Neal,29,22,507,14.0,0.57,0.36,0.26,0.4,8.5,4.5,12.6,1.1,0.0,10.4,22.0,0.6,0.5,1.1,0.1,-0.9,-0.7,-1.6,0.0,2120
2014,4,CHA,Charlotte Bobcats,Luke Ridnour,32,25,378,8.6,0.45,0.37,0.06,2.4,8.1,5.2,22.4,1.2,1.3,15.3,16.0,-0.2,0.4,0.2,0.03,-4.0,-0.3,-4.2,-0.2,2449
2014,4,CHA,Charlotte Bobcats,Ben Gordon,30,19,279,6.4,0.42,0.27,0.19,1.2,9.8,5.5,12.2,1.9,0.6,15.2,22.9,-0.7,0.3,-0.3,-0.06,-5.8,-0.3,-6.0,-0.3,1061
2014,4,CHA,Charlotte Bobcats,Jeff Adrien,27,25,256,14.9,0.56,0.0,0.62,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,0.17,-1.8,1.7,0.0,0.1,21
2014,4,CHA,Charlotte Bobcats,Jannero Pargo,34,29,242,18.9,0.55,0.51,0.09,0.5,8.9,4.7,40.3,3.0,0.3,17.5,28.4,0.2,0.4,0.5,0.1,2.9,-0.3,2.7,0.3,2241
2014,4,CHA,Charlotte Bobcats,D.J. White,27,2,10,2.4,0.0,0.0,0.0,0.0,22.7,11.3,0.0,5.2,0.0,0.0,4.6,0.0,0.0,0.0,0.0,-8.2,2.6,-5.6,0.0,3085
2014,4,CHA,Charlotte Bobcats,Justin Hamilton,23,1,4,0.0,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,0.0,0.0,0.0,-0.19,-14.1,5.8,-8.3,0.0,1159
2014,4,CHA,Charlotte Bobcats,James Southerland,23,1,3,-40.6,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,-0.1,0.0,-0.1,-1.12,-31.4,-15.6,-47.0,0.0,2718
