Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1991,14.0,2707,LAL,Los Angeles Lakers,22.0,NBA,SG,64.0,695.0,10.9,0.48,0.03,0.26,4.2,7.5,5.9,27.6,2.1,1.0,22.0,19.7,,-0.3,0.8,0.5,0.04,,-2.6,0.4,-2.2,0.0
1992,14.0,2707,LAL,Los Angeles Lakers,23.0,NBA,PG,63.0,820.0,10.1,0.44,0.04,0.26,4.2,6.3,5.3,20.0,2.5,0.6,13.7,19.5,,-0.5,0.6,0.1,0.01,,-3.4,-0.2,-3.6,-0.3
1993,14.0,2707,LAL,Los Angeles Lakers,24.0,NBA,SG,55.0,752.0,15.2,0.53,0.04,0.3,6.9,6.3,6.6,12.7,3.3,0.6,11.4,20.0,,0.8,0.7,1.5,0.1,,-0.4,1.0,0.6,0.5
1994,14.0,2707,LAL,Los Angeles Lakers,25.0,NBA,SG,73.0,1617.0,12.8,0.48,0.08,0.19,6.8,6.2,6.5,13.8,1.8,0.5,10.2,19.4,,1.2,0.5,1.7,0.05,,-0.6,-1.4,-2.0,0.0
1995,14.0,2707,LAL,Los Angeles Lakers,26.0,NBA,SG,61.0,1024.0,11.0,0.5,0.29,0.2,4.6,6.9,5.8,14.3,2.3,0.5,12.9,16.3,,0.6,0.7,1.3,0.06,,-2.0,-0.2,-2.2,-0.1
1996,31.0,2707,TOT,Total After Trade,27.0,NBA,SG,59.0,938.0,11.7,0.51,0.42,0.17,3.8,7.9,5.9,25.6,2.1,0.8,18.3,17.2,,0.4,0.9,1.3,0.06,,-1.0,0.0,-1.0,0.2
1996,24.0,2707,PHO,Phoenix Suns,27.0,NBA,SG,34.0,528.0,12.2,0.5,0.44,0.21,5.3,6.9,6.1,24.7,2.0,0.7,17.4,19.3,,0.2,0.3,0.5,0.04,,-0.2,-0.9,-1.1,0.1
1996,16.0,2707,MIA,Miami Heat,27.0,NBA,SG,25.0,410.0,11.0,0.52,0.39,0.09,1.7,9.2,5.5,26.7,2.1,1.0,19.9,14.5,,0.2,0.6,0.8,0.09,,-2.1,1.2,-0.9,0.1
1997,,2707,CHH,None,28.0,NBA,PG,69.0,1291.0,9.4,0.48,0.29,0.18,3.7,5.1,4.4,17.9,2.0,1.1,16.7,15.9,,0.0,0.6,0.6,0.02,,-2.1,-0.4,-2.5,-0.2
1998,17.0,2707,MIL,Milwaukee Bucks,29.0,NBA,PG,7.0,80.0,6.4,0.37,0.17,0.17,6.0,4.6,5.3,19.8,3.3,1.8,25.9,19.8,,-0.2,0.1,-0.1,-0.09,,-4.3,1.0,-3.3,0.0
2001,1.0,2707,ATL,Atlanta Hawks,32.0,NBA,SG,6.0,78.0,3.8,0.36,0.09,0.09,2.8,1.4,2.1,20.5,4.7,0.0,27.4,18.8,,-0.3,0.1,-0.2,-0.11,,-8.5,-0.1,-8.6,-0.1
