Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2005-06,21.0,CHA,NBA,PG,80.0,54.0,2406.0,345.0,883.0,0.391,97.0,271.0,0.358,248.0,612.0,0.405,0.446,161.0,222.0,0.725,77.0,188.0,265.0,446.0,102.0,8.0,182.0,181.0,948.0,,0.0
2006-07,22.0,CHA,NBA,PG,78.0,75.0,2832.0,393.0,1024.0,0.384,103.0,312.0,0.33,290.0,712.0,0.407,0.434,204.0,256.0,0.797,51.0,216.0,267.0,545.0,118.0,10.0,230.0,180.0,1093.0,,0.0
2007-08,23.0,CHA,NBA,PG,79.0,79.0,2972.0,412.0,997.0,0.413,56.0,200.0,0.28,356.0,797.0,0.447,0.441,260.0,325.0,0.8,37.0,199.0,236.0,583.0,96.0,12.0,213.0,184.0,1140.0,,0.0
2008-09,24.0,CHA,NBA,PG,82.0,81.0,3086.0,442.0,1083.0,0.408,59.0,207.0,0.285,383.0,876.0,0.437,0.435,219.0,272.0,0.805,54.0,256.0,310.0,553.0,126.0,30.0,228.0,191.0,1162.0,,0.0
2009-10,25.0,CHA,NBA,PG,80.0,80.0,2643.0,388.0,846.0,0.459,60.0,156.0,0.385,328.0,690.0,0.475,0.494,132.0,173.0,0.763,53.0,235.0,288.0,446.0,123.0,22.0,168.0,172.0,968.0,,0.0
2010-11,26.0,TOT,NBA,"PG,SG",75.0,54.0,2737.0,427.0,1005.0,0.425,116.0,329.0,0.353,311.0,676.0,0.46,0.483,194.0,241.0,0.805,48.0,221.0,269.0,625.0,125.0,11.0,221.0,150.0,1164.0,,1.0
2010-11,26.0,NYK,NBA,PG,54.0,54.0,2074.0,339.0,801.0,0.423,88.0,268.0,0.328,251.0,533.0,0.471,0.478,157.0,181.0,0.867,40.0,154.0,194.0,488.0,97.0,11.0,176.0,113.0,923.0,,1.0
2010-11,26.0,DEN,NBA,SG,21.0,0.0,663.0,88.0,204.0,0.431,28.0,61.0,0.459,60.0,143.0,0.42,0.5,37.0,60.0,0.617,8.0,67.0,75.0,137.0,28.0,0.0,45.0,37.0,241.0,,0.0
2011-12,27.0,POR,NBA,PG,60.0,56.0,1906.0,261.0,642.0,0.407,62.0,203.0,0.305,199.0,439.0,0.453,0.455,100.0,124.0,0.806,27.0,122.0,149.0,390.0,78.0,10.0,170.0,122.0,684.0,,0.0
2012-13,28.0,NYK,NBA,PG,68.0,68.0,2313.0,377.0,882.0,0.427,93.0,258.0,0.36,284.0,624.0,0.455,0.48,101.0,128.0,0.789,51.0,143.0,194.0,372.0,94.0,14.0,155.0,130.0,948.0,,0.0
2013-14,29.0,NYK,NBA,PG,65.0,65.0,2017.0,240.0,608.0,0.395,62.0,195.0,0.318,178.0,413.0,0.431,0.446,88.0,122.0,0.721,54.0,143.0,197.0,365.0,78.0,27.0,129.0,157.0,630.0,,0.0
2014-15,30.0,DAL,NBA,PG,29.0,3.0,281.0,43.0,106.0,0.406,10.0,34.0,0.294,33.0,72.0,0.458,0.453,12.0,15.0,0.8,2.0,24.0,26.0,41.0,11.0,4.0,18.0,17.0,108.0,,0.0
2015-16,31.0,DAL,NBA,PG,80.0,31.0,2192.0,277.0,682.0,0.406,60.0,213.0,0.282,217.0,469.0,0.463,0.45,149.0,176.0,0.847,36.0,222.0,258.0,284.0,68.0,15.0,121.0,141.0,763.0,,1.0
2016-17,32.0,LAC,NBA,PG,80.0,11.0,1700.0,221.0,514.0,0.43,46.0,144.0,0.319,175.0,370.0,0.473,0.475,50.0,64.0,0.781,33.0,185.0,218.0,191.0,66.0,22.0,83.0,125.0,538.0,,0.0
2017-18,33.0,OKC,NBA,PG,82.0,2.0,1365.0,224.0,552.0,0.406,81.0,230.0,0.352,143.0,322.0,0.444,0.479,36.0,44.0,0.818,25.0,131.0,156.0,203.0,49.0,16.0,76.0,91.0,565.0,,0.0
2018-19,34.0,OKC,NBA,PG,33.0,0.0,379.0,55.0,135.0,0.407,20.0,61.0,0.328,35.0,74.0,0.473,0.481,12.0,13.0,0.923,4.0,30.0,34.0,52.0,10.0,6.0,14.0,29.0,142.0,,0.0
