Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001,26.0,GSW,NBA,C,48.0,1410.0,16.1,0.534,0.045,0.378,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,,1.9,0.7,2.6,0.089,,-0.2,-1.4,-1.6,0.2
2002,27.0,TOT,NBA,C,39.0,495.0,11.1,0.467,0.006,0.488,10.9,18.2,14.6,4.3,1.2,0.9,13.1,20.3,,0.2,0.4,0.6,0.059,,-2.8,-1.5,-4.3,-0.3
2002,27.0,GSW,NBA,C,17.0,169.0,14.9,0.488,0.0,0.738,10.5,16.9,13.6,6.6,1.5,1.2,12.2,24.4,,0.2,0.1,0.3,0.093,,-1.1,-1.3,-2.3,0.0
2002,27.0,MIN,NBA,C,22.0,326.0,9.2,0.451,0.01,0.323,11.1,18.9,15.1,3.1,1.0,0.7,13.7,18.2,,0.0,0.3,0.3,0.042,,-3.7,-1.7,-5.3,-0.3
2003,28.0,MIN,NBA,C,77.0,1041.0,13.4,0.508,0.003,0.427,9.6,14.7,12.2,5.4,1.2,2.1,12.5,20.6,,1.0,1.0,2.0,0.092,,-2.3,-1.0,-3.3,-0.3
2004,29.0,PHI,NBA,PF,22.0,598.0,13.2,0.498,0.006,0.474,8.9,15.8,12.4,5.4,1.1,0.8,10.4,18.1,,0.7,0.6,1.3,0.1,,-0.9,-1.2,-2.2,0.0
2005,30.0,PHI,NBA,C,81.0,1976.0,15.9,0.548,0.003,0.477,10.4,12.8,11.6,7.2,0.8,0.7,12.9,22.7,,2.9,1.7,4.6,0.111,,-0.1,-1.7,-1.8,0.1
2006,31.0,TOT,NBA,C,64.0,1027.0,12.5,0.512,0.005,0.222,9.7,15.4,12.5,7.9,0.7,0.6,13.8,21.5,,0.3,0.9,1.2,0.057,,-2.4,-1.8,-4.2,-0.6
2006,31.0,NJN,NBA,C,37.0,433.0,10.7,0.503,0.0,0.324,8.0,16.2,12.1,9.2,0.6,1.1,14.2,21.4,,0.0,0.6,0.6,0.061,,-4.0,-0.7,-4.6,-0.3
2006,31.0,NOK,NBA,C,27.0,594.0,13.9,0.519,0.009,0.154,10.9,14.8,12.8,7.0,0.7,0.3,13.6,21.5,,0.3,0.4,0.7,0.054,,-1.3,-2.6,-3.9,-0.3
2007,32.0,NOK,NBA,PF,56.0,1025.0,11.9,0.471,0.003,0.265,6.8,15.0,10.8,9.6,1.1,0.5,13.0,22.2,,-0.2,0.9,0.7,0.033,,-2.6,-1.1,-3.7,-0.4
