Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1994,21.0,ORL,NBA,C,3.0,126.0,20.1,0.517,0.0,0.756,15.9,22.5,19.1,11.3,0.9,5.1,14.3,24.5,,0.2,0.1,0.3,0.103,,2.4,-0.2,2.2,0.1
1995,22.0,ORL,NBA,C,21.0,805.0,26.1,0.595,0.0,0.772,14.0,22.6,18.4,16.4,1.2,3.8,13.9,30.1,,2.0,1.0,3.0,0.18,,4.9,0.4,5.2,1.5
1996,23.0,ORL,NBA,C,12.0,459.0,27.4,0.575,0.0,0.565,13.5,19.5,16.5,23.6,1.1,2.8,14.0,32.3,,1.3,0.2,1.5,0.156,,5.6,1.2,6.8,1.0
1997,24.0,LAL,NBA,C,9.0,326.0,29.0,0.552,0.0,0.607,14.6,21.3,18.0,22.8,0.9,4.4,9.1,35.6,,1.0,0.4,1.5,0.215,,6.4,0.8,7.2,0.7
1998,25.0,LAL,NBA,C,13.0,501.0,31.0,0.604,0.0,0.616,11.4,20.6,15.9,17.8,0.8,5.1,11.6,34.3,,1.8,0.3,2.1,0.2,,7.2,0.6,7.8,1.2
1999,26.0,LAL,NBA,C,8.0,315.0,28.8,0.515,0.0,0.761,15.1,19.0,16.9,11.8,1.2,5.8,8.0,32.4,,0.9,0.2,1.2,0.176,,6.8,-0.8,6.0,0.6
2001,28.0,LAL,NBA,C,16.0,676.0,28.7,0.564,0.0,0.581,15.0,24.4,19.8,14.8,0.5,4.1,11.7,32.0,,2.3,1.4,3.7,0.26,,6.9,-0.5,6.5,1.4
2002,29.0,LAL,NBA,C,19.0,776.0,28.3,0.569,0.0,0.542,9.9,23.5,17.0,14.5,0.7,4.4,11.5,31.4,,2.6,1.2,3.8,0.236,,6.3,1.2,7.5,1.9
2003,30.0,LAL,NBA,C,12.0,481.0,30.6,0.57,0.0,0.584,14.3,28.5,21.1,17.6,0.8,5.1,11.0,29.6,,1.8,0.6,2.4,0.24,,7.8,0.6,8.4,1.3
2004,31.0,LAL,NBA,C,22.0,917.0,24.8,0.565,0.0,0.827,11.5,25.4,18.5,12.4,0.4,5.4,11.6,25.2,,2.6,1.3,3.9,0.202,,4.5,1.0,5.5,1.7
2005,32.0,MIA,NBA,C,13.0,431.0,18.1,0.554,0.0,0.586,5.9,20.6,14.0,11.5,0.6,3.3,15.6,30.0,,0.0,0.8,0.8,0.089,,0.6,0.5,1.1,0.3
2006,33.0,MIA,NBA,C,23.0,759.0,19.9,0.571,0.0,0.625,12.3,22.4,17.6,10.5,0.8,3.7,18.6,28.5,,0.1,1.5,1.6,0.103,,1.0,-0.1,1.0,0.6
2007,34.0,MIA,NBA,C,4.0,121.0,19.9,0.529,0.0,0.458,15.6,18.8,17.1,9.8,0.4,3.9,16.5,33.2,,-0.1,0.1,0.0,0.008,,1.6,-1.6,0.0,0.1
2008,35.0,PHO,NBA,C,5.0,150.0,18.9,0.486,0.0,1.28,10.1,26.1,18.0,5.4,1.7,5.9,10.3,26.9,,0.0,0.3,0.3,0.102,,0.1,1.6,1.7,0.1
2010,37.0,CLE,NBA,C,11.0,243.0,16.2,0.559,0.0,0.505,10.6,19.2,15.0,11.7,0.4,3.8,17.4,26.4,,0.1,0.3,0.4,0.082,,-1.3,0.4,-0.9,0.1
2011,38.0,BOS,NBA,C,2.0,12.0,1.3,0.347,0.0,1.0,0.0,0.0,0.0,12.8,4.5,0.0,0.0,11.5,,0.0,0.0,0.0,0.018,,-9.9,4.6,-5.2,0.0
