Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2013,24.0,IND,NBA,C,14.0,0.0,55.0,4.8,20.3,0.238,0.0,0.0,,4.8,20.3,0.238,2.9,3.9,0.75,11.6,9.7,21.3,1.9,0.0,2.9,2.9,4.8,12.6,,82.0,100.0
2014,25.0,PHO,NBA,C,80.0,79.0,1964.0,7.3,14.1,0.517,0.0,0.0,,7.3,14.1,0.517,1.9,3.4,0.561,5.1,10.9,16.0,1.1,1.3,2.3,2.8,4.7,16.5,,104.0,104.0
2015,26.0,TOT,NBA,C,73.0,28.0,1194.0,5.7,10.6,0.535,0.0,0.0,,5.7,10.6,0.535,0.9,1.9,0.478,4.7,8.7,13.4,1.4,1.7,2.8,2.1,4.7,12.3,,107.0,103.0
2015,26.0,PHO,NBA,C,54.0,28.0,1005.0,5.3,9.7,0.549,0.0,0.0,,5.3,9.7,0.549,0.9,1.9,0.5,4.7,8.9,13.6,1.3,1.7,2.7,2.2,4.9,11.6,,108.0,103.0
2015,26.0,MIL,NBA,C,19.0,0.0,189.0,7.8,15.9,0.492,0.0,0.0,,7.8,15.9,0.492,0.8,2.2,0.375,4.6,7.8,12.4,1.9,1.6,3.0,1.6,3.2,16.5,,103.0,100.0
2016,27.0,MIL,NBA,C,61.0,14.0,870.0,8.2,13.6,0.601,0.0,0.0,,8.2,13.6,0.601,2.0,3.5,0.576,5.5,8.1,13.6,0.9,1.2,2.9,2.3,4.3,18.4,,115.0,107.0
2017,28.0,TOT,NBA,C,45.0,12.0,484.0,4.6,9.6,0.478,0.0,0.0,,4.6,9.6,0.478,2.6,4.1,0.641,4.0,6.0,9.9,2.2,1.9,1.4,3.1,7.6,11.8,,99.0,109.0
2017,28.0,MIL,NBA,C,32.0,12.0,310.0,4.9,11.1,0.441,0.0,0.0,,4.9,11.1,0.441,3.6,5.7,0.629,3.8,4.9,8.7,2.9,1.8,1.5,3.6,7.9,13.4,,95.0,110.0
2017,28.0,CHO,NBA,C,13.0,0.0,174.0,4.0,6.9,0.583,0.0,0.0,,4.0,6.9,0.583,0.9,1.2,0.75,4.3,7.8,12.1,0.9,2.0,1.2,2.3,7.2,8.9,,109.0,107.0
2018,29.0,ATL,NBA,C,55.0,35.0,918.0,5.6,9.6,0.583,0.0,0.0,,5.6,9.6,0.583,1.4,3.2,0.45,4.1,8.0,12.1,2.4,0.9,1.6,3.4,4.2,12.6,,102.0,111.0
2019,30.0,ATL,NBA,C,18.0,0.0,173.0,8.5,12.8,0.667,0.0,0.0,,8.5,12.8,0.667,4.3,8.0,0.533,4.3,6.1,10.4,4.5,1.6,1.1,2.7,3.7,21.4,,125.0,114.0
