Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1986,23.0,ATL,NBA,PF,9.0,9.0,280.0,9.5,16.9,0.561,0.0,0.0,,9.5,16.9,0.561,2.6,4.0,0.652,5.3,5.9,11.2,0.9,1.2,1.4,2.6,6.5,21.5,,113.0,112.0
1987,24.0,ATL,NBA,PF,9.0,9.0,356.0,8.8,16.9,0.522,0.0,0.0,,8.8,16.9,0.522,3.1,4.6,0.677,4.9,7.4,12.2,0.9,1.3,1.0,2.5,4.9,20.8,,109.0,108.0
1988,25.0,ATL,NBA,PF,12.0,12.0,462.0,8.9,15.3,0.58,0.0,0.1,0.0,8.9,15.2,0.584,3.8,5.5,0.68,4.0,8.0,12.0,1.2,1.1,1.1,2.8,5.6,21.5,,115.0,113.0
1991,28.0,ATL,NBA,PF,5.0,5.0,159.0,8.9,22.0,0.403,0.7,1.0,0.667,8.2,21.0,0.391,6.9,9.9,0.7,5.9,8.9,14.8,1.6,1.0,0.3,0.7,7.2,25.3,,115.0,113.0
1993,30.0,ATL,NBA,PF,3.0,3.0,103.0,10.7,23.0,0.467,0.0,0.5,0.0,10.7,22.5,0.477,4.1,7.2,0.571,6.6,6.6,13.3,1.5,1.0,0.0,3.6,6.6,25.6,,101.0,122.0
1994,31.0,ATL,NBA,PF,11.0,11.0,362.0,8.9,19.4,0.457,0.0,0.8,0.0,8.9,18.7,0.476,2.4,3.2,0.762,5.7,12.2,17.9,1.7,1.2,0.8,2.9,5.6,20.2,,100.0,98.0
1997,34.0,HOU,NBA,PF,16.0,0.0,295.0,7.0,17.4,0.4,0.0,0.2,0.0,7.0,17.2,0.404,4.8,7.0,0.684,4.0,9.7,13.7,2.0,1.6,0.7,4.0,8.6,18.7,,92.0,109.0
1998,35.0,HOU,NBA,PF,5.0,5.0,168.0,7.1,17.7,0.4,0.0,0.3,0.0,7.1,17.4,0.407,3.9,5.2,0.75,5.8,11.3,17.1,1.6,2.6,1.0,3.9,6.8,18.1,,90.0,99.0
2003,40.0,SAS,NBA,C,18.0,0.0,91.0,12.2,23.2,0.525,0.6,0.6,1.0,11.6,22.6,0.513,1.7,1.7,1.0,11.0,7.0,18.0,1.2,0.6,0.6,4.6,9.3,26.7,,106.0,101.0
2004,41.0,SAS,NBA,C,7.0,0.0,25.0,6.6,17.6,0.375,0.0,2.2,0.0,6.6,15.4,0.429,0.0,2.2,0.0,0.0,13.2,13.2,0.0,2.2,0.0,0.0,11.0,13.2,,78.0,95.0
