Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,13,LAC,Los Angeles Clippers,82,19755,40.6,85.6,0.47,8.8,24.9,0.35,31.8,60.7,0.52,22.0,30.2,0.73,10.9,33.8,44.6,25.5,8.9,5.0,14.4,22.4,112.1
2014,11,HOU,Houston Rockets,82,19830,39.2,83.0,0.47,9.8,27.4,0.36,29.4,55.6,0.53,22.8,32.0,0.71,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,111.0
2014,18,MIN,Minnesota Timberwolves,82,19855,39.6,89.1,0.44,7.5,21.8,0.34,32.2,67.3,0.48,22.2,28.6,0.78,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,108.9
2014,25,POR,Portland Trail Blazers,82,19855,40.9,90.9,0.45,9.8,26.4,0.37,31.1,64.5,0.48,20.0,24.5,0.82,13.0,35.5,48.5,24.3,5.8,4.9,14.3,20.1,111.5
2014,21,OKC,Oklahoma City Thunder,82,19805,40.6,86.1,0.47,8.4,23.3,0.36,32.1,62.8,0.51,21.0,26.1,0.81,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,110.5
2014,27,SAS,San Antonio Spurs,82,19755,42.5,87.5,0.49,8.9,22.5,0.4,33.6,65.1,0.52,16.5,21.0,0.78,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,110.5
2014,24,PHO,Phoenix Suns,82,19755,40.2,86.8,0.46,9.7,26.1,0.37,30.5,60.8,0.5,19.3,25.4,0.76,11.8,33.0,44.8,19.8,8.7,4.7,16.0,22.8,109.5
2014,7,DAL,Dallas Mavericks,82,19830,42.0,88.7,0.47,9.3,24.3,0.38,32.7,64.4,0.51,17.8,22.4,0.8,10.9,32.5,43.4,25.0,9.1,4.6,14.4,21.2,111.2
2014,8,DEN,Denver Nuggets,82,19755,39.0,87.2,0.45,8.7,24.3,0.36,30.3,63.0,0.48,19.4,26.7,0.73,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,106.0
2014,10,GSW,Golden State Warriors,82,19830,40.7,88.1,0.46,9.7,25.6,0.38,31.0,62.5,0.5,16.4,21.8,0.75,11.3,35.5,46.7,24.0,8.1,5.1,15.7,22.4,107.5
2014,14,LAL,Los Angeles Lakers,82,19705,38.7,86.2,0.45,9.6,25.1,0.38,29.2,61.1,0.48,17.2,22.6,0.76,9.2,32.3,41.5,24.8,7.5,5.5,15.3,20.1,104.2
2014,16,MIA,Miami Heat,82,19880,41.6,83.0,0.5,8.8,24.2,0.36,32.8,58.8,0.56,18.9,24.9,0.76,8.3,31.7,40.0,24.4,9.7,4.9,16.0,21.1,110.9
2014,28,TOR,Toronto Raptors,82,19955,39.2,88.0,0.44,9.3,25.1,0.37,29.8,62.9,0.48,21.1,26.9,0.78,12.2,33.4,45.7,22.7,7.6,4.5,15.2,24.6,108.8
2014,9,DET,Detroit Pistons,82,19780,40.7,91.1,0.45,6.5,20.2,0.32,34.2,70.9,0.48,18.1,27.0,0.67,15.3,32.3,47.6,21.9,8.8,5.0,15.2,21.3,105.9
2014,1,ATL,Atlanta Hawks,82,19830,39.1,85.5,0.46,9.8,27.1,0.36,29.3,58.5,0.5,17.8,22.8,0.78,9.1,32.8,41.9,26.1,8.7,4.2,16.0,20.2,105.9
2014,30,WAS,Washington Wizards,82,20055,40.8,88.8,0.46,8.3,21.9,0.38,32.5,67.0,0.48,16.1,22.0,0.73,11.4,33.0,44.4,24.5,8.6,4.8,15.5,21.5,106.0
2014,26,SAC,Sacramento Kings,82,19830,38.8,86.8,0.45,6.3,18.9,0.33,32.5,67.9,0.48,21.8,28.7,0.76,12.7,34.1,46.8,19.8,7.5,4.1,16.0,23.7,105.7
2014,19,NOP,New Orleans Pelicans,82,19855,40.7,88.7,0.46,6.4,17.1,0.37,34.3,71.6,0.48,19.5,25.4,0.77,12.2,32.6,44.8,22.9,8.5,6.9,14.8,24.4,107.2
2014,23,PHI,Philadelphia 76Ers,82,19855,37.9,87.2,0.44,7.0,22.5,0.31,30.9,64.6,0.48,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.4
2014,20,NYK,New York Knicks,82,19855,40.5,90.2,0.45,10.2,27.3,0.37,30.4,63.0,0.48,17.0,22.4,0.76,11.7,32.6,44.3,22.0,8.5,4.9,14.2,24.3,108.3
2014,3,BRK,Brooklyn Nets,82,19880,38.7,84.4,0.46,9.4,25.4,0.37,29.3,59.0,0.5,19.9,26.4,0.75,9.5,31.8,41.3,22.6,9.3,4.1,15.7,23.5,106.7
2014,6,CLE,Cleveland Cavaliers,82,19930,39.3,90.0,0.44,7.6,21.2,0.36,31.7,68.7,0.46,18.1,24.1,0.75,12.8,34.0,46.8,22.5,7.5,3.9,15.0,21.2,104.2
2014,4,CHA,Charlotte Bobcats,82,19905,38.8,87.8,0.44,6.7,19.2,0.35,32.1,68.6,0.47,19.2,26.1,0.74,10.1,35.5,45.6,23.2,6.5,5.5,13.2,19.5,103.6
2014,12,IND,Indiana Pacers,82,19780,38.7,86.2,0.45,7.2,20.2,0.36,31.5,66.0,0.48,19.5,25.0,0.78,10.9,37.1,48.1,21.7,7.2,5.9,16.2,22.0,104.1
2014,22,ORL,Orlando Magic,82,19955,38.8,87.1,0.44,7.2,20.5,0.35,31.6,66.6,0.47,16.8,22.0,0.76,10.2,34.1,44.3,22.2,8.1,4.5,15.7,21.6,101.7
2014,2,BOS,Boston Celtics,82,19730,39.1,89.7,0.44,7.5,22.5,0.33,31.6,67.2,0.47,17.3,22.2,0.78,12.8,32.7,45.4,22.5,7.6,4.5,16.4,22.7,102.9
2014,15,MEM,Memphis Grizzlies,82,19805,42.1,90.7,0.46,5.5,15.5,0.35,36.6,75.2,0.49,16.7,22.5,0.74,12.8,34.1,46.9,24.2,8.5,5.1,15.2,21.1,106.3
2014,17,MIL,Milwaukee Bucks,82,19880,38.8,88.6,0.44,7.2,20.4,0.35,31.6,68.2,0.46,18.1,24.2,0.75,12.8,31.6,44.3,23.2,7.1,5.3,16.3,22.5,103.0
2014,29,UTA,Utah Jazz,82,19780,39.2,88.3,0.44,7.2,20.9,0.34,32.0,67.4,0.47,17.9,23.9,0.75,12.0,32.9,44.9,22.1,7.6,4.9,15.9,22.6,103.5
2014,5,CHI,Chicago Bulls,82,19930,38.0,87.8,0.43,6.8,19.5,0.35,31.2,68.3,0.46,19.8,25.5,0.78,12.5,35.8,48.3,24.8,7.9,5.7,16.3,20.9,102.5
