Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,24,PHO,Phoenix Suns,82,19755,43.6,87.7,0.5,2.0,5.6,0.35,41.7,82.1,0.51,23.8,30.2,0.79,12.7,30.4,43.2,26.5,8.1,4.8,14.9,22.5,113.1
1989,8,DEN,Denver Nuggets,82,19880,42.8,91.4,0.47,2.6,7.6,0.34,40.3,83.8,0.48,20.4,26.0,0.79,13.5,28.2,41.8,25.6,9.1,4.9,13.8,23.4,108.6
1989,20,NYK,New York Knicks,82,19805,43.0,88.4,0.49,4.5,13.3,0.34,38.5,75.0,0.51,20.7,27.5,0.75,15.3,26.3,41.6,24.2,10.4,5.2,18.3,23.8,111.1
1989,10,GSW,Golden State Warriors,82,19905,41.9,89.6,0.47,2.2,7.1,0.31,39.7,82.6,0.48,21.4,26.8,0.8,14.9,28.8,43.6,22.6,9.3,7.2,16.7,21.9,107.4
1989,14,LAL,Los Angeles Lakers,82,19805,43.4,86.4,0.5,2.7,8.1,0.34,40.6,78.4,0.52,24.3,30.3,0.8,13.2,31.6,44.8,27.6,8.8,5.1,16.3,20.2,113.8
1989,25,POR,Portland Trail Blazers,82,19830,43.0,90.8,0.47,2.5,7.5,0.34,40.5,83.3,0.49,20.8,28.1,0.74,16.1,27.7,43.8,25.8,9.6,4.5,16.7,23.6,109.4
1989,21,SEA,Seattle Supersonics,82,19780,43.2,90.7,0.48,3.6,9.4,0.38,39.7,81.3,0.49,21.5,28.8,0.75,16.9,27.1,44.1,25.3,10.5,6.0,17.0,24.6,111.5
1989,23,PHI,Philadelphia 76Ers,82,19780,43.1,88.7,0.49,2.5,8.0,0.32,40.6,80.7,0.5,24.3,30.8,0.79,14.1,29.0,43.1,26.0,8.5,4.4,14.9,21.2,113.0
1989,1,ATL,Atlanta Hawks,82,19805,42.0,89.1,0.47,1.4,4.9,0.28,40.7,84.2,0.48,26.7,33.4,0.8,16.9,28.5,45.4,24.5,10.1,5.8,16.1,23.2,112.2
1989,2,BOS,Boston Celtics,82,19780,43.5,88.3,0.49,1.0,3.8,0.25,42.6,84.5,0.5,22.8,29.0,0.78,14.6,30.2,44.8,27.1,7.9,5.2,16.5,23.2,110.8
1989,17,MIL,Milwaukee Bucks,82,19755,41.9,88.3,0.47,2.2,7.0,0.32,39.7,81.3,0.49,24.1,29.4,0.82,14.0,28.0,42.0,25.5,10.1,4.0,16.1,24.1,110.1
1989,6,CLE,Cleveland Cavaliers,82,19755,43.0,85.6,0.5,2.1,5.9,0.36,40.9,79.7,0.51,22.6,30.2,0.75,12.8,30.7,43.5,28.0,9.8,7.3,16.4,19.7,110.6
1989,11,HOU,Houston Rockets,82,19855,40.5,85.5,0.47,1.9,6.2,0.31,38.6,79.3,0.49,22.7,30.0,0.76,14.4,30.3,44.7,23.9,9.4,6.0,18.6,24.1,105.7
1989,30,WSB,Washington Bullets,82,19855,42.2,91.0,0.46,0.6,2.9,0.21,41.6,88.1,0.47,21.4,27.8,0.77,15.0,28.2,43.2,24.5,8.3,3.9,15.5,24.6,106.4
1989,12,IND,Indiana Pacers,82,19855,41.3,84.6,0.49,2.5,7.5,0.33,38.8,77.1,0.5,21.9,27.7,0.79,13.0,30.4,43.4,24.5,6.9,5.1,18.9,25.7,106.8
1989,9,DET,Detroit Pistons,82,19830,43.0,87.2,0.49,1.5,5.1,0.3,41.5,82.1,0.5,23.2,30.2,0.77,14.6,32.3,46.9,25.7,6.6,5.1,16.9,24.6,110.8
1989,5,CHI,Chicago Bulls,82,19780,43.1,87.2,0.5,2.2,6.6,0.33,41.0,80.5,0.51,20.7,26.3,0.79,12.7,30.7,43.4,27.7,9.0,4.7,16.6,23.2,109.1
1989,13,LAC,Los Angeles Clippers,82,19855,40.8,86.0,0.48,0.6,2.7,0.23,40.2,83.3,0.48,18.6,25.7,0.72,13.4,27.6,41.0,25.6,9.4,6.1,19.3,22.4,100.8
1989,27,SAS,San Antonio Spurs,82,19755,40.5,86.4,0.47,0.7,3.4,0.22,39.7,83.0,0.48,19.3,27.6,0.7,15.1,25.4,40.5,23.8,11.2,4.9,20.0,25.1,100.9
1989,26,SAC,Sacramento Kings,82,19780,40.6,88.8,0.46,3.7,10.0,0.37,36.9,78.8,0.47,19.6,25.4,0.77,13.8,29.6,43.4,23.8,7.5,4.9,16.5,22.7,104.5
1989,29,UTA,Utah Jazz,82,19730,39.5,81.9,0.48,1.4,4.7,0.3,38.1,77.2,0.49,26.2,34.0,0.77,13.0,32.4,45.4,26.2,8.9,7.2,19.0,23.5,106.6
1989,4,CHO,Charlotte Hornets,82,19780,41.5,89.9,0.46,1.6,5.2,0.31,39.8,84.7,0.47,19.1,24.9,0.77,13.8,26.6,40.4,28.1,8.5,3.2,15.9,25.0,103.7
1989,3,NJN,New Jersey Nets,82,19805,40.4,87.5,0.46,2.3,6.9,0.33,38.1,80.6,0.47,20.0,27.4,0.73,14.6,29.3,43.9,21.7,9.4,5.2,17.5,23.8,103.0
1989,7,DAL,Dallas Mavericks,82,19780,41.1,87.6,0.47,2.7,8.6,0.31,38.4,78.9,0.49,22.6,28.6,0.79,13.3,30.3,43.6,23.6,7.3,6.0,15.6,22.0,107.4
1989,16,MIA,Miami Heat,82,19855,39.3,86.8,0.45,1.2,3.6,0.33,38.1,83.2,0.46,18.0,25.7,0.7,16.0,27.0,42.9,23.9,9.1,5.0,21.1,25.9,97.8
