Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,21.0,LAC,NBA,PG,81.0,25.0,1841.0,206.0,486.0,0.424,32.0,116.0,0.276,174.0,370.0,0.47,0.457,99.0,133.0,0.744,68.0,155.0,223.0,289.0,92.0,26.0,194.0,130.0,543.0,,0.0
2012,22.0,LAC,NBA,PG,40.0,1.0,464.0,49.0,126.0,0.389,6.0,30.0,0.2,43.0,96.0,0.448,0.413,28.0,44.0,0.636,22.0,43.0,65.0,66.0,31.0,14.0,47.0,58.0,132.0,,0.0
2013,23.0,LAC,NBA,PG,76.0,12.0,1553.0,253.0,568.0,0.445,31.0,78.0,0.397,222.0,490.0,0.453,0.473,106.0,134.0,0.791,78.0,147.0,225.0,233.0,109.0,55.0,137.0,112.0,643.0,,0.0
2014,24.0,PHO,NBA,PG,43.0,40.0,1416.0,265.0,556.0,0.477,50.0,140.0,0.357,215.0,416.0,0.517,0.522,183.0,237.0,0.772,27.0,175.0,202.0,235.0,69.0,14.0,143.0,99.0,763.0,,0.0
2015,25.0,PHO,NBA,PG,81.0,81.0,2800.0,468.0,1046.0,0.447,88.0,272.0,0.324,380.0,774.0,0.491,0.489,353.0,441.0,0.8,72.0,351.0,423.0,493.0,127.0,45.0,274.0,189.0,1377.0,,2.0
2016,26.0,PHO,NBA,PG,31.0,31.0,1059.0,223.0,492.0,0.453,48.0,129.0,0.372,175.0,363.0,0.482,0.502,138.0,172.0,0.802,18.0,107.0,125.0,190.0,63.0,19.0,110.0,75.0,632.0,,0.0
2017,27.0,PHO,NBA,PG,66.0,66.0,2176.0,449.0,1034.0,0.434,104.0,310.0,0.335,345.0,724.0,0.477,0.485,388.0,458.0,0.847,52.0,268.0,320.0,418.0,91.0,31.0,224.0,164.0,1390.0,,1.0
2018,28.0,TOT,NBA,PG,74.0,74.0,2322.0,468.0,989.0,0.473,125.0,360.0,0.347,343.0,629.0,0.545,0.536,252.0,317.0,0.795,51.0,233.0,284.0,370.0,149.0,42.0,216.0,185.0,1313.0,,1.0
2018,28.0,PHO,NBA,PG,3.0,3.0,83.0,16.0,40.0,0.4,4.0,13.0,0.308,12.0,27.0,0.444,0.45,11.0,14.0,0.786,3.0,4.0,7.0,9.0,4.0,2.0,10.0,6.0,47.0,,0.0
2018,28.0,MIL,NBA,PG,71.0,71.0,2239.0,452.0,949.0,0.476,121.0,347.0,0.349,331.0,602.0,0.55,0.54,241.0,303.0,0.795,48.0,229.0,277.0,361.0,145.0,40.0,206.0,179.0,1266.0,,1.0
2019,29.0,MIL,NBA,PG,78.0,78.0,2272.0,470.0,971.0,0.484,124.0,377.0,0.329,346.0,594.0,0.582,0.548,177.0,236.0,0.75,82.0,280.0,362.0,430.0,116.0,29.0,165.0,156.0,1241.0,,1.0
2020,30.0,MIL,NBA,PG,61.0,61.0,1646.0,334.0,703.0,0.475,74.0,215.0,0.344,260.0,488.0,0.533,0.528,169.0,214.0,0.79,43.0,239.0,282.0,328.0,57.0,26.0,148.0,128.0,911.0,,0.0
2021,31.0,NOP,NBA,SG,9.0,9.0,269.0,38.0,87.0,0.437,17.0,45.0,0.378,21.0,42.0,0.5,0.534,13.0,18.0,0.722,5.0,24.0,29.0,39.0,10.0,3.0,18.0,15.0,106.0,,0.0
