Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,24.0,UTA,NBA,SF,82.0,49.0,1889.0,5.5,10.7,0.507,0.2,0.6,0.3,5.3,10.2,0.519,2.8,3.9,0.719,1.3,3.5,4.8,2.8,1.4,0.7,2.9,5.3,13.9
1991,25.0,UTA,NBA,SF,62.0,56.0,1611.0,5.5,10.4,0.526,0.1,0.5,0.25,5.3,9.8,0.541,1.8,2.6,0.701,1.1,3.4,4.5,2.4,1.3,0.6,2.3,4.5,12.9
1992,26.0,UTA,NBA,SF,81.0,81.0,2283.0,6.8,13.1,0.522,0.6,1.6,0.379,6.2,11.5,0.542,1.8,2.3,0.774,1.4,3.3,4.7,2.2,1.3,0.7,1.9,3.7,16.1
1993,27.0,MIL,NBA,SF,82.0,81.0,2729.0,7.3,14.3,0.512,0.5,1.4,0.349,6.8,12.9,0.529,3.1,4.0,0.79,1.6,3.4,5.0,2.8,1.7,0.6,2.3,3.2,18.2
1994,28.0,MIL,NBA,SF,82.0,64.0,2322.0,5.9,12.4,0.478,0.6,1.6,0.358,5.3,10.8,0.496,2.3,2.9,0.799,1.6,3.5,5.1,2.7,1.3,0.4,2.3,3.6,14.8
1995,29.0,TOT,NBA,SF,67.0,7.0,1112.0,5.9,12.7,0.461,0.7,2.4,0.293,5.1,10.3,0.5,2.4,2.9,0.833,1.6,2.6,4.2,2.5,1.4,0.5,2.6,4.6,14.9
1995,29.0,BOS,NBA,SF,31.0,7.0,507.0,5.9,13.8,0.426,0.8,3.1,0.256,5.1,10.8,0.474,3.1,3.4,0.896,1.8,2.8,4.6,3.3,1.3,0.7,2.8,4.5,15.6
1995,29.0,UTA,NBA,SF,36.0,0.0,605.0,5.8,11.8,0.495,0.7,1.9,0.344,5.2,9.9,0.524,1.9,2.5,0.762,1.5,2.4,3.9,1.8,1.4,0.4,2.5,4.7,14.2
1996,30.0,VAN,NBA,SF,82.0,82.0,2773.0,5.2,12.4,0.419,1.1,3.2,0.343,4.1,9.2,0.446,2.0,2.7,0.755,1.3,3.2,4.5,2.8,1.5,0.6,2.2,3.2,13.5
1997,31.0,VAN,NBA,SF,61.0,12.0,1439.0,4.6,11.5,0.397,0.6,2.2,0.281,3.9,9.2,0.425,2.2,2.7,0.817,1.2,3.5,4.7,2.9,1.0,0.5,2.0,3.4,12.0
1998,32.0,VAN,NBA,SG,81.0,20.0,1968.0,6.0,13.6,0.439,0.7,2.2,0.333,5.2,11.4,0.46,3.3,3.9,0.837,1.1,2.9,4.0,3.7,1.6,0.5,2.5,3.3,16.0
1999,33.0,MIA,NBA,SF,24.0,0.0,283.0,4.1,9.2,0.444,0.5,1.3,0.4,3.6,7.9,0.452,1.1,1.7,0.692,0.9,3.3,4.2,3.8,2.2,0.6,2.7,2.9,9.8
