Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1998,21.0,UTA,NBA,PG,8.0,0.0,23.0,14.0,32.8,0.429,0.0,7.0,0.0,14.0,25.7,0.545,0.0,0.0,,2.3,2.3,4.7,9.4,4.7,0.0,2.3,2.3,28.1,,99.0,104.0
1999,22.0,LAC,NBA,PG,25.0,6.0,524.0,6.1,15.4,0.4,1.5,4.8,0.319,4.6,10.5,0.437,3.5,3.9,0.895,1.5,4.1,5.6,9.4,1.1,0.2,3.9,2.9,17.3,,105.0,114.0
2001,24.0,ORL,NBA,PG,75.0,7.0,1008.0,6.4,19.0,0.336,1.1,5.6,0.202,5.3,13.4,0.392,4.3,5.3,0.817,1.9,3.4,5.4,8.3,1.9,0.2,4.7,4.2,18.2,,90.0,105.0
2002,25.0,ORL,NBA,PG,81.0,4.0,1854.0,9.8,22.6,0.434,1.8,5.2,0.353,8.0,17.4,0.459,4.9,5.6,0.876,0.8,3.2,4.0,7.1,1.6,0.2,4.5,3.3,26.4,,101.0,109.0
2003,26.0,MIN,NBA,PG,79.0,74.0,2600.0,8.2,19.2,0.428,1.9,5.3,0.365,6.3,13.9,0.452,4.2,4.6,0.9,0.8,2.8,3.7,9.1,1.2,0.1,3.7,3.2,22.6,,106.0,108.0
2004,27.0,MIN,NBA,PG,29.0,1.0,503.0,8.6,22.2,0.386,3.3,8.3,0.403,5.3,13.9,0.377,2.9,3.5,0.818,0.4,3.3,3.8,7.5,0.8,0.0,3.6,3.4,23.4,,98.0,106.0
2005,28.0,MIN,NBA,PG,79.0,32.0,1729.0,8.3,20.7,0.401,2.8,8.0,0.345,5.5,12.7,0.436,2.2,2.8,0.778,0.6,2.7,3.3,8.8,0.8,0.2,3.5,3.8,21.5,,101.0,112.0
2006,29.0,MIN,NBA,PG,36.0,0.0,800.0,8.6,22.5,0.381,2.7,6.8,0.396,5.9,15.7,0.375,3.2,3.5,0.923,0.5,2.4,3.0,7.2,0.8,0.3,2.7,3.7,23.1,,100.0,110.0
2007,30.0,MIN,NBA,PG,34.0,6.0,554.0,7.0,18.6,0.379,2.7,7.6,0.35,4.4,11.0,0.4,2.5,3.0,0.813,0.8,3.8,4.6,7.0,1.3,0.2,3.8,2.2,19.2,,95.0,111.0
2008,31.0,GSW,NBA,PG,9.0,0.0,93.0,4.7,16.2,0.29,2.1,6.3,0.333,2.6,9.9,0.263,3.1,3.1,1.0,0.0,3.7,3.7,4.7,1.6,0.0,3.7,2.1,14.6,,83.0,113.0
