Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2002,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",21.0,NBA,PF,82.0,79.0,3007.0,551.0,1064.0,0.52,1.0,5.0,0.2,550.0,1059.0,0.52,0.52,338.0,477.0,0.71,238.0,492.0,730.0,223.0,41.0,169.0,224.0,195.0,1441.0,,0.0
2003,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",22.0,NBA,PF,82.0,82.0,2948.0,569.0,1116.0,0.51,1.0,10.0,0.1,568.0,1106.0,0.51,0.51,416.0,565.0,0.74,192.0,528.0,720.0,229.0,34.0,148.0,213.0,220.0,1555.0,,0.0
2004,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",23.0,NBA,PF,78.0,78.0,2458.0,506.0,1049.0,0.48,4.0,15.0,0.27,502.0,1034.0,0.48,0.48,365.0,511.0,0.71,206.0,394.0,600.0,198.0,44.0,132.0,187.0,185.0,1381.0,,0.0
2005,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",24.0,NBA,PF,56.0,53.0,1790.0,357.0,695.0,0.51,1.0,6.0,0.17,356.0,689.0,0.52,0.51,282.0,367.0,0.77,130.0,280.0,410.0,135.0,37.0,93.0,137.0,146.0,997.0,,0.0
2006,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",25.0,NBA,PF,80.0,80.0,3135.0,600.0,1194.0,0.5,3.0,12.0,0.25,597.0,1182.0,0.5,0.5,425.0,617.0,0.69,191.0,522.0,713.0,371.0,46.0,153.0,235.0,184.0,1628.0,,1.0
2007,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",26.0,NBA,C,59.0,59.0,2133.0,462.0,858.0,0.54,3.0,11.0,0.27,459.0,847.0,0.54,0.54,299.0,400.0,0.75,149.0,432.0,581.0,201.0,29.0,126.0,162.0,137.0,1226.0,,1.0
2008,31,1008,TOT,Total After Trade,Pau Gasol,"July 6, 1980",27.0,NBA,C,66.0,66.0,2351.0,475.0,890.0,0.53,4.0,16.0,0.25,471.0,874.0,0.54,0.54,292.0,362.0,0.81,155.0,398.0,553.0,211.0,30.0,98.0,124.0,139.0,1246.0,,0.0
2008,15,1008,MEM,Memphis Grizzlies,Pau Gasol,"July 6, 1980",27.0,NBA,C,39.0,39.0,1433.0,279.0,557.0,0.5,4.0,15.0,0.27,275.0,542.0,0.51,0.5,176.0,215.0,0.82,94.0,248.0,342.0,116.0,16.0,56.0,80.0,85.0,738.0,,0.0
2008,14,1008,LAL,Los Angeles Lakers,Pau Gasol,"July 6, 1980",27.0,NBA,C,27.0,27.0,918.0,196.0,333.0,0.59,0.0,1.0,0.0,196.0,332.0,0.59,0.59,116.0,147.0,0.79,61.0,150.0,211.0,95.0,14.0,42.0,44.0,54.0,508.0,,0.0
2009,14,1008,LAL,Los Angeles Lakers,Pau Gasol,"July 6, 1980",28.0,NBA,C,81.0,81.0,2999.0,592.0,1045.0,0.57,1.0,2.0,0.5,591.0,1043.0,0.57,0.57,343.0,439.0,0.78,262.0,518.0,780.0,284.0,52.0,81.0,157.0,172.0,1528.0,,1.0
