SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,12,IND,Reggie Miller,36,5,5,39.6,8.4,16.6,0.51,2.6,6.2,0.42,5.8,10.4,0.56,0.58,4.2,4.8,0.88,0.0,3.2,3.2,2.8,1.6,0.2,2.8,2.0,23.6
2002,12,IND,Jermaine O'Neal,23,5,5,38.4,6.8,15.2,0.45,0.0,0.2,0.0,6.8,15.0,0.45,0.45,3.6,4.8,0.75,1.2,6.4,7.6,1.0,0.8,1.6,2.8,4.8,17.2
2002,12,IND,Brad Miller,25,5,5,36.0,4.0,8.8,0.46,0.0,0.0,,4.0,8.8,0.46,0.46,3.2,4.0,0.8,3.4,6.4,9.8,1.4,0.8,0.4,1.4,3.2,11.2
2002,12,IND,Metta World Peace,22,5,5,33.4,4.4,10.8,0.41,1.2,2.6,0.46,3.2,8.2,0.39,0.46,1.8,2.6,0.69,1.2,4.8,6.0,3.2,2.6,0.6,1.8,3.8,11.8
2002,12,IND,Kevin Ollie,29,5,0,23.6,2.2,5.2,0.42,0.2,0.4,0.5,2.0,4.8,0.42,0.44,1.2,1.2,1.0,0.0,2.4,2.4,4.6,0.6,0.0,1.0,1.2,5.8
2002,12,IND,Ron Mercer,25,5,0,23.4,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,0.5,0.6,0.8,0.75,0.0,2.0,2.0,0.8,0.2,0.2,0.6,1.8,7.8
2002,12,IND,Jamaal Tinsley,23,5,5,17.6,1.6,3.8,0.42,0.0,0.2,0.0,1.6,3.6,0.44,0.42,0.4,0.6,0.67,0.4,1.6,2.0,5.0,0.4,0.0,2.4,2.4,3.6
2002,12,IND,Jeff Foster,25,5,0,15.6,1.4,2.6,0.54,0.4,0.8,0.5,1.0,1.8,0.56,0.62,0.8,1.8,0.44,1.0,3.8,4.8,1.4,0.6,0.2,1.8,2.6,4.0
2002,12,IND,Austin Croshere,26,4,0,14.8,2.0,5.0,0.4,0.5,1.5,0.33,1.5,3.5,0.43,0.45,1.5,2.0,0.75,1.0,2.5,3.5,0.5,0.3,0.3,1.5,1.8,6.0
2002,12,IND,Jonathan Bender,21,5,0,9.0,0.6,1.2,0.5,0.0,0.2,0.0,0.6,1.0,0.6,0.5,0.0,0.0,,0.0,0.8,0.8,0.4,0.4,0.6,1.0,1.2,1.2
2002,12,IND,Jamison Brewer,21,2,0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,2.0,0.5,0.0,0.0,0.5,1.5,0.5
2002,12,IND,Bruno Sundov,21,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
