Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2011,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",20.0,NBA,SG,61.0,19.0,1265.0,179.0,395.0,0.45,41.0,138.0,0.3,138.0,257.0,0.54,0.5,77.0,101.0,0.76,37.0,187.0,224.0,65.0,62.0,26.0,70.0,127.0,476.0,0.0
2012,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",21.0,NBA,SG,66.0,66.0,1958.0,281.0,639.0,0.44,90.0,234.0,0.38,191.0,405.0,0.47,0.51,146.0,182.0,0.8,56.0,314.0,370.0,158.0,108.0,38.0,117.0,191.0,798.0,0.0
2013,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",22.0,NBA,SF,79.0,79.0,2972.0,493.0,1176.0,0.42,170.0,469.0,0.36,323.0,707.0,0.46,0.49,221.0,274.0,0.81,88.0,515.0,603.0,327.0,143.0,51.0,233.0,227.0,1377.0,1.0
2014,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",23.0,NBA,SF,80.0,80.0,2898.0,577.0,1362.0,0.42,182.0,500.0,0.36,395.0,862.0,0.46,0.49,401.0,464.0,0.86,64.0,478.0,542.0,283.0,151.0,22.0,224.0,198.0,1737.0,1.0
2015,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",24.0,NBA,SF,6.0,0.0,91.0,18.0,49.0,0.37,9.0,22.0,0.41,9.0,27.0,0.33,0.46,8.0,11.0,0.73,4.0,18.0,22.0,6.0,5.0,1.0,12.0,11.0,53.0,0.0
2016,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",25.0,NBA,SF,81.0,81.0,2819.0,605.0,1449.0,0.42,210.0,566.0,0.37,395.0,883.0,0.45,0.49,454.0,528.0,0.86,79.0,484.0,563.0,329.0,152.0,29.0,265.0,230.0,1874.0,0.0
2017,12,1019,IND,Indiana Pacers,Paul George,"May 2, 1990",26.0,NBA,SF,75.0,75.0,2689.0,622.0,1348.0,0.46,195.0,496.0,0.39,427.0,852.0,0.5,0.53,336.0,374.0,0.9,58.0,434.0,492.0,251.0,119.0,27.0,220.0,206.0,1775.0,0.0
2018,21,1019,OKC,Oklahoma City Thunder,Paul George,"May 2, 1990",27.0,NBA,SF,79.0,79.0,2891.0,576.0,1340.0,0.43,244.0,609.0,0.4,332.0,731.0,0.45,0.52,338.0,411.0,0.82,72.0,375.0,447.0,263.0,161.0,39.0,212.0,233.0,1734.0,0.0
2019,21,1019,OKC,Oklahoma City Thunder,Paul George,"May 2, 1990",28.0,NBA,SF,77.0,77.0,2841.0,707.0,1614.0,0.44,292.0,757.0,0.39,415.0,857.0,0.48,0.53,453.0,540.0,0.84,105.0,523.0,628.0,318.0,170.0,34.0,205.0,214.0,2159.0,1.0
2020,13,1019,LAC,Los Angeles Clippers,Paul George,"May 2, 1990",29.0,NBA,SF,48.0,48.0,1419.0,343.0,782.0,0.44,157.0,381.0,0.41,186.0,401.0,0.46,0.54,190.0,217.0,0.88,24.0,248.0,272.0,185.0,68.0,20.0,125.0,113.0,1033.0,0.0
2021,13,1019,LAC,Los Angeles Clippers,Paul George,"May 2, 1990",30.0,NBA,SF,21.0,21.0,707.0,174.0,345.0,0.5,76.0,161.0,0.47,98.0,184.0,0.53,0.61,78.0,86.0,0.91,14.0,116.0,130.0,114.0,25.0,10.0,74.0,49.0,502.0,0.0
