PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Garnett,22,47,47,1780,8.4,18.2,0.46,0.1,0.3,0.28600000000000003,8.3,17.9,0.46299999999999997,2.9,4.2,0.7040000000000001,3.4,6.5,9.9,4.1,1.6,1.7,2.7,3.1,19.8
Joe Smith,23,43,42,1418,5.7,13.3,0.42700000000000005,0.0,0.1,0.0,5.7,13.2,0.43,3.6,4.8,0.755,3.9,5.1,9.0,1.7,0.8,1.7,1.7,3.7,14.9
Sam Mitchell,35,50,20,1344,5.7,14.0,0.408,0.2,1.0,0.237,5.5,13.0,0.42100000000000004,3.4,4.4,0.764,1.5,3.4,4.9,2.6,0.9,0.4,0.9,3.0,15.0
Dean Garrett,32,49,37,1054,4.0,7.9,0.502,0.0,0.0,,4.0,7.9,0.502,1.3,1.7,0.745,3.4,5.4,8.8,1.0,1.0,1.5,1.0,3.9,9.2
Bobby Jackson,25,50,12,941,5.4,13.3,0.405,0.4,1.0,0.37,5.0,12.3,0.408,2.3,3.0,0.772,1.6,3.5,5.2,6.4,1.5,0.1,2.9,2.9,13.5
Anthony Peeler,29,28,28,810,4.6,12.1,0.379,1.5,5.1,0.298,3.1,7.0,0.43700000000000006,1.3,1.8,0.732,1.3,2.4,3.7,3.5,1.6,0.3,1.7,2.7,12.0
Malik Sealy,28,31,7,731,4.7,11.4,0.41100000000000003,0.3,1.1,0.261,4.4,10.2,0.428,2.7,3.0,0.902,1.1,3.4,4.5,1.8,1.5,0.2,1.6,3.3,12.4
Tom Hammonds,31,49,0,716,4.1,9.0,0.45799999999999996,0.0,0.0,,4.1,9.0,0.45799999999999996,2.4,3.8,0.64,2.7,4.1,6.8,1.0,0.4,0.4,1.6,4.4,10.7
Terrell Brandon,28,21,20,712,6.4,15.1,0.425,0.3,1.0,0.263,6.2,14.2,0.436,2.0,2.4,0.83,0.8,3.3,4.1,10.4,2.0,0.4,1.9,2.9,15.1
Stephon Marbury,21,18,18,661,6.8,16.6,0.408,0.4,2.1,0.205,6.3,14.4,0.43799999999999994,3.4,4.7,0.7240000000000001,0.9,2.5,3.4,9.1,1.6,0.3,3.0,2.4,17.4
Dennis Scott,30,21,9,532,4.7,10.6,0.446,2.0,4.6,0.426,2.8,6.0,0.461,1.5,1.8,0.815,0.3,2.2,2.6,2.2,0.8,0.1,0.9,2.2,12.9
Bill Curley,26,35,7,372,2.8,7.0,0.40299999999999997,0.1,0.5,0.2,2.7,6.5,0.418,1.8,2.1,0.8640000000000001,1.9,3.0,4.9,1.4,1.6,0.9,1.0,8.0,7.5
Reggie Jordan,31,27,1,296,1.8,6.6,0.278,0.0,0.0,,1.8,6.6,0.278,2.6,4.6,0.5529999999999999,3.3,3.9,7.2,5.0,1.5,0.6,1.7,4.6,6.2
Andrae Patterson,23,35,0,284,5.5,12.3,0.44299999999999995,0.0,0.6,0.0,5.5,11.7,0.467,3.5,4.6,0.778,3.8,4.4,8.2,1.9,2.4,0.9,2.8,7.9,14.5
James Robinson,28,17,0,226,4.5,13.9,0.322,2.1,7.0,0.295,2.4,6.8,0.349,1.3,2.2,0.5710000000000001,1.3,4.3,5.6,6.1,1.3,0.8,4.5,4.9,12.3
Chris Carr,24,11,2,81,4.0,11.6,0.34600000000000003,1.3,4.0,0.33299999999999996,2.7,7.6,0.353,0.9,1.8,0.5,0.0,5.3,5.3,3.1,0.4,0.4,1.8,4.0,10.2
Rasho Nesterović,22,2,0,30,3.6,14.4,0.25,0.0,0.0,,3.6,14.4,0.25,2.4,2.4,1.0,3.6,6.0,9.6,1.2,0.0,0.0,1.2,6.0,9.6
Brian Evans,25,5,0,24,3.0,15.0,0.2,0.0,3.0,0.0,3.0,12.0,0.25,0.0,0.0,,3.0,0.0,3.0,1.5,3.0,0.0,0.0,1.5,6.0
Paul Grant,25,4,0,8,4.5,18.0,0.25,0.0,0.0,,4.5,18.0,0.25,0.0,0.0,,4.5,0.0,4.5,0.0,0.0,0.0,4.5,18.0,9.0
Trevor Winter,25,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,7.2,14.4,21.6,0.0,0.0,0.0,0.0,36.0,0.0
