TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
MIL,82,19905,39.9,87.5,0.46,0.5,2.5,0.21,39.4,85.0,0.46,23.3,31.0,0.75,15.6,27.8,43.4,24.4,8.1,4.0,17.5,26.0,103.6
ALT,82,19855,41.6,86.8,0.48,0.5,2.3,0.21,41.1,84.5,0.49,23.3,30.2,0.77,15.1,30.6,45.7,25.7,7.3,5.4,17.9,26.5,106.9
NYK,82,19855,39.8,81.6,0.49,0.6,2.3,0.28,39.2,79.3,0.49,22.9,30.2,0.76,12.8,26.5,39.3,25.0,8.8,4.8,20.5,26.8,103.1
BOS,82,19955,41.8,88.9,0.47,0.9,2.6,0.32,40.9,86.3,0.47,20.0,25.8,0.77,13.3,26.9,40.1,23.6,8.5,4.0,16.0,25.2,104.4
PHI,82,19955,41.4,86.2,0.48,0.6,2.5,0.23,40.8,83.7,0.49,21.2,28.6,0.74,14.9,27.0,41.9,24.9,9.7,5.8,18.8,27.0,104.6
WAB,82,19905,42.9,87.7,0.49,0.5,2.1,0.22,42.4,85.6,0.5,20.9,27.4,0.76,12.8,29.5,42.3,25.2,8.7,6.1,15.8,25.0,107.2
CLE,82,19855,41.9,86.0,0.49,0.6,2.4,0.26,41.3,83.7,0.49,24.1,31.6,0.76,12.2,29.9,42.1,26.6,7.2,4.9,15.2,23.7,108.5
SEA,82,19780,43.6,89.3,0.49,0.7,2.8,0.24,43.0,86.5,0.5,20.1,26.4,0.76,14.2,29.3,43.5,27.7,8.1,4.7,16.2,25.5,108.1
CHI,82,19980,42.2,85.3,0.49,0.4,2.2,0.2,41.7,83.1,0.5,22.7,29.8,0.76,13.5,28.8,42.3,26.9,9.5,6.2,18.2,25.4,107.5
NJN,82,19805,40.2,82.0,0.49,0.6,2.1,0.26,39.7,79.9,0.5,24.0,31.5,0.76,12.9,27.1,40.0,22.5,9.2,4.9,19.7,25.4,105.0
IND,82,19780,42.2,85.2,0.5,0.3,1.7,0.2,41.9,83.5,0.5,21.7,28.7,0.76,14.2,30.5,44.6,25.2,9.0,5.3,18.9,22.9,106.5
POR,82,19805,42.7,83.2,0.51,0.7,2.5,0.27,42.1,80.7,0.52,21.5,28.4,0.76,12.7,26.2,38.9,25.4,7.8,5.3,19.6,26.2,107.7
DAL,82,19955,44.1,88.5,0.5,0.8,2.7,0.28,43.4,85.8,0.51,20.5,26.7,0.77,14.3,28.5,42.8,25.9,7.7,5.1,16.8,26.9,109.6
PHO,82,19780,42.0,84.5,0.5,0.6,2.6,0.25,41.3,81.9,0.5,23.4,30.4,0.77,12.7,27.9,40.7,24.6,8.1,3.6,17.7,24.4,108.0
KCK,82,19755,42.5,84.7,0.5,0.4,1.9,0.2,42.1,82.7,0.51,22.5,29.6,0.76,13.3,28.2,41.5,24.9,7.8,5.8,18.7,25.9,108.0
LAL,82,19780,43.0,88.9,0.48,0.7,2.6,0.28,42.2,86.3,0.49,20.6,27.5,0.75,14.7,25.2,39.9,26.5,9.3,4.4,16.9,23.1,107.3
GSW,82,19830,43.6,84.5,0.52,0.4,2.0,0.21,43.2,82.5,0.52,21.1,27.8,0.76,14.2,29.4,43.6,25.2,8.1,5.8,19.8,26.3,108.8
DET,82,19905,42.5,85.6,0.5,0.6,2.3,0.26,41.9,83.3,0.5,22.5,29.9,0.75,13.5,28.5,42.0,25.5,7.2,6.1,17.2,25.4,108.1
HOU,82,19755,41.6,86.0,0.48,0.5,1.8,0.27,41.1,84.2,0.49,24.6,32.5,0.76,13.9,28.5,42.4,23.5,9.1,4.9,16.5,22.2,108.2
UTA,82,19780,43.3,91.0,0.48,0.5,2.4,0.22,42.8,88.6,0.48,20.8,27.9,0.74,16.9,28.5,45.3,25.9,8.6,5.4,16.6,25.4,108.0
SDC,82,19730,45.4,89.1,0.51,0.6,2.2,0.28,44.7,86.8,0.52,21.0,26.9,0.78,13.4,26.0,39.4,28.5,8.7,5.5,14.9,24.6,112.4
SAS,82,19980,45.1,89.2,0.5,0.6,2.4,0.24,44.5,86.7,0.51,20.7,27.4,0.76,14.6,27.7,42.3,28.4,7.4,5.2,16.1,24.7,111.4
DEN,82,19805,44.1,85.0,0.52,0.7,2.2,0.3,43.4,82.7,0.52,23.5,31.4,0.75,13.5,30.0,43.5,26.9,7.4,6.0,16.9,24.9,112.3
