Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1987,14,LAL,Los Angeles Lakers,Magic Johnson,27,80,2904,27.0,0.6,0.03,0.48,5.0,13.7,9.7,47.2,2.2,0.7,15.9,26.3,12.1,3.8,15.9,0.26,7.5,1.3,8.8,8.0
1987,14,LAL,Los Angeles Lakers,James Worthy,25,82,2819,18.4,0.58,0.01,0.32,6.7,11.4,9.2,11.2,1.8,1.6,10.9,22.3,5.9,3.4,9.3,0.16,2.3,0.3,2.6,3.3
1987,14,LAL,Los Angeles Lakers,Byron Scott,25,82,2729,16.0,0.56,0.13,0.22,2.8,8.5,5.8,13.8,2.2,0.4,10.4,20.6,4.8,2.9,7.7,0.14,0.9,0.2,1.1,2.1
1987,14,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,39,78,2441,17.9,0.6,0.0,0.34,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,4.5,3.0,7.5,0.15,1.4,0.1,1.6,2.2
1987,14,LAL,Los Angeles Lakers,Michael Cooper,30,82,2253,14.0,0.54,0.31,0.2,3.1,9.0,6.3,20.6,1.6,1.1,11.3,16.3,3.8,2.3,6.1,0.13,1.4,0.7,2.1,2.3
1987,14,LAL,Los Angeles Lakers,A.C. Green,23,79,2240,15.7,0.6,0.01,0.48,11.2,18.8,15.3,4.6,1.5,2.0,12.5,14.7,4.3,3.3,7.6,0.16,0.9,0.1,1.0,1.7
1987,14,LAL,Los Angeles Lakers,Kurt Rambis,28,78,1514,12.6,0.58,0.0,0.5,12.6,20.2,16.6,5.0,2.3,1.5,21.4,13.0,1.3,2.6,3.9,0.12,-1.5,0.8,-0.6,0.5
1987,14,LAL,Los Angeles Lakers,Billy Thompson,23,59,762,12.8,0.56,0.0,0.28,10.8,13.9,12.5,10.3,0.9,2.2,17.2,18.9,0.7,0.9,1.6,0.1,-2.6,-0.1,-2.7,-0.1
1987,14,LAL,Los Angeles Lakers,Mychal Thompson,32,33,680,12.6,0.53,0.0,0.38,8.3,13.6,11.1,5.4,1.0,2.5,15.4,22.1,0.2,0.8,1.0,0.07,-2.7,-1.3,-4.0,-0.3
1987,14,LAL,Los Angeles Lakers,Wes Matthews,27,50,532,11.7,0.51,0.02,0.19,2.9,6.6,4.9,24.1,2.0,0.4,20.1,19.4,0.1,0.5,0.6,0.05,-2.3,-0.7,-3.0,-0.1
1987,14,LAL,Los Angeles Lakers,Frank Brickowski,27,37,404,10.2,0.61,0.0,0.63,11.8,14.7,13.4,3.6,1.6,0.6,17.2,14.6,0.6,0.5,1.1,0.13,-4.3,0.0,-4.3,-0.2
1987,14,LAL,Los Angeles Lakers,Mike Smrek,24,35,233,5.0,0.54,0.0,0.42,6.7,10.7,8.8,2.6,0.8,3.1,21.1,15.7,-0.1,0.3,0.1,0.03,-7.8,0.5,-7.3,-0.3
1987,14,LAL,Los Angeles Lakers,Adrian Branch,23,32,219,18.8,0.58,0.02,0.56,12.6,14.2,13.5,10.0,3.5,0.8,16.7,26.6,0.4,0.4,0.7,0.16,-0.9,0.5,-0.4,0.1
