Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2006,9,9,DET,Detroit Pistons,6,Alex Acker,SG,6-5,185,1983-01-21,US,R,Pepperdine
2006,9,111,DET,Detroit Pistons,30,Carlos Arroyo,PG,6-2,202,1979-07-30,PR,4,Florida International University
2006,9,242,DET,Detroit Pistons,1,Chauncey Billups,PG,6-3,202,1976-09-25,US,8,Colorado
2006,9,501,DET,Detroit Pistons,13,Kelvin Cato,C,6-11,255,1974-08-26,US,8,"University of South Alabama, Iowa State"
2006,9,684,DET,Detroit Pistons,34,Dale Davis,C,6-11,230,1969-03-25,US,14,Clemson
2006,9,725,DET,Detroit Pistons,20,Carlos Delfino,SG,6-6,230,1982-08-29,AR,1,
2006,9,727,DET,Detroit Pistons,0,Tony Delk,PG,6-1,189,1974-01-28,US,9,Kentucky
2006,9,880,DET,Detroit Pistons,5,Maurice Evans,SG,6-5,220,1978-11-08,US,2,"Wichita State, Texas"
2006,9,1163,DET,Detroit Pistons,32,Richard Hamilton,SG,6-6,185,1978-02-14,US,6,UConn
2006,9,1369,DET,Detroit Pistons,10,Lindsey Hunter,PG,6-2,170,1970-12-03,US,12,"Alcorn State, Jackson State University"
2006,9,1466,DET,Detroit Pistons,25,Amir Johnson,SF,6-9,240,1987-05-01,US,R,
2006,9,1882,DET,Detroit Pistons,54,Jason Maxiell,PF,6-7,260,1983-02-18,US,R,Cincinnati
2006,9,1931,DET,Detroit Pistons,24,Antonio McDyess,PF,6-9,220,1974-09-07,US,9,Alabama
2006,9,1991,DET,Detroit Pistons,31,Darko Milicic,C,7-0,250,1985-06-20,RS,2,
2006,9,2372,DET,Detroit Pistons,22,Tayshaun Prince,SF,6-9,212,1980-02-28,US,3,Kentucky
2006,9,3016,DET,Detroit Pistons,3,Ben Wallace,C,6-9,240,1974-09-10,US,9,Virginia Union University
2006,9,3019,DET,Detroit Pistons,36,Rasheed Wallace,PF,6-10,225,1974-09-17,US,10,UNC
