Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007,22,ORL,Orlando Magic,Dwight Howard,21,82,3023,21.1,0.62,0.0,0.76,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,3.9,5.8,9.7,0.15,1.7,1.1,2.8,3.7
2007,22,ORL,Orlando Magic,Jameer Nelson,24,77,2331,13.9,0.51,0.22,0.25,2.7,9.6,6.2,25.0,1.7,0.2,15.9,23.0,1.6,2.4,4.0,0.08,-0.1,-0.6,-0.7,0.8
2007,22,ORL,Orlando Magic,Hedo Turkoglu,27,73,2268,14.2,0.53,0.34,0.27,3.2,12.5,8.0,17.9,1.6,0.6,13.5,21.7,2.3,2.6,4.9,0.1,0.4,0.0,0.4,1.3
2007,22,ORL,Orlando Magic,Grant Hill,34,65,2009,16.3,0.58,0.02,0.49,3.3,11.0,7.3,12.3,1.6,1.0,15.2,21.8,2.9,2.3,5.1,0.12,0.7,0.4,1.1,1.6
2007,22,ORL,Orlando Magic,Darko Miliaic,21,80,1913,13.8,0.49,0.0,0.42,9.6,18.4,14.1,7.9,1.2,5.9,16.0,18.7,0.0,3.3,3.3,0.08,-2.1,1.5,-0.5,0.7
2007,22,ORL,Orlando Magic,Tony Battie,30,66,1575,9.8,0.51,0.0,0.21,7.4,19.3,13.5,3.6,1.0,1.5,13.4,13.4,0.6,2.1,2.7,0.08,-2.6,0.5,-2.1,0.0
2007,22,ORL,Orlando Magic,Keyon Dooling,26,66,1435,11.1,0.5,0.21,0.31,1.9,5.4,3.7,13.1,1.9,0.8,12.2,19.1,0.7,1.4,2.1,0.07,-1.6,0.4,-1.3,0.3
2007,22,ORL,Orlando Magic,Carlos Arroyo,27,72,1304,14.4,0.5,0.11,0.35,3.0,9.5,6.3,27.1,1.6,0.1,14.0,22.8,1.2,1.3,2.5,0.09,-0.4,-0.4,-0.8,0.4
2007,22,ORL,Orlando Magic,Trevor Ariza,21,57,1278,16.2,0.57,0.02,0.46,9.7,14.2,12.0,8.9,2.5,1.2,15.8,19.2,1.5,1.9,3.4,0.13,0.4,1.3,1.6,1.2
2007,22,ORL,Orlando Magic,Keith Bogans,26,59,990,9.2,0.55,0.56,0.26,2.0,9.4,5.8,9.5,1.5,0.2,14.4,14.9,0.7,1.0,1.7,0.08,-1.6,0.1,-1.5,0.1
2007,22,ORL,Orlando Magic,J.J. Redick,22,42,622,13.0,0.57,0.5,0.31,2.0,8.1,5.2,9.7,1.0,0.0,8.7,18.1,1.2,0.5,1.7,0.13,0.8,-0.7,0.1,0.3
2007,22,ORL,Orlando Magic,Bo Outlaw,35,41,460,11.4,0.67,0.0,0.43,12.9,15.5,14.2,5.3,2.0,1.1,25.7,8.2,0.6,0.6,1.2,0.13,-1.0,1.3,0.3,0.3
2007,22,ORL,Orlando Magic,Travis Diener,24,26,288,11.6,0.57,0.62,0.19,1.3,6.3,3.9,20.0,0.7,0.0,13.1,16.0,0.5,0.2,0.7,0.11,1.0,-0.7,0.3,0.2
2007,22,ORL,Orlando Magic,Pat Garrity,30,33,277,6.4,0.46,0.46,0.26,5.5,13.1,9.3,7.8,1.4,0.0,15.2,15.4,-0.1,0.3,0.2,0.04,-3.6,-0.6,-4.2,-0.2
2007,22,ORL,Orlando Magic,James Augustine,22,2,7,16.6,0.33,0.0,0.0,18.0,34.4,26.4,48.9,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.17,-2.3,1.3,-1.0,0.0
