Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,25.0,DEN,NBA,C,71.0,71.0,38.3,6.0,12.2,0.493,0.0,0.0,,6.0,12.2,0.493,0.493,4.5,7.0,0.642,4.5,7.8,12.3,2.2,0.6,3.0,3.5,3.8,16.6
1992-93,26.0,DEN,NBA,C,82.0,82.0,36.9,4.9,9.5,0.51,0.0,0.0,,4.9,9.5,0.51,0.51,4.1,6.0,0.681,4.2,8.9,13.0,1.8,0.5,3.5,2.6,3.5,13.8
1993-94,27.0,DEN,NBA,C,82.0,82.0,34.8,4.5,7.8,0.569,0.0,0.0,0.0,4.5,7.8,0.569,0.569,3.1,5.4,0.583,3.5,8.4,11.8,1.5,0.7,4.1,2.5,3.2,12.0
1994-95,28.0,DEN,NBA,C,82.0,82.0,37.8,4.3,7.7,0.556,0.0,0.0,,4.3,7.7,0.556,0.556,3.0,4.6,0.654,3.9,8.7,12.5,1.4,0.5,3.9,2.3,3.5,11.5
1995-96,29.0,DEN,NBA,C,74.0,74.0,36.7,3.8,7.7,0.499,0.0,0.0,0.0,3.8,7.7,0.5,0.499,3.3,4.8,0.695,3.4,8.4,11.8,1.5,0.5,4.5,2.0,3.5,11.0
1996-97,30.0,ATL,NBA,C,80.0,80.0,37.2,4.8,9.0,0.527,0.0,0.0,,4.8,9.0,0.527,0.527,3.8,5.4,0.705,3.4,8.3,11.6,1.4,0.6,3.3,2.3,3.1,13.3
1997-98,31.0,ATL,NBA,C,82.0,82.0,35.6,4.9,9.1,0.537,0.0,0.0,,4.9,9.1,0.537,0.537,3.7,5.5,0.67,3.4,8.0,11.4,1.0,0.4,3.4,2.0,3.1,13.4
1998-99,32.0,ATL,NBA,C,50.0,50.0,36.6,3.5,6.8,0.512,0.0,0.0,,3.5,6.8,0.512,0.512,3.9,5.7,0.684,3.8,8.4,12.2,1.1,0.3,2.9,1.9,2.9,10.8
1999-00,33.0,ATL,NBA,C,82.0,82.0,36.4,3.9,7.0,0.562,0.0,0.0,,3.9,7.0,0.562,0.562,3.6,5.1,0.708,3.7,10.4,14.1,1.3,0.3,3.3,2.1,3.0,11.5
2000-01,34.0,TOT,NBA,C,75.0,75.0,34.5,3.6,7.4,0.484,0.0,0.0,,3.6,7.4,0.484,0.484,2.8,3.9,0.725,4.1,9.4,13.5,1.0,0.4,2.7,1.9,2.7,10.0
2000-01,34.0,ATL,NBA,C,49.0,49.0,35.0,3.4,7.2,0.477,0.0,0.0,,3.4,7.2,0.477,0.477,2.2,3.1,0.695,3.8,10.3,14.1,1.1,0.4,2.8,1.9,2.8,9.1
2000-01,34.0,PHI,NBA,C,26.0,26.0,33.7,3.8,7.8,0.495,0.0,0.0,,3.8,7.8,0.495,0.495,4.0,5.3,0.759,4.6,7.8,12.4,0.8,0.3,2.5,2.0,2.5,11.7
2001-02,35.0,PHI,NBA,C,80.0,80.0,36.3,4.0,8.0,0.501,0.0,0.0,,4.0,8.0,0.501,0.501,3.5,4.6,0.764,3.2,7.6,10.8,1.0,0.4,2.4,2.0,3.0,11.5
2002-03,36.0,NJN,NBA,C,24.0,16.0,21.4,2.0,5.5,0.374,0.0,0.0,,2.0,5.5,0.374,0.374,1.7,2.3,0.727,2.3,4.1,6.4,0.8,0.2,1.5,1.4,2.3,5.8
2003-04,37.0,NYK,NBA,C,65.0,56.0,23.0,2.2,4.5,0.478,0.0,0.0,,2.2,4.5,0.478,0.478,1.2,1.8,0.681,2.2,4.5,6.7,0.4,0.3,1.9,0.8,2.2,5.6
2004-05,38.0,HOU,NBA,C,80.0,2.0,15.2,1.4,2.7,0.498,0.0,0.0,,1.4,2.7,0.498,0.498,1.3,1.8,0.741,1.9,3.5,5.3,0.1,0.2,1.3,0.6,1.7,4.0
2005-06,39.0,HOU,NBA,C,64.0,23.0,14.9,0.8,1.5,0.526,0.0,0.0,,0.8,1.5,0.526,0.526,1.1,1.4,0.758,1.6,3.2,4.8,0.1,0.3,0.9,0.5,2.0,2.6
2006-07,40.0,HOU,NBA,C,75.0,33.0,17.2,1.1,2.0,0.556,0.0,0.0,,1.1,2.0,0.556,0.556,0.8,1.2,0.69,2.2,4.3,6.5,0.2,0.3,1.0,0.5,2.1,3.1
2007-08,41.0,HOU,NBA,C,39.0,25.0,15.9,1.1,2.1,0.538,0.0,0.0,,1.1,2.1,0.538,0.538,0.8,1.2,0.711,1.7,3.4,5.1,0.1,0.3,1.2,0.4,1.4,3.0
2008-09,42.0,HOU,NBA,C,9.0,2.0,10.7,0.6,1.4,0.385,0.0,0.0,,0.6,1.4,0.385,0.385,0.7,1.0,0.667,1.3,2.3,3.7,0.0,0.0,1.2,0.7,1.2,1.8
