Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,23.0,CLE,NBA,SF,66.0,13.0,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7
1998-99,24.0,CLE,NBA,SG,38.0,13.0,25.7,3.3,8.3,0.398,0.6,1.8,0.304,2.7,6.4,0.424,0.432,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8
1999-00,25.0,LAC,NBA,SG,64.0,58.0,34.4,5.9,13.4,0.438,0.9,2.8,0.309,5.0,10.7,0.472,0.47,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9
2000-01,26.0,SAS,NBA,SG,82.0,82.0,34.9,5.0,12.1,0.416,1.2,3.1,0.399,3.8,9.0,0.422,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5
2001-02,27.0,POR,NBA,SG,70.0,27.0,26.6,3.5,8.7,0.404,1.2,3.3,0.373,2.3,5.5,0.422,0.473,2.5,3.0,0.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8
2002-03,28.0,POR,NBA,PG,76.0,76.0,33.6,4.7,10.9,0.427,1.5,4.4,0.35,3.1,6.6,0.477,0.496,3.0,3.5,0.859,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9
2003-04,29.0,POR,NBA,SG,51.0,46.0,35.5,4.5,12.0,0.376,1.5,5.1,0.305,3.0,6.9,0.428,0.44,3.0,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6
2004-05,30.0,POR,NBA,SG,47.0,32.0,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2.0,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2
2005-06,31.0,TOT,NBA,SG,43.0,11.0,24.3,2.5,7.0,0.356,0.9,3.1,0.299,1.6,3.9,0.402,0.422,2.2,2.6,0.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3,8.1
2005-06,31.0,HOU,NBA,SG,20.0,8.0,29.1,3.4,8.7,0.393,1.0,3.4,0.284,2.5,5.3,0.462,0.448,3.1,3.7,0.836,0.6,3.6,4.2,2.7,0.8,0.2,1.9,2.5,10.8
2005-06,31.0,MIA,NBA,SG,23.0,3.0,20.2,1.7,5.7,0.308,0.9,2.9,0.313,0.8,2.7,0.302,0.388,1.4,1.7,0.842,0.4,2.2,2.6,2.1,0.3,0.1,0.7,2.1,5.8
2006-07,32.0,CHA,NBA,SF,50.0,32.0,23.8,2.5,5.9,0.429,1.1,3.0,0.355,1.4,2.8,0.507,0.52,1.9,2.1,0.877,0.6,1.7,2.3,2.7,1.0,0.1,1.1,2.3,8.0
2007-08,33.0,CHA,NBA,SG,28.0,0.0,14.1,1.7,4.5,0.376,0.7,1.9,0.365,1.0,2.6,0.384,0.452,1.0,1.4,0.737,0.3,1.5,1.9,1.6,0.4,0.0,0.9,1.8,5.0
