Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,31,1290,TOT,Total After Trade,22.0,NBA,PF,47.0,0.0,624.0,5.7,11.6,0.49,0.0,0.1,0.0,5.7,11.5,0.5,2.7,3.9,0.68,4.4,5.7,10.1,1.2,0.8,1.2,1.7,5.3,14.1
2010,20,1290,NYK,New York Knicks,22.0,NBA,PF,24.0,0.0,252.0,5.9,13.1,0.45,0.0,0.3,0.0,5.9,12.9,0.46,2.1,3.0,0.71,4.6,4.1,8.7,1.0,1.4,1.3,1.7,5.3,13.9
2010,11,1290,HOU,Houston Rockets,22.0,NBA,PF,23.0,0.0,372.0,5.6,10.5,0.53,0.0,0.0,,5.6,10.5,0.53,3.0,4.5,0.66,4.3,6.8,11.0,1.3,0.4,1.2,1.7,5.3,14.2
2011,11,1290,HOU,Houston Rockets,23.0,NBA,C,72.0,11.0,1125.0,5.5,11.3,0.49,0.0,0.1,0.0,5.5,11.2,0.49,1.9,2.7,0.71,4.1,5.7,9.8,0.9,0.4,1.7,2.0,5.0,13.0
2012,31,1290,TOT,Total After Trade,24.0,NBA,C,39.0,8.0,551.0,5.4,10.8,0.5,0.0,0.2,0.0,5.4,10.6,0.51,2.0,3.1,0.64,4.0,8.2,12.2,1.0,0.9,1.8,2.0,4.6,12.7
2012,11,1290,HOU,Houston Rockets,24.0,NBA,C,32.0,7.0,469.0,5.2,10.4,0.5,0.0,0.2,0.0,5.2,10.1,0.52,1.9,3.0,0.64,3.6,8.3,11.9,1.1,0.7,1.6,1.8,4.6,12.4
2012,14,1290,LAL,Los Angeles Lakers,24.0,NBA,C,7.0,1.0,82.0,6.1,13.2,0.47,0.0,0.0,,6.1,13.2,0.47,2.2,3.5,0.62,6.1,7.5,13.6,0.9,2.2,2.6,3.1,4.8,14.5
2013,14,1290,LAL,Los Angeles Lakers,25.0,NBA,PF,29.0,1.0,458.0,6.1,12.2,0.5,0.0,0.2,0.0,6.1,12.0,0.5,3.1,4.8,0.66,6.4,6.6,13.0,1.0,0.6,1.5,2.0,4.3,15.2
2014,14,1290,LAL,Los Angeles Lakers,26.0,NBA,PF,72.0,32.0,1500.0,6.9,12.5,0.55,0.0,0.0,0.0,6.9,12.5,0.55,3.0,4.3,0.68,4.7,8.2,12.8,1.3,0.7,1.5,1.8,4.1,16.7
2015,14,1290,LAL,Los Angeles Lakers,27.0,NBA,C,70.0,57.0,1874.0,6.9,14.9,0.46,0.1,0.2,0.27,6.8,14.7,0.46,2.4,3.2,0.74,3.3,7.3,10.7,2.0,0.7,1.0,2.0,3.2,16.2
2016,12,1290,IND,Indiana Pacers,28.0,NBA,C,73.0,11.0,1513.0,6.6,13.1,0.51,0.0,0.0,0.0,6.6,13.0,0.51,2.1,3.0,0.71,3.7,7.0,10.7,2.1,0.9,0.9,2.2,3.7,15.3
2017,18,1290,MIN,Minnesota Timberwolves,29.0,NBA,C,7.0,0.0,47.0,3.8,10.0,0.38,0.0,0.0,,3.8,10.0,0.38,1.5,1.5,1.0,6.1,4.6,10.7,0.0,0.8,0.0,3.1,6.9,9.2
