Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,10,2223,GSW,Golden State Warriors,Billy Owens,"May 1, 1969",22.0,NBA,PF,80.0,77.0,2510.0,8.7,16.5,0.52,0.0,0.2,0.11,8.6,16.3,0.53,3.8,5.8,0.65,4.5,7.3,11.8,3.5,1.7,1.2,3.3,5.1,21.1,,111.0,109.0
1993,10,2223,GSW,Golden State Warriors,Billy Owens,"May 1, 1969",23.0,NBA,PF,37.0,37.0,1201.0,9.9,19.8,0.5,0.0,0.4,0.09,9.9,19.4,0.51,4.7,7.3,0.64,4.3,6.3,10.6,5.8,1.4,1.1,4.3,4.2,24.6,,107.0,110.0
1994,10,2223,GSW,Golden State Warriors,Billy Owens,"May 1, 1969",24.0,NBA,PF,79.0,72.0,2738.0,8.7,17.2,0.51,0.1,0.3,0.2,8.7,16.9,0.51,3.5,5.8,0.61,4.1,7.3,11.3,5.8,1.5,1.1,3.8,4.8,21.0,,106.0,107.0
1995,16,2223,MIA,Miami Heat,Billy Owens,"May 1, 1969",25.0,NBA,SG,70.0,60.0,2296.0,9.1,18.5,0.49,0.0,0.5,0.09,9.0,18.0,0.5,4.4,7.0,0.62,4.6,6.7,11.3,5.5,1.8,0.7,4.6,4.6,22.5,,103.0,109.0
1996,31,2223,TOT,Total After Trade,Billy Owens,"May 1, 1969",26.0,NBA,SF,62.0,51.0,1982.0,8.5,17.8,0.48,0.1,0.5,0.28,8.4,17.3,0.48,4.1,6.5,0.64,3.8,7.1,10.8,5.4,1.3,1.0,4.3,5.1,21.3,,102.0,106.0
1996,16,2223,MIA,Miami Heat,Billy Owens,"May 1, 1969",26.0,NBA,SF,40.0,40.0,1388.0,9.1,18.0,0.5,0.0,0.2,0.0,9.1,17.7,0.51,4.3,6.7,0.63,3.6,7.3,10.9,5.1,1.1,0.8,4.3,5.0,22.4,,103.0,104.0
1996,26,2223,SAC,Sacramento Kings,Billy Owens,"May 1, 1969",26.0,NBA,SF,22.0,11.0,594.0,7.3,17.3,0.42,0.4,1.0,0.42,6.8,16.3,0.42,3.9,6.1,0.64,4.2,6.6,10.8,6.1,1.6,1.4,4.4,5.2,18.9,,97.0,108.0
1997,26,2223,SAC,Sacramento Kings,Billy Owens,"May 1, 1969",27.0,NBA,SF,66.0,56.0,1995.0,7.9,16.9,0.47,0.7,1.9,0.35,7.2,15.0,0.48,2.7,3.8,0.7,3.5,6.8,10.4,4.9,1.6,0.7,3.5,4.9,19.1,,103.0,108.0
1998,26,2223,SAC,Sacramento Kings,Billy Owens,"May 1, 1969",28.0,NBA,SF,78.0,78.0,2348.0,7.5,16.2,0.46,0.6,1.6,0.37,6.9,14.6,0.47,2.6,4.4,0.59,3.8,9.1,12.9,4.9,2.1,0.8,3.4,5.1,18.2,,100.0,104.0
1999,21,2223,SEA,Seattle Supersonics,Billy Owens,"May 1, 1969",29.0,NBA,SF,21.0,19.0,451.0,7.7,19.6,0.39,0.6,1.3,0.46,7.1,18.3,0.39,3.3,4.2,0.8,4.2,5.3,9.5,4.5,1.4,0.5,3.9,4.4,19.4,,95.0,108.0
2001,9,2223,DET,Detroit Pistons,Billy Owens,"May 1, 1969",31.0,NBA,PF,45.0,14.0,793.0,5.6,14.7,0.38,0.2,1.3,0.15,5.4,13.4,0.4,1.2,2.6,0.48,5.4,7.7,13.1,3.5,2.0,0.8,2.5,5.9,12.7,,91.0,101.0
