Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2015,24.0,MIA,NBA,SF,62.0,3.0,1051.0,5.1,12.4,0.409,1.6,4.8,0.326,3.5,7.6,0.461,4.0,4.7,0.84,2.6,6.3,8.8,2.4,1.3,0.9,2.0,4.5,15.7,,110.0,108.0
2016,25.0,TOT,NBA,SF,22.0,5.0,329.0,8.2,17.1,0.478,3.9,8.8,0.448,4.2,8.3,0.509,3.8,5.2,0.735,3.2,3.2,6.4,3.2,2.4,0.8,2.9,4.2,24.1,,116.0,110.0
2016,25.0,MIA,NBA,SF,3.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,7.3,0.0,0.0,0.0,7.3,0.0,,216.0,113.0
2016,25.0,MEM,NBA,SF,10.0,0.0,40.0,5.1,16.7,0.308,2.6,10.3,0.25,2.6,6.4,0.4,7.7,12.9,0.6,5.1,3.9,9.0,2.6,5.1,2.6,2.6,1.3,20.6,,100.0,101.0
2016,25.0,NOP,NBA,SF,9.0,5.0,282.0,8.8,17.6,0.5,4.2,8.8,0.48,4.6,8.8,0.52,3.3,4.2,0.792,3.0,3.2,6.2,3.2,2.1,0.5,3.0,4.6,25.1,,118.0,111.0
2017,26.0,MEM,NBA,SF,64.0,28.0,1501.0,5.1,11.1,0.455,1.8,4.7,0.372,3.3,6.4,0.516,3.0,3.8,0.782,2.4,6.6,9.0,2.2,1.6,0.7,2.0,5.7,14.9,,113.0,108.0
2018,27.0,TOT,NBA,SF,72.0,22.0,1604.0,5.7,12.0,0.474,1.6,4.8,0.333,4.1,7.2,0.567,3.0,3.6,0.836,2.3,4.7,7.0,2.2,1.5,0.6,1.8,4.2,16.1,,115.0,112.0
2018,27.0,MEM,NBA,SF,45.0,14.0,1053.0,5.2,10.7,0.486,1.4,4.0,0.357,3.7,6.6,0.565,3.1,3.5,0.877,2.5,5.0,7.5,2.4,1.5,0.6,1.8,3.9,14.9,,118.0,113.0
2018,27.0,DET,NBA,SF,27.0,8.0,551.0,6.7,14.7,0.457,1.9,6.2,0.304,4.8,8.4,0.57,3.0,3.9,0.767,1.8,4.3,6.1,2.0,1.4,0.5,1.6,4.8,18.3,,111.0,110.0
2019,28.0,TOT,NBA,SF,58.0,27.0,1230.0,5.5,11.6,0.469,2.2,6.2,0.353,3.3,5.5,0.601,2.3,3.2,0.716,2.4,4.8,7.2,1.6,1.6,0.9,1.3,5.9,15.4,,119.0,112.0
2019,28.0,HOU,NBA,SF,40.0,25.0,949.0,5.4,10.9,0.493,2.3,6.2,0.367,3.1,4.7,0.659,2.2,3.0,0.724,1.9,4.1,6.0,1.4,2.0,0.8,1.2,5.7,15.2,,124.0,112.0
2019,28.0,PHI,NBA,SF,18.0,2.0,281.0,5.7,13.9,0.41,1.8,6.1,0.306,3.9,7.9,0.489,2.7,3.9,0.696,3.9,7.1,10.9,2.4,0.5,1.2,1.8,6.6,16.0,,108.0,112.0
2020,29.0,TOT,NBA,"SF,SG",69.0,18.0,1265.0,6.1,13.8,0.446,2.1,6.5,0.325,4.0,7.3,0.553,3.0,3.8,0.806,2.7,6.7,9.4,2.4,1.3,0.8,2.2,5.3,17.4,,111.0,110.0
2020,29.0,PHI,NBA,SF,49.0,0.0,776.0,6.2,14.1,0.442,2.3,6.6,0.349,3.9,7.5,0.525,3.0,3.8,0.787,3.0,6.4,9.4,2.6,1.4,0.9,1.9,5.3,17.8,,114.0,110.0
2020,29.0,ORL,NBA,SG,20.0,18.0,489.0,6.0,13.2,0.451,1.8,6.3,0.286,4.2,7.0,0.6,3.1,3.7,0.838,2.3,7.2,9.5,2.2,1.2,0.8,2.7,5.2,16.8,,105.0,111.0
2021,30.0,ORL,NBA,SF,4.0,3.0,72.0,4.7,12.0,0.389,0.7,3.3,0.2,4.0,8.7,0.462,2.7,2.7,1.0,2.0,4.0,6.0,3.3,3.3,0.0,3.3,3.3,12.6,,92.0,108.0
