PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Andrew Wiggins,21,82,3048,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,,3.3,0.9,4.2,0.066,,0.7,-2.4,-1.7,0.2
Karl-Anthony Towns,21,82,3030,25.9,0.618,0.18600000000000003,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,,9.9,2.8,12.7,0.201,,5.5,-0.7,4.7,5.2
Gorgui Dieng,27,82,2653,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,,3.2,2.5,5.7,0.10300000000000001,,-0.8,0.6,-0.1,1.3
Ricky Rubio,26,75,2469,16.8,0.539,0.302,0.43799999999999994,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,0.11900000000000001,,1.2,-0.2,0.9,1.8
Zach LaVine,21,47,1749,14.6,0.5760000000000001,0.43700000000000006,0.19699999999999998,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.6,0.4,3.0,0.08199999999999999,,1.5,-1.4,0.1,0.9
Shabazz Muhammad,24,78,1516,14.9,0.5660000000000001,0.242,0.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,,2.5,0.2,2.7,0.086,,0.5,-2.9,-2.4,-0.1
Kris Dunn,22,78,1333,8.1,0.43200000000000005,0.233,0.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,,-1.2,1.3,0.1,0.004,,-4.5,1.8,-2.8,-0.3
Nemanja Bjelica,28,65,1190,11.0,0.526,0.49700000000000005,0.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,,0.6,0.9,1.5,0.059000000000000004,,-1.8,0.2,-1.6,0.1
Brandon Rush,31,47,1030,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,,0.1,0.3,0.4,0.019,,-2.0,-0.5,-2.5,-0.1
Tyus Jones,20,60,774,13.8,0.523,0.40299999999999997,0.23800000000000002,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,,1.0,0.6,1.5,0.096,,-0.6,0.7,0.2,0.4
Cole Aldrich,28,62,531,12.7,0.5489999999999999,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,0.11599999999999999,,-2.3,1.5,-0.8,0.2
Omri Casspi,28,13,222,7.5,0.542,0.263,0.21100000000000002,3.1,7.5,5.3,6.8,3.0,0.8,19.4,10.3,,0.0,0.2,0.1,0.032,,-4.3,0.4,-3.9,-0.1
Adreian Payne,25,18,135,14.4,0.505,0.278,0.35200000000000004,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,,0.0,0.2,0.2,0.086,,-3.8,1.5,-2.3,0.0
Lance Stephenson,26,6,67,6.6,0.48,0.095,0.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-4.7,-2.6,-7.3,-0.1
Jordan Hill,29,7,47,5.5,0.43200000000000005,0.0,0.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,,-0.1,0.0,0.0,-0.033,,-7.1,-5.2,-12.3,-0.1
John Lucas III,34,5,11,9.1,0.25,0.25,0.0,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1,,0.0,0.0,0.0,-0.033,,-4.0,7.1,3.1,0.0
