Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2019,19,231,NOP,New Orleans Pelicans,9,Dairis Bertans,SG,6-4,200,1989-09-09,LV,R,
2019,19,542,NOP,New Orleans Pelicans,2,Ian Clark,SG,6-3,175,1991-03-07,US,5,Belmont
2019,19,677,NOP,New Orleans Pelicans,23,Anthony Davis,C,6-10,253,1993-03-11,US,6,Kentucky
2019,19,739,NOP,New Orleans Pelicans,13,Cheick Diallo,PF,6-8,219,1996-09-13,ML,2,Kansas
2019,19,962,NOP,New Orleans Pelicans,10,Tim Frazier,PG,6-0,170,1990-11-01,US,4,Penn State
2019,19,1215,NOP,New Orleans Pelicans,1,Andrew Harrison,PG,6-6,213,1994-10-28,US,2,Kentucky
2019,19,1294,NOP,New Orleans Pelicans,44,Solomon Hill,SF,6-6,226,1991-03-18,US,5,Arizona
2019,19,1311,NOP,New Orleans Pelicans,11,Jrue Holiday,SG,6-3,205,1990-06-12,US,9,UCLA
2019,19,1402,NOP,New Orleans Pelicans,15,Frank Jackson,PG,6-3,205,1998-05-04,US,R,Duke
2019,19,1514,NOP,New Orleans Pelicans,3,Stanley Johnson,SF,6-6,242,1996-05-29,US,3,Arizona
2019,19,1520,NOP,New Orleans Pelicans,33,Wesley Johnson,SF,6-7,215,1987-07-11,US,8,"Iowa State, Syracuse"
2019,19,1996,NOP,New Orleans Pelicans,21,Darius Miller,SF,6-6,225,1990-03-21,US,4,Kentucky
2019,19,2013,NOP,New Orleans Pelicans,3,Nikola Mirotic,PF,6-10,250,1991-02-11,ME,4,
2019,19,2042,NOP,New Orleans Pelicans,55,E'Twaun Moore,SG,6-3,191,1989-02-25,US,7,Purdue
2019,19,2195,NOP,New Orleans Pelicans,8,Jahlil Okafor,C,6-10,270,1995-12-15,US,3,Duke
2019,19,2275,NOP,New Orleans Pelicans,4,Elfrid Payton,PG,6-3,195,1994-02-22,US,4,Louisiana
2019,19,2399,NOP,New Orleans Pelicans,30,Julius Randle,PF,6-8,250,1994-11-29,US,4,Kentucky
2019,19,2689,NOP,New Orleans Pelicans,14,Jason Smith,C,7-0,240,1986-03-02,US,10,Colorado State
2019,19,3163,NOP,New Orleans Pelicans,34,Kenrich Williams,SF,6-6,210,1994-12-02,US,R,TCU
2019,19,3229,NOP,New Orleans Pelicans,35,Christian Wood,PF,6-10,214,1995-09-27,US,2,UNLV
