Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2019,25,64,POR,Portland Trail Blazers,8,Al-Farouq Aminu,PF,6-8,220,1990-09-21,US,8,Wake Forest
2019,25,149,POR,Portland Trail Blazers,2,Wade Baldwin,PG,6-4,200,1996-03-29,US,2,Vanderbilt
2019,25,576,POR,Portland Trail Blazers,33,Zach Collins,C,6-11,250,1997-11-19,US,1,Gonzaga
2019,25,656,POR,Portland Trail Blazers,31,Seth Curry,SG,6-2,185,1990-08-23,US,4,"Liberty, Duke"
2019,25,1188,POR,Portland Trail Blazers,4,Maurice Harkless,SF,6-7,220,1993-05-11,US,6,St. John's
2019,25,1323,POR,Portland Trail Blazers,5,Rodney Hood,SG,6-8,208,1992-10-20,US,4,"Mississippi State, Duke"
2019,25,1582,POR,Portland Trail Blazers,0,Enes Kanter,C,6-10,250,1992-05-20,CH,7,
2019,25,1677,POR,Portland Trail Blazers,17,Skal Labissiere,PF,6-10,235,1996-03-18,HT,2,Kentucky
2019,25,1713,POR,Portland Trail Blazers,10,Jake Layman,SF,6-8,209,1994-03-07,US,2,Maryland
2019,25,1738,POR,Portland Trail Blazers,11,Meyers Leonard,C,7-0,260,1992-02-27,US,6,Illinois
2019,25,1756,POR,Portland Trail Blazers,0,Damian Lillard,PG,6-2,195,1990-07-15,US,6,Weber State
2019,25,1910,POR,Portland Trail Blazers,3,CJ McCollum,SG,6-3,190,1991-09-19,US,5,Lehigh
2019,25,2170,POR,Portland Trail Blazers,27,Jusuf Nurkic,C,6-11,290,1994-08-23,BA,4,
2019,25,2646,POR,Portland Trail Blazers,24,Anfernee Simons,SG,6-3,181,1999-06-08,US,R,
2019,25,2745,POR,Portland Trail Blazers,6,Nik Stauskas,SG,6-6,205,1993-10-07,CA,4,Michigan
2019,25,2797,POR,Portland Trail Blazers,50,Caleb Swanigan,PF,6-9,260,1997-04-18,US,1,Purdue
2019,25,2915,POR,Portland Trail Blazers,9,Gary Trent,SG,6-5,209,1999-01-18,US,R,Duke
2019,25,2932,POR,Portland Trail Blazers,1,Evan Turner,PG,6-6,220,1988-10-27,US,8,Ohio State
