Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2015,23.0,CHI,NBA,SF,36.0,321.0,6.1,0.48,0.383,0.14,2.1,12.2,7.3,3.0,0.6,0.2,13.0,18.3,,-0.3,0.2,0.0,-0.005,,-4.1,-1.9,-6.0,-0.3
2016,24.0,CHI,NBA,SF,81.0,1861.0,10.9,0.561,0.402,0.13,2.1,8.8,5.5,5.0,0.4,0.2,7.2,17.3,,2.1,0.7,2.8,0.073,,-1.0,-1.9,-2.9,-0.4
2017,25.0,TOT,NBA,SF,66.0,1508.0,10.7,0.554,0.419,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,,1.6,1.0,2.6,0.083,,-0.9,-1.4,-2.3,-0.1
2017,25.0,CHI,NBA,SF,44.0,1078.0,11.3,0.555,0.402,0.18,1.4,11.7,6.5,6.5,0.5,0.3,7.4,17.6,,1.1,0.8,1.9,0.084,,-0.9,-1.2,-2.1,0.0
2017,25.0,OKC,NBA,SF,22.0,430.0,9.3,0.551,0.468,0.137,1.5,11.1,6.3,4.4,0.2,0.2,4.4,13.6,,0.5,0.2,0.7,0.08,,-1.0,-1.7,-2.7,-0.1
2018,26.0,TOT,NBA,SF,81.0,1768.0,10.4,0.579,0.425,0.159,2.5,10.2,6.3,6.5,0.5,0.8,9.3,15.0,,1.7,0.6,2.3,0.063,,-1.0,-1.3,-2.2,-0.1
2018,26.0,NYK,NBA,SF,55.0,1172.0,9.9,0.562,0.418,0.162,3.1,9.5,6.3,6.0,0.4,0.9,8.8,14.4,,1.1,0.3,1.3,0.055,,-0.7,-1.4,-2.1,0.0
2018,26.0,DAL,NBA,SF,26.0,596.0,11.5,0.611,0.439,0.156,1.3,11.4,6.1,7.5,0.8,0.6,10.3,16.3,,0.6,0.3,1.0,0.077,,-1.5,-1.0,-2.6,-0.1
2019,27.0,IND,NBA,SF,77.0,1340.0,11.6,0.617,0.488,0.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,,1.8,1.1,2.9,0.103,,-0.5,-0.9,-1.4,0.2
2020,28.0,IND,NBA,PF,69.0,1372.0,14.4,0.62,0.537,0.106,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,,2.3,1.1,3.3,0.117,,1.4,-1.3,0.0,0.7
2021,29.0,IND,NBA,PF,11.0,258.0,13.6,0.624,0.549,0.231,3.9,13.5,8.7,5.4,0.6,0.0,8.2,18.2,,0.4,0.2,0.6,0.111,,0.8,-2.3,-1.5,0.0
