Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1985,23,2893,PHI,Philadelphia 76Ers,Andrew Toney,27,70,2237,16.2,0.58,0.12,0.39,1.8,7.1,4.5,24.3,1.4,0.6,17.3,23.3,4.0,1.5,5.5,0.12,1.7,-1.3,0.4,1.4
1985,23,1527,PHI,Philadelphia 76Ers,Bobby Jones,33,80,1633,15.2,0.62,0.01,0.56,7.3,13.1,10.3,12.8,2.4,1.8,19.7,14.7,2.8,2.0,4.8,0.14,1.3,1.6,2.9,2.0
1985,23,165,PHI,Philadelphia 76Ers,Charles Barkley,21,82,2347,18.3,0.6,0.01,0.51,12.9,20.8,16.9,9.6,1.9,2.0,17.9,20.0,4.2,3.3,7.5,0.15,1.3,0.4,1.7,2.2
1985,23,1476,PHI,Philadelphia 76Ers,Clemon Johnson,28,58,875,11.9,0.53,0.0,0.21,12.0,16.5,14.2,5.1,0.8,2.9,14.4,13.8,0.8,0.9,1.7,0.1,-1.2,0.0,-1.2,0.2
1985,23,2438,PHI,Philadelphia 76Ers,Clint Richardson,28,74,1531,9.1,0.5,0.01,0.22,4.5,6.9,5.7,13.7,1.2,0.6,15.0,13.7,0.9,0.9,1.8,0.06,-1.7,-0.4,-2.1,0.0
1985,23,1489,PHI,Philadelphia 76Ers,George Johnson,28,55,756,9.9,0.46,0.04,0.21,7.2,17.1,12.2,6.9,2.0,1.2,14.6,17.9,-0.2,0.9,0.7,0.05,-3.0,0.0,-3.1,-0.2
1985,23,869,PHI,Philadelphia 76Ers,Julius Erving,34,78,2535,20.0,0.55,0.01,0.36,7.7,10.7,9.2,14.6,2.5,2.5,12.7,26.0,4.5,3.1,7.6,0.14,3.0,0.5,3.5,3.5
1985,23,3223,PHI,Philadelphia 76Ers,Leon Wood,22,38,269,9.1,0.42,0.22,0.19,1.3,6.2,3.8,24.5,1.4,0.0,14.7,25.5,-0.3,0.2,-0.2,-0.03,-3.3,-2.5,-5.7,-0.3
1985,23,1374,PHI,Philadelphia 76Ers,Marc Iavaroni,28,12,156,3.1,0.45,0.0,0.19,8.0,12.9,10.5,4.9,1.2,1.1,32.2,12.8,-0.3,0.1,-0.1,-0.04,-5.8,-0.4,-6.2,-0.2
1985,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,28,78,2616,17.6,0.62,0.04,0.27,2.4,7.0,4.7,26.8,3.1,0.5,15.8,15.1,6.2,2.8,9.0,0.16,2.2,1.5,3.7,3.8
1985,23,1823,PHI,Philadelphia 76Ers,Moses Malone,29,79,2957,22.5,0.58,0.0,0.7,14.8,24.4,19.7,6.6,1.1,2.4,14.5,26.8,7.9,4.0,11.9,0.19,3.0,-1.4,1.6,2.7
1985,23,3174,PHI,Philadelphia 76Ers,Sam Williams,25,46,488,6.9,0.43,0.01,0.32,8.9,15.6,12.3,3.0,2.5,3.1,20.7,17.6,-0.8,0.7,-0.1,-0.01,-6.0,0.4,-5.6,-0.4
1985,23,2882,PHI,Philadelphia 76Ers,Sedale Threatt,23,82,1304,10.2,0.49,0.05,0.22,1.8,6.7,4.3,18.5,2.9,0.7,17.9,17.1,-0.1,1.4,1.3,0.05,-3.0,1.0,-2.1,0.0
1985,23,1237,PHI,Philadelphia 76Ers,Steve Hayes,29,11,101,10.4,0.56,0.0,0.22,12.4,25.4,19.0,1.3,0.5,2.3,9.2,8.7,0.1,0.1,0.3,0.12,-1.8,-0.1,-1.9,0.0
