NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
32,Chucky Atkins,PG,5-11,160,1974-08-14,US,6,South Florida
31,Shane Battier,SF,6-8,220,1978-09-09,US,4,Duke
1,Antonio Burks,PG,6-1,200,1980-02-25,US,1,Memphis
35,Brian Cardinal,PF,6-8,245,1977-05-02,US,5,Purdue
16,Pau Gasol,PF,7-0,250,1980-07-06,ES,4,
24,Bobby Jackson,PG,6-1,185,1973-03-13,US,8,Minnesota
30,Dahntay Jones,SF,6-6,225,1980-12-27,US,2,"Rutgers University, Duke"
6,Eddie Jones,SG,6-6,190,1971-10-20,US,11,Temple
33,Mike Miller,SG,6-8,218,1980-02-19,US,5,Florida
3,Anthony Roberson,PG,6-2,180,1983-02-14,US,R,Florida
44,Lawrence Roberts,C,6-9,240,1982-10-20,US,R,"Baylor, Mississippi State"
20,Damon Stoudamire,PG,5-10,171,1973-09-03,US,10,Arizona
25,John Thomas,C,6-9,265,1975-09-08,US,4,Minnesota
12,Jake Tsakalidis,C,7-2,285,1979-06-10,GE,5,
21,Hakim Warrick,PF,6-9,219,1982-07-08,US,R,Syracuse
42,Lorenzen Wright,C,6-11,225,1975-11-04,US,9,Memphis
