PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Mike Mitchell,24,82,2802,19.1,0.557,0.004,0.231,7.4,15.2,11.1,4.9,1.1,1.5,9.5,24.7,,5.9,2.4,8.3,0.142,,2.1,-0.9,1.2,2.2
Randy Smith,31,82,2677,15.2,0.49700000000000005,0.04,0.213,3.5,6.7,5.0,18.5,2.1,0.1,12.1,23.7,,2.4,1.8,4.2,0.075,,0.3,-0.5,-0.3,1.2
Dave Robisch,30,82,2670,17.2,0.578,0.003,0.35,8.5,17.9,13.0,9.3,0.9,1.1,11.3,17.6,,6.3,2.3,8.6,0.154,,2.1,-0.3,1.8,2.6
Foots Walker,28,76,2422,15.3,0.527,0.016,0.428,3.3,9.5,6.3,29.5,2.9,0.3,18.9,13.2,,3.7,2.4,6.1,0.12,,0.5,1.4,1.9,2.4
Kenny Carr,24,74,1781,16.3,0.527,0.005,0.34700000000000003,11.0,23.4,16.9,5.7,1.6,1.5,14.3,21.8,,1.6,2.3,3.9,0.10400000000000001,,-0.5,-0.6,-1.1,0.4
Austin Carr,31,77,1595,14.3,0.49700000000000005,0.006999999999999999,0.205,5.1,5.8,5.5,13.2,1.1,0.1,10.6,24.6,,1.3,0.6,2.0,0.059000000000000004,,0.1,-1.8,-1.7,0.1
Bill Willoughby,22,78,1447,12.7,0.522,0.02,0.278,8.5,15.8,12.0,6.2,1.0,2.3,11.7,15.4,,1.7,1.3,3.0,0.099,,-1.0,0.2,-0.8,0.4
Campy Russell,28,41,1331,16.2,0.508,0.013999999999999999,0.379,5.8,12.4,8.9,17.5,2.5,0.8,16.8,25.5,,0.5,1.4,1.8,0.067,,0.6,0.2,0.8,0.9
John Lambert,27,74,1324,10.4,0.45299999999999996,0.008,0.253,10.5,17.8,14.0,5.1,1.6,1.7,12.6,14.7,,0.4,1.5,1.8,0.066,,-2.6,0.0,-2.6,-0.2
Willie Smith,26,62,1051,12.2,0.442,0.225,0.165,5.4,6.8,6.1,29.3,3.2,0.1,21.9,15.8,,0.0,1.0,1.0,0.047,,-0.7,0.7,0.0,0.5
Don Ford,27,21,419,11.4,0.494,0.013999999999999999,0.174,5.1,17.4,11.0,8.6,1.2,0.8,11.9,16.1,,0.2,0.4,0.6,0.071,,-1.5,0.0,-1.5,0.1
Earl Tatum,26,33,225,9.3,0.415,0.064,0.20199999999999999,4.9,7.4,6.1,11.2,3.2,1.2,14.2,20.4,,-0.3,0.2,0.0,-0.005,,-3.6,0.8,-2.8,0.0
Bingo Smith,33,8,135,10.8,0.49,0.069,0.111,1.5,9.8,5.5,7.3,1.0,0.8,10.6,24.0,,0.0,0.1,0.1,0.027999999999999997,,-3.0,-0.7,-3.7,-0.1
Walt Frazier,34,3,27,13.6,0.42100000000000004,0.091,0.182,3.7,8.2,5.9,36.7,3.4,2.0,25.2,22.6,,0.0,0.0,0.0,-0.012,,-3.5,0.2,-3.3,0.0
Butch Lee,23,3,24,-4.0,0.175,0.0,0.091,12.6,0.0,6.6,14.3,0.0,0.0,20.8,23.1,,-0.2,0.0,-0.2,-0.314,,-4.7,-1.0,-5.7,-0.1
