Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2009,23.0,CHI,NBA,C,7.0,7.0,271.0,5.0,9.8,0.51,0.0,0.0,,5.0,9.8,0.51,3.6,4.8,0.76,5.4,12.2,17.6,3.1,1.1,2.9,1.5,5.9,13.6,,125.0,106.0
2010,24.0,CHI,NBA,C,5.0,5.0,188.0,7.7,14.6,0.528,0.0,0.0,,7.7,14.6,0.528,5.0,5.3,0.947,5.5,12.4,18.0,3.6,2.5,1.9,4.1,5.5,20.5,,112.0,107.0
2011,25.0,CHI,NBA,C,16.0,16.0,529.0,5.3,13.0,0.411,0.0,0.0,,5.3,13.0,0.411,3.9,5.3,0.725,7.1,9.9,17.0,4.2,1.7,3.4,2.0,6.6,14.5,,113.0,97.0
2012,26.0,CHI,NBA,C,3.0,3.0,99.0,10.5,14.3,0.731,0.0,0.0,,10.5,14.3,0.731,3.9,6.1,0.636,5.0,10.5,15.4,5.0,1.1,2.2,0.6,2.8,24.8,,151.0,96.0
2013,27.0,CHI,NBA,C,12.0,12.0,409.0,7.0,16.0,0.437,0.0,0.0,,7.0,16.0,0.437,3.4,5.2,0.641,7.0,8.5,15.4,3.8,1.3,3.5,3.2,5.8,17.3,,102.0,106.0
2014,28.0,CHI,NBA,C,5.0,5.0,210.0,5.6,11.0,0.512,0.0,0.0,,5.6,11.0,0.512,2.7,4.5,0.588,4.0,13.1,17.1,6.1,1.3,1.9,5.1,5.1,13.9,,96.0,103.0
2015,29.0,CHI,NBA,C,12.0,12.0,395.0,4.2,10.2,0.408,0.0,0.0,,4.2,10.2,0.408,0.9,2.7,0.35,6.0,11.7,17.7,5.1,1.3,1.9,2.7,5.0,9.3,,98.0,98.0
2020,34.0,LAC,NBA,C,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119.0
