Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1982,22.0,PHO,NBA,PF,80.0,1186.0,14.7,0.543,0.002,0.268,9.1,14.7,11.9,10.0,1.7,3.4,17.6,20.6,,0.3,2.1,2.4,0.098,,-1.5,1.3,-0.2,0.5
1983,23.0,PHO,NBA,PF,82.0,2914.0,18.7,0.573,0.003,0.268,9.5,17.1,13.5,9.7,1.6,4.2,13.7,19.4,,4.8,5.6,10.5,0.172,,1.7,1.8,3.5,4.0
1984,24.0,PHO,NBA,PF,82.0,2899.0,19.4,0.605,0.007,0.337,9.1,18.3,13.7,10.2,1.4,3.5,12.9,19.5,,6.2,3.7,9.8,0.163,,2.2,0.9,3.1,3.8
1985,25.0,PHO,NBA,PF,61.0,2202.0,20.6,0.612,0.002,0.29,10.2,17.3,13.8,11.1,1.9,2.6,12.1,20.8,,4.7,3.2,7.9,0.173,,3.2,1.2,4.4,3.5
1986,26.0,PHO,NBA,PF,73.0,2484.0,20.5,0.616,0.008,0.444,8.2,20.0,14.3,14.8,1.3,2.9,14.9,22.6,,5.3,3.2,8.4,0.163,,2.8,1.1,3.9,3.7
1987,27.0,PHO,NBA,PF,69.0,2569.0,22.2,0.607,0.005,0.464,8.4,17.6,13.1,13.5,1.6,3.3,10.4,22.6,,7.3,2.8,10.2,0.19,,3.9,1.1,5.0,4.5
1988,28.0,TOT,NBA,PF,67.0,2383.0,20.3,0.586,0.007,0.424,9.3,19.8,14.6,12.9,1.3,3.9,12.4,21.7,,5.1,2.9,8.0,0.161,,2.4,1.1,3.5,3.3
1988,28.0,PHO,NBA,PF,40.0,1477.0,20.5,0.581,0.008,0.404,9.0,21.1,15.0,12.3,1.4,3.8,12.7,22.9,,2.8,1.6,4.3,0.141,,2.2,0.7,2.9,1.9
1988,28.0,CLE,NBA,PF,27.0,906.0,19.9,0.597,0.003,0.464,9.9,17.6,13.8,14.0,1.0,4.1,11.8,19.6,,2.3,1.3,3.6,0.192,,2.7,1.6,4.3,1.4
1989,29.0,CLE,NBA,PF,73.0,2526.0,19.9,0.59,0.004,0.363,7.4,18.0,13.0,9.2,1.1,4.7,9.9,19.9,,5.7,4.7,10.3,0.197,,1.9,2.0,3.9,3.8
1990,30.0,CLE,NBA,PF,62.0,2065.0,19.1,0.554,0.001,0.296,8.7,19.4,14.0,12.8,1.3,3.5,10.8,21.4,,3.5,3.0,6.5,0.152,,1.4,1.3,2.7,2.4
1991,31.0,CLE,NBA,PF,80.0,2927.0,20.6,0.567,0.007,0.273,8.0,19.2,13.6,13.4,1.1,4.1,8.8,22.2,,6.1,3.6,9.8,0.16,,2.5,1.1,3.6,4.2
1992,32.0,CLE,NBA,PF,81.0,2880.0,21.4,0.586,0.006,0.31,8.6,17.1,13.0,12.0,1.4,4.9,6.9,19.1,,8.2,4.0,12.2,0.204,,3.4,1.8,5.2,5.2
1993,33.0,CLE,NBA,PF,77.0,2753.0,19.8,0.587,0.004,0.254,8.0,19.3,13.9,12.1,1.0,4.4,9.0,19.1,,6.3,4.4,10.7,0.187,,2.0,1.6,3.6,3.9
1994,34.0,CLE,NBA,PF,33.0,909.0,17.1,0.526,0.0,0.271,9.8,19.2,14.5,8.7,1.6,4.0,9.8,19.2,,1.4,1.4,2.8,0.146,,0.0,0.9,0.9,0.7
