Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,21.0,CHH,NBA,PG,82.0,82.0,38.9,5.0,11.7,0.427,1.0,3.3,0.31,4.0,8.3,0.474,0.472,2.8,4.1,0.677,1.6,3.4,5.0,7.3,2.1,0.4,2.8,3.3,13.8
2002,22.0,CHH,NBA,PG,82.0,82.0,40.5,6.8,16.4,0.417,2.1,5.8,0.356,4.7,10.5,0.451,0.48,2.4,4.1,0.58,1.1,3.1,4.3,8.5,2.1,0.6,3.0,2.9,18.1
2003,23.0,NOH,NBA,PG,50.0,47.0,37.8,6.6,16.0,0.416,2.0,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1
2004,24.0,NOH,NBA,PG,67.0,66.0,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9
2005,25.0,TOT,NBA,PG,46.0,32.0,34.4,6.3,16.3,0.387,2.6,7.7,0.333,3.8,8.7,0.435,0.465,4.0,5.3,0.761,0.7,3.1,3.8,7.9,1.8,0.3,2.8,2.7,19.2
2005,25.0,NOH,NBA,PG,18.0,13.0,32.9,6.2,16.8,0.366,2.4,7.6,0.321,3.7,9.2,0.404,0.439,4.1,5.3,0.771,0.9,2.8,3.7,7.2,1.7,0.2,2.1,2.9,18.9
2005,25.0,GSW,NBA,PG,28.0,19.0,35.3,6.4,16.0,0.401,2.6,7.8,0.341,3.8,8.3,0.457,0.483,4.0,5.3,0.755,0.6,3.3,3.9,8.3,1.8,0.4,3.3,2.6,19.5
2006,26.0,GSW,NBA,PG,54.0,48.0,36.5,6.2,15.9,0.389,1.9,6.0,0.315,4.3,9.9,0.434,0.448,3.6,5.4,0.675,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1,17.9
2007,27.0,GSW,NBA,PG,63.0,62.0,35.3,7.2,16.3,0.439,1.3,4.4,0.304,5.8,11.9,0.489,0.48,4.4,5.9,0.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9,20.1
2008,28.0,GSW,NBA,PG,82.0,82.0,39.0,7.9,18.6,0.426,2.1,6.4,0.33,5.8,12.2,0.477,0.483,3.9,5.2,0.75,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3.0,21.8
2009,29.0,LAC,NBA,PG,65.0,60.0,34.6,5.5,14.8,0.37,1.5,5.0,0.302,3.9,9.7,0.406,0.422,2.4,3.2,0.757,0.7,3.0,3.7,7.7,1.7,0.5,3.0,3.0,14.9
2010,30.0,LAC,NBA,PG,75.0,73.0,33.6,5.5,13.5,0.406,1.1,3.9,0.277,4.4,9.6,0.459,0.446,3.2,3.9,0.821,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3
2011,31.0,TOT,NBA,PG,58.0,44.0,28.4,5.0,11.9,0.417,1.4,4.1,0.339,3.6,7.8,0.458,0.475,1.7,2.3,0.771,0.6,2.1,2.7,6.7,1.3,0.5,2.5,2.5,13.1
2011,31.0,LAC,NBA,PG,43.0,35.0,29.5,5.0,12.0,0.416,1.0,3.5,0.296,3.9,8.4,0.466,0.459,1.8,2.4,0.76,0.7,2.1,2.8,7.0,1.4,0.5,2.5,2.7,12.8
2011,31.0,CLE,NBA,PG,15.0,9.0,25.3,5.0,11.9,0.421,2.4,5.8,0.414,2.6,6.1,0.429,0.522,1.5,1.8,0.815,0.4,2.0,2.4,6.1,1.1,0.4,2.6,1.9,13.9
2012,32.0,NYK,NBA,PG,29.0,14.0,20.5,2.3,6.3,0.37,0.9,2.9,0.306,1.4,3.4,0.424,0.44,0.6,0.8,0.667,0.4,1.5,1.9,4.7,1.2,0.1,2.6,2.1,6.1
